entrez,symbol
1046,CDX4
1050,CEBPA
1062,CENPE
1063,CENPF
91181,NUP210L
222256,CDHR3
9294,S1PR2
1105,CHD1
1106,CHD2
1107,CHD3
1108,CHD4
1111,CHEK1
1113,CHGA
9308,CD83
9312,KCNB2
9314,KLF4
9320,TRIP12
9321,TRIP11
1128,CHRM1
58487,CREBZF
1147,CHUK
255104,TMCO4
58499,ZNF462
9353,SLIT2
58508,KMT2C
132243,H1-8
9368,SLC9A3R1
9369,NRXN3
1183,CLCN4
1186,CLCN7
9378,NRXN1
9379,NRXN2
140453,MUC17
9380,GRHPR
25766,PRPF40B
1198,CLK3
9401,RECQL4
1213,CLTC
25790,CFAP45
9407,TMPRSS11D
9425,CDYL
1234,CCR5
1233,CCR4
1236,CCR7
25813,SAMM50
91351,DDX60L
1240,CMKLR1
25820,ARIH1
9439,MED23
9444,QKI
9446,GSTO1
25831,HECTD1
25836,NIPBL
1262,CNGA4
255220,TXNDC8
1272,CNTN1
1277,COL1A1
1278,COL1A2
9472,AKAP6
1281,COL3A1
1282,COL4A1
1280,COL2A1
1284,COL4A2
9479,MAPK8IP1
1289,COL5A1
1293,COL6A3
1294,COL7A1
9486,CHST10
1298,COL9A2
1301,COL11A1
25878,MXRA5
1303,COL12A1
9500,MAGED1
9508,ADAMTS3
25893,TRIM58
1316,KLF6
9514,GAL3ST1
25901,CCDC28A
50484,RRM2B
25909,AHCTF1
25913,POT1
25914,RTTN
9531,BAG3
116028,RMI2
1345,COX6C
25925,ZNF521
9542,NRG2
91464,ISX
50509,COL5A3
25937,WWTR1
222546,RFX6
25939,SAMHD1
50515,CHST11
25942,SIN3A
148823,GCSAML
1373,CPS1
165215,FAM171B
25953,PNKD
9577,BABAM2
9578,CDC42BPB
1387,CREBBP
1385,CREB1
9582,APOBEC3B
9584,RBM39
25978,CHMP2B
25981,DNAH1
9601,PDIA4
91523,PCED1B
25988,HINFP
9603,NFE2L3
25992,SNED1
165257,C1QL2
9611,NCOR1
9612,NCOR2
1432,MAPK14
1436,CSF1R
9630,GNA14
1441,CSF3R
255394,TCP11L2
26018,LRIG1
1442,CSH1
9636,ISG15
1445,CSK
9639,ARHGEF10
1452,CSNK1A1
1457,CSNK2A1
9651,PLCH2
1460,CSNK2B
1462,VCAN
26038,CHD5
1464,CSPG4
9656,MDC1
26040,SETBP1
50615,IL21R
26039,SS18L1
9659,PDE4DIP
26047,CNTNAP2
26050,SLITRK5
255426,RASGEF1C
222663,SCUBE3
26057,ANKRD17
26058,GIGYF2
26065,LSM14A
9683,N4BP1
9688,NUP93
1496,CTNNA2
83417,FCRL4
1499,CTNNB1
1500,CTNND1
1501,CTNND2
9699,RIMS2
9700,ESPL1
9701,PPP6R2
26083,TBC1D29P
9706,ULK2
9709,HERPUD1
1520,CTSS
1523,CUX1
1524,CX3CR1
124404,SEPTIN12
9723,SEMA3E
9730,DCAF1
9732,DOCK4
91653,BOC
9734,HDAC9
1540,CYLD
83464,APH1B
83468,GLT8D2
1549,CYP2A7
91661,ZNF765
9742,IFT140
9743,ARHGAP32
9745,ZNF536
26137,ZBTB20
83481,EPPK1
9757,KMT2B
9758,FRMPD4
140831,ZSWIM3
9760,TOX
9759,HDAC4
1571,CYP2E1
140836,BANF2
26149,ZNF658
9771,RAPGEF5
9774,BCLAF1
9776,ATG13
386617,KCTD8
116285,ACSM1
132671,SPATA18
9794,MAML1
1602,DACH1
1606,DGKA
1610,DAO
26191,PTPN22
1616,DAXX
9811,CTIF
149076,ZNF362
140885,SIRPA
9816,URB2
9817,KEAP1
9820,CUL7
1630,DCC
1635,DCTD
1636,ACE
1639,DCTN1
91752,ZNF804A
1643,DDB2
9839,ZEB2
1649,DDIT3
9844,ELMO1
1654,DDX3X
1655,DDX5
1656,DDX6
1657,DMXL1
1660,DHX9
124540,MSI2
1662,DDX10
9859,CEP170
9860,LRIG2
26245,OR2M4
9863,MAGI2
83596,BCL2L12
9869,SETDB1
9878,TOX4
1687,GSDME
9887,SMG7
9891,NUAK1
50853,VILL
26278,SACS
124583,CANT1
9898,UBAP2L
9901,SRGAP3
9909,DENND4B
1719,DHFR
9914,ATP2C2
9915,ARNT2
9918,NCAPD2
9920,KBTBD11
1729,DIAPH1
1730,DIAPH2
9925,ZBTB5
1741,DLG3
9935,MAFB
83666,PARP9
9940,DLEC1
116441,TM4SF18
9947,MAGEC1
1756,DMD
9950,GOLGA5
116447,TOP1MT
26338,OR5L2
1767,DNAH5
100271849,MEF2B
1770,DNAH9
9965,FGF19
9967,THRAP3
9968,MED12
9969,MED13
26353,HSPB8
9971,NR1H4
1780,DYNC1I1
50937,CDON
1785,DNM2
50939,IMPG2
1788,DNMT3A
1789,DNMT3B
9982,FGFBP1
255743,NPNT
50944,SHANK1
50945,TBX22
1794,DOCK2
1786,DNMT1
165631,PARP15
9990,SLC12A6
1804,DPP6
1806,DPYD
10000,AKT3
1811,SLC26A3
132884,EVC2
1814,DRD3
10006,ABI1
1816,DRD5
83737,ITCH
83741,TFAP2D
10014,HDAC5
116511,MAS1L
10016,PDCD6
10017,BCL2L10
10018,BCL2L11
1825,DSC3
1828,DSG1
10019,SH2B3
10013,HDAC6
1833,EPYC
403244,OR2T35
1837,DTNA
1844,DUSP2
10038,PARP2
10039,PARP3
1849,DUSP7
1852,DUSP9
10048,RANBP9
10051,SMC4
1859,DYRK1A
10054,UBA2
10057,ABCC5
10060,ABCC9
10061,ABCF2
1871,E2F3
1879,EBF1
1880,GPR183
10075,HUWE1
10076,PTPRU
92002,CCNQ
10082,GPC6
51043,ZBTB7B
1894,ECT2
1901,S1PR1
10095,ARPC1B
92017,SNX29
51059,FAM135B
1910,EDNRB
1912,PHC2
1915,EEF1A1
149371,EXOC8
26503,SLC17A5
59277,NTN4
51085,MLXIPL
26511,CHIC2
51088,KLHL5
1938,EEF2
346007,EYS
10137,RBM12
26524,LATS2
10142,AKAP9
1951,CELSR3
83872,HMCN1
26528,DAZAP1
10146,G3BP1
51107,APH1A
1956,EGFR
1959,EGR2
1960,EGR3
1964,EIF1AX
51119,SBDS
1969,EPHA2
83891,SNX25
1973,EIF4A1
1974,EIF4A2
1978,EIF4EBP1
133060,OTOP1
1990,CELA1
10184,LHFPL2
1993,ELAVL2
10186,LHFPL6
1995,ELAVL3
1997,ELF1
1999,ELF3
2000,ELF4
2005,ELK4
2006,ELN
51163,DBR1
2011,MARK2
83933,HDAC10
255967,PAN3
10207,PATJ
51174,TUBD1
10215,OLIG2
51176,LEF1
51175,TUBE1
157680,VPS13B
2033,EP300
2034,EPAS1
10231,RCAN2
2041,EPHA1
2042,EPHA3
2043,EPHA4
2044,EPHA5
10235,RASGRP2
51196,PLCE1
51199,NIN
10240,MRPS31
2045,EPHA7
2050,EPHB4
2051,EPHB6
10243,GPHN
2047,EPHB1
2054,STX2
2058,EPRS1
2060,EPS15
10256,CNKSR1
2064,ERBB2
2065,ERBB3
2066,ERBB4
2068,ERCC2
2070,EYA4
2071,ERCC3
2072,ERCC4
83990,BRIP1
2073,ERCC5
157724,SLC7A13
2077,ERF
10270,AKAP8
83999,KREMEN1
84000,TMPRSS13
165918,RNF168
2078,ERG
10272,FSTL3
10274,STAG1
337960,KRTAP13-3
10289,EIF1B
92211,CDHR1
2099,ESR1
2104,ESRRG
378938,MALAT1
51259,TMEM216
2110,ETFDH
2113,ETS1
84033,OBSCN
2115,ETV1
2118,ETV4
2119,ETV5
2120,ETV6
2122,MECOM
2125,EVPL
10320,IKZF1
2130,EWSR1
2131,EXT1
51284,TLR7
2132,EXT2
10326,SIRPB1
51289,RXFP3
84059,ADGRV1
10333,TLR6
10335,MRVI1
2145,EZH1
2146,EZH2
10342,TFG
84072,HORMAD1
2153,F5
10347,ABCA7
84076,TKTL2
2157,F8
10349,ABCA10
84075,FSCB
84083,ZRANB3
51322,WAC
10365,KLF2
2175,FANCA
2176,FANCC
2177,FANCD2
2178,FANCE
51332,SPTBN5
125061,AFMID
2181,ACSL3
84101,USP44
10376,TUBA1B
2185,PTK2B
2186,BPTF
84107,ZIC4
2188,FANCF
51341,ZBTB7A
2189,FANCG
26762,HAVCR1
10381,TUBB3
10383,TUBB4B
2194,FASN
2195,FAT1
2196,FAT2
2199,FBLN2
2201,FBN2
2205,FCER1A
84125,LRRIQ1
10397,NDRG1
84128,WDR75
10402,ST3GAL6
10403,NDC80
51364,ZMYND10
10404,CPQ
51366,UBR5
2213,FCGR2B
84138,SLC7A6OS
92335,STRADA
51375,SNX7
51377,UCHL5
51384,WNT16
125113,KRT222
2237,FEN1
10430,TMEM147
84159,ARID5B
2242,FES
2243,FGA
10436,EMG1
116931,MED12L
84166,NLRC5
2247,FGF2
10440,TIMM17A
51398,WDR83OS
2250,FGF5
51412,ACTL6B
84181,CHD6
2262,GPC5
2261,FGFR3
2263,FGFR2
2264,FGFR4
2260,FGFR1
2268,FGR
84189,SLITRK6
51422,PRKAG2
2271,FH
2272,FHIT
51428,DDX41
51438,MAGEC2
10482,NXF1
10486,CAP2
84219,WDR24
10492,SYNCRIP
84223,IQCG
2304,FOXE1
2305,FOXM1
10499,NCOA2
2308,FOXO1
2309,FOXO3
84231,TRAF7
2312,FLG
2313,FLI1
10512,SEMA3C
2321,FLT1
2322,FLT3
2324,FLT4
256281,NUDT14
2332,FMR1
2334,AFF2
10527,IPO7
84256,FLYWCH1
2339,FNTA
10533,ATG7
2342,FNTB
2346,FOLH1
51501,HIKESHI
10548,TM9SF1
2357,FPR1
51517,NCKIPSD
84295,PHF6
10568,SLC34A2
26953,RANBP6
26960,NBEA
84306,PDCD2L
84316,NAA38
10592,SMC2
10599,SLCO1B1
10600,USP16
92521,SPECC1
26986,PABPC1
51564,HDAC7
10605,PAIP1
10620,ARID3B
51582,AZIN1
10627,MYL12A
10628,TXNIP
51592,TRIM33
51593,SRRT
2444,FRK
51602,NOP58
51604,PIGT
10645,CAMKK2
27030,MLH3
92565,FANK1
125336,LOXHD1
10644,IGF2BP2
84376,HOOK3
117154,DACH2
27044,SND1
10664,CTCF
2475,MTOR
10672,GNA13
256435,ST6GALNAC3
133558,MROH2B
84419,C15orf48
10693,CCT6B
27086,FOXP1
84433,CARD11
2515,ADAM2
84435,ADGRA1
2521,FUS
84441,MAML2
10716,TBR1
84444,DOT1L
27102,EIF2AK1
84446,BRSK1
338398,TAS2R60
10718,NRG3
84448,ABLIM2
84451,MAP3K21
2531,KDSR
10725,NFAT5
2534,FYN
51684,SUFU
10721,POLQ
2538,G6PC
27115,PDE7B
84461,NEURL4
10735,STAG2
27125,AFF4
27127,SMC1B
2554,GABRA1
2561,GABRB2
2565,GABRG1
51727,CMPK1
27154,BRPF3
27156,RSPH14
27164,SALL3
10788,IQGAP2
494119,SPANXN2
27179,IL36A
51755,CDK12
27181,SIGLEC8
10797,MTHFD2
10801,SEPTIN9
51765,STK26
10810,WASF3
84539,MCHR2
10811,NOXA1
2623,GATA1
2624,GATA2
92737,DNER
2625,GATA3
51776,MAP3K20
2632,GBE1
92747,BPIFB1
10841,FTCD
84570,COL25A1
27231,NMRK2
10847,SRCAP
10849,CD3EAP
10859,LILRB1
27253,PCDH17
27255,CNTN6
92799,SHKBP1
10880,ACTL7B
84612,PARD6B
256646,NUTM1
84617,TUBB6
84620,ST6GAL2
10892,MALT1
150160,CCT8L2
27284,SULT1B1
10902,BRD8
84636,GPR174
2719,GPC3
10913,EDAR
84643,KIF2B
10915,TCERG1
10917,BTNL3
2735,GLI1
84656,GLYR1
2737,GLI3
10930,APOBEC2
27315,PGAP2
27316,RBMX
84662,GLIS2
92856,IMP4
158399,ZNF483
27327,TNRC6A
27328,PCDH11X
84674,CARD6
27332,ZNF638
84678,KDM2B
27340,UTP20
2765,GML
10957,PNRC1
2767,GNA11
2768,GNA12
2769,GNA15
10962,MLLT11
2771,GNAI2
338645,LUZP2
2776,GNAQ
2778,GNAS
2779,GNAT1
84699,CREB3L3
84700,MYO18B
2782,GNB1
10978,CLP1
10983,CCNI
10991,SLC38A3
84725,PLEKHA8
2805,GOT1
2819,GPD1
158471,PRUNE2
2846,LPAR4
84767,TRIM51
2854,GPR32
27436,EML4
11059,WWP1
27445,PCLO
84790,TUBA1C
11064,CNTRL
2873,GPS1
2874,GPS2
2880,GPX5
2885,GRB2
11078,TRIOBP
2889,RAPGEF1
2891,GRIA2
2892,GRIA3
11086,ADAM29
2899,GRIK3
2903,GRIN2A
2906,GRIN2D
2908,NR3C1
2909,ARHGAP35
2911,GRM1
2913,GRM3
2918,GRM8
93035,PKHD1L1
11116,FGFR1OP
11118,BTN3A2
11122,PTPRT
158584,FAAH2
2938,GSTA1
2939,GSTA2
2940,GSTA3
2941,GSTA4
2944,GSTM1
2946,GSTM2
2947,GSTM3
2948,GSTM4
2949,GSTM5
84870,RSPO3
11143,KAT7
2950,GSTP1
2952,GSTT1
2953,GSTT2
2954,GSTZ1
2956,MSH6
84875,PARP10
11152,WDR45
2969,GTF2I
11166,SOX21
11168,PSIP1
2977,GUCY1A2
11174,ADAMTS6
84902,CEP89
166824,RASSF6
11176,BAZ2A
11177,BAZ1A
2990,GUSB
3002,GZMB
11197,WIF1
3006,H1-2
3007,H1-3
3008,H1-4
3009,H1-5
11200,CHEK2
3013,H2AC7
3014,H2AX
3017,H2BC5
3020,H3-3A
3021,H3-3B
11214,AKAP13
11215,AKAP11
84953,MICAL2
11228,RASSF8
84962,AJUBA
3065,HDAC1
3066,HDAC2
11264,PXMP4
3073,HEXA
3080,CFHR2
3082,HGF
3084,NRG1
11280,SCN11A
3091,HIF1A
3092,HIP1
3096,HIVEP1
3101,HK3
3105,HLA-A
3106,HLA-B
3110,MNX1
3123,HLA-DRB1
166968,MIER3
3131,HLF
11328,FKBP9
11333,PDAP1
60485,SAV1
11338,U2AF2
3146,HMGB1
3149,HMGB3
60494,CCDC81
3159,HMGA1
3169,FOXA1
3170,FOXA2
3172,HNF4A
3177,SLC29A2
3181,HNRNPA2B1
3190,HNRNPK
3192,HNRNPU
3195,TLX1
445571,CBWD3
3204,HOXA7
3205,HOXA9
3206,HOXA10
3207,HOXA11
3209,HOXA13
3227,HOXC11
3229,HOXC13
3237,HOXD11
3239,HOXD13
3242,HPD
3265,HRAS
257218,SHPRH
3280,HES1
3297,HSF1
3301,DNAJA1
3305,HSPA1L
3308,HSPA4
388335,TMEM220
199920,FYB2
3312,HSPA8
85236,H2BC12
3320,HSP90AA1
126206,NLRP5
3326,HSP90AB1
3337,DNAJB1
3339,HSPG2
3354,HTR1E
85289,KRTAP4-5
3371,TNC
3376,IARS1
93492,TPTE2
3394,IRF8
3399,ID3
3417,IDH1
3418,IDH2
142684,RAB40A
142685,ASB15
3429,IFI27
3437,IFIT3
388468,POTEC
257397,TAB3
3480,IGF1R
3481,IGF2
3482,IGF2R
85414,SLC45A3
85415,RHPN2
3516,RBPJ
85441,HELZ2
85442,KNDC1
126410,CYP4F22
85452,CFAP74
85455,DISP2
93649,MYOCD
3551,IKBKB
3552,IL1A
3553,IL1B
3558,IL2
3561,IL2RG
3566,IL4R
388591,RNF207
3572,IL6ST
3575,IL7R
3597,IL13RA1
151056,PLB1
339479,BRINP3
3607,FOXK2
3621,ING1
347688,TUBB8
3631,INPP4A
3636,INPPL1
3643,INSR
3646,EIF3E
388677,NOTCH2NLA
3660,IRF2
3662,IRF4
3663,IRF5
3664,IRF6
3665,IRF7
3667,IRS1
347733,TUBB2B
388697,HRNR
3676,ITGA4
3682,ITGAE
3685,ITGAV
3695,ITGB7
3697,ITIH1
3702,ITK
3707,ITPKB
3710,ITPR3
3716,JAK1
3717,JAK2
3718,JAK3
3725,JUN
3727,JUND
3735,KARS1
3739,KCNA4
3742,GALNT8
3762,KCNJ5
3782,KCNN3
126668,TDRD10
3791,KDR
3792,KEL
151254,C2CD6
3799,KIF5B
118491,CFAP70
3815,KIT
200424,TET3
3832,KIF11
3837,KPNB1
3843,IPO5
3845,KRAS
3860,KRT13
3866,KRT15
3895,KTN1
143162,FRMPD2
3899,AFF3
3908,LAMA2
3909,LAMA3
3910,LAMA4
3915,LAMC1
143187,VTI1A
3927,LASP1
3929,LBP
3932,LCK
28513,CDH19
28514,DLL1
3954,LETM1
3955,LFNG
3956,LGALS1
3977,LIFR
3984,LIMK1
3996,LLGL1
4000,LMNA
4004,LMO1
4005,LMO2
4009,LMX1A
94137,RP1L1
4026,LPP
4035,LRP1
4036,LRP2
4048,LTA4H
4053,LTBP2
4058,LTK
4060,LUM
4066,LYL1
4067,LYN
4087,SMAD2
4088,SMAD3
4089,SMAD4
339967,TMPRSS11A
4097,MAFG
4100,MAGEA1
118788,PIK3AP1
4105,MAGEA6
94234,FOXQ1
503835,DUXA
94239,H2AZ2
94241,TP53INP1
4133,MAP2
4134,MAP4
4137,MAPT
4140,MARK3
4149,MAX
4152,MBD1
4170,MCL1
53335,BCL11A
4193,MDM2
127074,OR2T4
4194,MDM4
53353,LRP1B
4208,MEF2C
4209,MEF2D
4214,MAP3K1
4216,MAP3K4
4217,MAP3K5
4221,MEN1
4224,MEP1A
4233,MET
282770,OR10AG1
4248,MGAT3
168090,C6orf118
192670,AGO4
4255,MGMT
4261,CIITA
4286,MITF
4287,ATXN3
151742,PPM1L
4291,MLF1
4292,MLH1
4293,MAP3K9
4297,KMT2A
4298,MLLT1
4299,AFF1
4300,MLLT3
4301,AFDN
4302,MLLT6
4303,FOXO4
4306,NR3C2
4308,TRPM1
4322,MMP13
4330,MN1
4331,MNAT1
4342,MOS
4343,MOV10
4345,CD200
4353,MPO
127255,LRRIQ3
340273,ABCB5
127294,MYOM3
4430,MYO1B
151888,BTLA
4436,MSH2
4437,MSH3
4439,MSH5
29028,ATAD2
414059,TBC1D3B
53616,ADAM22
4478,MSN
53632,PRKAG3
4481,MSR1
4485,MST1
4486,MST1R
29072,SETD2
29074,MRPL18
151963,MB21D2
4515,MTCP1
373156,GSTK1
4524,MTHFR
29102,DROSHA
29110,TBK1
29117,BRD7
29118,DDX25
29119,CTNNA3
340419,RSPO2
29126,CD274
152007,GLIPR2
201163,FLCN
4582,MUC1
4583,MUC2
4585,MUC4
4591,TRIM37
4595,MUTYH
4602,MYB
4603,MYBL1
4605,MYBL2
4609,MYC
4610,MYCL
4613,MYCN
4615,MYD88
4620,MYH2
283149,BCL9L
4622,MYH4
283150,FOXR1
4625,MYH7
4627,MYH9
4629,MYH11
4644,MYO5A
4649,MYO9A
4654,MYOD1
4661,MYT1
4665,NAB2
4666,NACA
389692,MAFA
4671,NAIP
4681,NBL1
4683,NBN
4685,NCAM2
4688,NCF2
643677,CCDC168
4703,NEB
119391,GSTO2
340578,DCAF12L2
4715,NDUFB9
340596,LHFPL1
4729,NDUFV2
4734,NEDD4
4736,RPL10A
4744,NEFH
4751,NEK2
4763,NF1
160418,TMTC3
4771,NF2
4773,NFATC2
4780,NFE2L2
4781,NFIB
283310,OTOGL
283316,CD163L1
53942,CNTN5
4791,NFKB2
4792,NFKBIA
4794,NFKBIE
4811,NID1
4820,NKTR
4824,NKX3-1
4829,NMBR
4841,NONO
4843,NOS2
4849,CNOT3
4851,NOTCH1
4853,NOTCH2
4854,NOTCH3
4855,NOTCH4
283383,ADGRD1
4869,NPM1
119559,SFXN4
152330,CNTN4
4893,NRAS
4913,NTHL1
4914,NTRK1
4915,NTRK2
4921,DDR2
4926,NUMA1
4928,NUP98
4929,NR4A2
54084,TSPEAR
283464,GXYLT1
4952,OCRL
54106,TLR9
4958,OMD
201625,DNAH12
5018,OXA1L
5046,PCSK6
5049,PAFAH1B2
54206,ERRFI1
390079,OR52E8
5063,PAK3
349136,WDR86
5076,PAX2
5077,PAX3
5079,PAX5
5087,PBX1
5093,PCBP1
1013,CDH15
5101,PCDH9
5108,PCM1
160762,CCDC63
5125,PCSK5
390155,OR5T1
168975,CNBD1
128025,WDR64
5148,PDE6G
5154,PDGFA
5155,PDGFB
5156,PDGFRA
5159,PDGFRB
5162,PDHB
5173,PDYN
5178,PEG3
29761,USP25
5187,PER1
29766,TMOD3
5198,PFAS
29775,CARD10
169044,COL22A1
54361,WNT4
5214,PFKP
5218,CDK14
259173,ALS2CL
5229,PGGT1B
152687,ZNF595
5241,PGR
5243,ABCB1
5265,SERPINA1
29844,TFPT
144535,CFAP54
5272,SERPINB9
259232,NALCN
54434,SSH1
54437,SEMA5B
5286,PIK3C2A
5287,PIK3C2B
5288,PIK3C2G
5289,PIK3C3
5290,PIK3CA
5291,PIK3CB
5292,PIM1
5293,PIK3CD
5294,PIK3CG
5295,PIK3R1
5296,PIK3R2
5297,PI4KA
79026,AHNAK
54460,MRPS21
54464,XRN1
259266,ASPM
5314,PKHD1
5324,PLAG1
169166,SNX31
54480,CHPF2
259283,MDS2
5332,PLCB4
5333,PLCD1
54487,DGCR8
5336,PLCG2
5335,PLCG1
5339,PLEC
29930,PCDHB1
54510,PCDH18
5362,PLXNA2
29940,DSE
79097,TRIM48
5371,PML
29953,TRHDE
5378,PMS1
5395,PMS2
5396,PRRX1
54549,SDK2
29974,A1CF
79132,DHX58
5411,PNN
5413,SEPTIN5
29993,PACSIN1
29994,BAZ2B
79145,CHCHD7
29998,BICRA
5424,POLD1
120114,FAT3
5426,POLE
5428,POLG
79158,GNPTAB
79161,TMEM243
30012,TLX3
5442,POLRMT
5450,POU2AF1
5452,POU2F2
79184,BRCC3
5460,POU5F1
79190,IRX6
54617,INO80
5467,PPARD
5468,PPARG
5469,MED1
5471,PPAT
54625,PARP14
341350,OVCH1
341359,SYT10
5506,PPP1R3A
5518,PPP2R1A
5525,PPP2R5A
161176,SYNE3
54681,P4HTM
5530,PPP3CA
