entrez,symbol
573,BAG1
577,ADGRB3
578,BAK1
580,BARD1
581,BAX
115273,RAB42
586,BCAT1
593,BCKDHA
594,BCKDHB
595,CCND1
596,BCL2
598,BCL2L1
599,BCL2L2
602,BCL3
604,BCL6
605,BCL7A
607,BCL9
608,TNFRSF17
148066,ZNRF4
613,BCR
623,BDKRB1
624,BDKRB2
627,BDNF
629,CFB
633,BGN
637,BID
638,BIK
639,PRDM1
641,BLM
644,BLVRA
645,BLVRB
649,BMP1
650,BMP2
197258,FCSK
653,BMP5
654,BMP6
657,BMPR1A
658,BMPR1B
659,BMPR2
115350,FCRL1
664,BNIP3
665,BNIP3L
666,BOK
667,DST
668,FOXL2
669,BPGM
670,BPHL
672,BRCA1
673,BRAF
115361,GBP4
675,BRCA2
676,BRDT
677,ZFP36L1
678,ZFP36L2
680,BRS3
682,BSG
684,BST2
685,BTC
688,KLF5
694,BTG1
695,BTK
699,BUB1
701,BUB1B
49855,SCAPER
49856,WRAP73
705,BYSL
706,TSPO
708,C1QBP
710,SERPING1
712,C1QA
714,C1QC
715,C1R
716,C1S
717,C2
718,C3
719,C3AR1
725,C4BPB
726,CAPN5
197335,WDR90
727,C5
728,C5AR1
731,C8A
732,C8B
733,C8G
735,C9
744,MPPED2
759,CA1
760,CA2
762,CA4
765,CA6
771,CA12
773,CACNA1A
774,CACNA1B
775,CACNA1C
776,CACNA1D
777,CACNA1E
778,CACNA1F
780,DDR1
781,CACNA2D1
786,CACNG1
788,SLC25A20
790,CAD
794,CALB2
797,CALCB
799,CALCR
800,CALD1
801,CALM1
131873,COL6A6
808,CALM3
811,CALR
813,CALU
814,CAMK4
164656,TMPRSS6
816,CAMK2B
821,CANX
822,CAPG
824,CAPN2
825,CAPN3
831,CAST
832,CAPZB
833,CARS1
834,CASP1
835,CASP2
836,CASP3
837,CASP4
838,CASP5
839,CASP6
840,CASP7
841,CASP8
842,CASP9
843,CASP10
844,CASQ1
845,CASQ2
847,CAT
857,CAV1
858,CAV2
859,CAV3
861,RUNX1
862,RUNX1T1
863,CBFA2T3
865,CBFB
866,SERPINA6
867,CBL
868,CBLB
871,SERPINH1
148327,CREB3L4
873,CBR1
874,CBR3
875,CBS
885,CCK
887,CCKBR
890,CCNA2
892,CCNC
894,CCND2
896,CCND3
898,CCNE1
899,CCNF
900,CCNG1
901,CCNG2
904,CCNT1
908,CCT6A
910,CD1B
912,CD1D
914,CD2
915,CD3D
916,CD3E
917,CD3G
919,CD247
920,CD4
924,CD7
925,CD8A
926,CD8B
928,CD9
929,CD14
930,CD19
940,CD28
941,CD80
942,CD86
943,TNFRSF8
944,TNFSF8
947,CD34
948,CD36
949,SCARB1
951,CD37
952,CD38
955,ENTPD6
957,ENTPD5
958,CD40
959,CD40LG
960,CD44
961,CD47
962,CD48
965,CD58
966,CD59
967,CD63
969,CD69
970,CD70
972,CD74
973,CD79A
974,CD79B
975,CD81
977,CD151
978,CDA
983,CDK1
988,CDC5L
990,CDC6
991,CDC20
993,CDC25A
994,CDC25B
995,CDC25C
996,CDC27
997,CDC34
998,CDC42
999,CDH1
1000,CDH2
1001,CDH3
1002,CDH4
1004,CDH6
1006,CDH8
1008,CDH10
1009,CDH11
1010,CDH12
1012,CDH13
1013,CDH15
1014,CDH16
1015,CDH17
1016,CDH18
1017,CDK2
1018,CDK3
1019,CDK4
1020,CDK5
1021,CDK6
1022,CDK7
1024,CDK8
1025,CDK9
1026,CDKN1A
1027,CDKN1B
1028,CDKN1C
1029,CDKN2A
1030,CDKN2B
1031,CDKN2C
1032,CDKN2D
1033,CDKN3
1036,CDO1
1039,CDR2
1041,CDSN
1045,CDX2
1046,CDX4
1047,CLGN
1050,CEBPA
1051,CEBPB
1054,CEBPG
1056,CEL
1058,CENPA
1062,CENPE
1063,CENPF
1066,CES1
1069,CETN2
1072,CFL1
1075,CTSC
1080,CFTR
55577,NAGK
1105,CHD1
1106,CHD2
1107,CHD3
1108,CHD4
1111,CHEK1
1112,FOXN3
1113,CHGA
1119,CHKA
1128,CHRM1
115817,DHRS1
1132,CHRM4
1134,CHRNA1
1138,CHRNA5
1140,CHRNB1
1146,CHRNG
1147,CHUK
1149,CIDEA
1152,CKB
1154,CISH
1158,CKM
1160,CKMT2
1161,ERCC8
1163,CKS1B
1164,CKS2
132243,H1-8
1173,AP2M1
1175,AP2S1
1176,AP3S1
1181,CLCN2
1182,CLCN3
1183,CLCN4
1186,CLCN7
1191,CLU
1193,CLIC2
1198,CLK3
1203,CLN5
1207,CLNS1A
1208,CLPS
1211,CLTA
1212,CLTB
1213,CLTC
23037,PDZD2
115908,CTHRC1
23038,WDTC1
1230,CCR1
1233,CCR4
1234,CCR5
1236,CCR7
1237,CCR8
23041,MON2
1240,CMKLR1
1244,ABCC2
1262,CNGA4
1263,PLK3
1265,CNN2
1266,CNN3
1267,CNP
1271,CNTFR
1272,CNTN1
1277,COL1A1
1278,COL1A2
1280,COL2A1
1281,COL3A1
1282,COL4A1
1284,COL4A2
1289,COL5A1
1290,COL5A2
1291,COL6A1
1292,COL6A2
1293,COL6A3
1294,COL7A1
1296,COL8A2
1297,COL9A1
1298,COL9A2
1301,COL11A1
1303,COL12A1
1306,COL15A1
1307,COL16A1
1308,COL17A1
1311,COMP
1312,COMT
1314,COPA
1315,COPB1
1316,KLF6
1317,SLC31A1
1318,SLC31A2
1326,MAP3K8
1327,COX4I1
1329,COX5B
50484,RRM2B
50486,G0S2
1337,COX6A1
50489,CD207
1339,COX6A2
1340,COX6B1
116028,RMI2
1345,COX6C
1346,COX7A1
1347,COX7A2
1349,COX7B
1350,COX7C
1351,COX8A
1352,COX10
1353,COX11
1355,COX15
1356,CP
50509,COL5A3
1358,CPA2
1360,CPB1
1361,CPB2
1363,CPE
1364,CLDN4
1365,CLDN3
1366,CLDN7
50515,CHST11
1368,CPM
1369,CPN1
148823,GCSAML
1371,CPOX
1373,CPS1
1374,CPT1A
165215,FAM171B
1376,CPT2
1378,CR1
1380,CR2
1381,CRABP1
1382,CRABP2
116071,BATF2
1384,CRAT
1385,CREB1
1387,CREBBP
1397,CRIP2
116085,SLC22A12
1400,CRMP1
1401,CRP
1410,CRYAB
165257,C1QL2
1429,CRYZ
1431,CS
1432,MAPK14
1434,CSE1L
1435,CSF1
1436,CSF1R
1437,CSF2
1438,CSF2RA
1439,CSF2RB
1440,CSF3
1441,CSF3R
1442,CSH1
1445,CSK
116138,KLHDC3
1452,CSNK1A1
1453,CSNK1D
1454,CSNK1E
1457,CSNK2A1
1459,CSNK2A2
1460,CSNK2B
1462,VCAN
1463,NCAN
1464,CSPG4
1465,CSRP1
1466,CSRP2
50615,IL21R
1468,SLC25A10
50617,ATP6V0A4
50619,DEF6
50628,GEMIN4
1478,CSTF2
1479,CSTF3
83401,ELOVL3
1482,NKX2-5
1487,CTBP1
50640,PNPLA8
1489,CTF1
1490,CCN2
1491,CTH
1493,CTLA4
23092,ARHGAP26
1495,CTNNA1
1496,CTNNA2
1497,CTNS
83417,FCRL4
1499,CTNNB1
1500,CTNND1
1501,CTNND2
50650,ARHGEF3
1503,CTPS1
23093,TTLL5
1508,CTSB
1509,CTSD
1510,CTSE
1512,CTSH
1513,CTSK
1514,CTSL
1515,CTSV
1519,CTSO
1520,CTSS
83439,TCF7L1
1522,CTSZ
1523,CUX1
1524,CX3CR1
50674,NEUROG3
83445,GSG1
23097,CDK19
1528,CYB5A
1536,CYBB
1537,CYC1
1540,CYLD
132612,ADAD1
83461,CDCA3
1543,CYP1A1
1544,CYP1A2
83463,MXD3
83464,APH1B
83468,GLT8D2
1549,CYP2A7
83481,EPPK1
1562,CYP2C18
83483,PLVAP
1571,CYP2E1
1573,CYP2J2
1579,CYP4A11
1580,CYP4B1
1581,CYP7A1
1582,CYP8B1
1585,CYP11B2
1586,CYP17A1
1592,CYP26A1
1593,CYP27A1
1595,CYP51A1
116285,ACSM1
132671,SPATA18
1601,DAB2
1602,DACH1
1603,DAD1
1604,CD55
1606,DGKA
1608,DGKG
1610,DAO
1611,DAP
1615,DARS1
1616,DAXX
149076,ZNF362
1622,DBI
1628,DBP
1629,DBT
1630,DCC
83549,UCK1
1632,ECI1
1633,DCK
1634,DCN
1635,DCTD
1636,ACE
1638,DCT
1639,DCTN1
1641,DCX
1642,DDB1
1643,DDB2
1644,DDC
1646,AKR1C2
1647,GADD45A
1649,DDIT3
1652,DDT
1654,DDX3X
1655,DDX5
1656,DDX6
1657,DMXL1
50808,AK3
1660,DHX9
1662,DDX10
50814,NSDHL
1665,DHX15
1666,DECR1
1674,DES
1675,CFD
1676,DFFA
83594,NUDT12
83596,BCL2L12
50832,TAS2R4
1687,GSDME
1690,COCH
50852,TRAT1
50853,VILL
50856,CLEC4A
50863,NTM
50865,HEBP1
1716,DGUOK
1717,DHCR7
1718,DHCR24
1719,DHFR
1725,DHPS
1727,CYB5R3
1728,NQO1
1729,DIAPH1
1730,DIAPH2
1733,DIO1
1734,DIO2
1736,DKC1
1737,DLAT
1738,DLD
1739,DLG1
1741,DLG3
1742,DLG4
1743,DLST
83666,PARP9
116441,TM4SF18
1756,DMD
1758,DMP1
116447,TOP1MT
1760,DMPK
1761,DMRT1
1767,DNAH5
100271849,MEF2B
1770,DNAH9
1778,DYNC1H1
83699,SH3BGRL2
1780,DYNC1I1
83700,JAM3
1785,DNM2
1786,DNMT1
50937,CDON
1788,DNMT3A
1789,DNMT3B
50939,IMPG2
1791,DNTT
132864,CPEB2
165631,PARP15
1794,DOCK2
50944,SHANK1
50945,TBX22
83714,NRIP2
1803,DPP4
1804,DPP6
1806,DPYD
1808,DPYSL2
1809,DPYSL3
1810,DR1
1811,SLC26A3
132884,EVC2
116496,NIBAN1
1814,DRD3
83729,INHBE
1816,DRD5
83734,ATG10
83737,ITCH
83741,TFAP2D
1823,DSC1
1824,DSC2
1825,DSC3
83743,GRWD1
116511,MAS1L
1828,DSG1
83752,LONP2
1833,EPYC
1836,SLC26A2
1837,DTNA
1838,DTNB
1839,HBEGF
1840,DTX1
1841,DTYMK
1842,ECM2
1843,DUSP1
1844,DUSP2
1845,DUSP3
1847,DUSP5
1848,DUSP6
1849,DUSP7
51002,TPRKB
1852,DUSP9
1854,DUT
1856,DVL2
1859,DYRK1A
51012,PRELID3B
51013,EXOSC1
51015,ISOC1
51020,HDDC2
1869,E2F1
1870,E2F2
1871,E2F3
51022,GLRX2
51024,FIS1
1874,E2F4
1875,E2F5
1879,EBF1
1880,GPR183
165721,DNAJB8
1891,ECH1
1892,ECHS1
1893,ECM1
1894,ECT2
51043,ZBTB7B
1901,S1PR1
1902,LPAR1
51056,LAP3
1906,EDN1
1907,EDN2
51059,FAM135B
1910,EDNRB
1912,PHC2
51065,RPS27L
1915,EEF1A1
149371,EXOC8
51082,POLR1D
51083,GAL
1933,EEF1B2
51085,MLXIPL
51087,YBX2
51088,KLHL5
1938,EEF2
51092,SIDT2
1942,EFNA1
51094,ADIPOR1
1944,EFNA3
346007,EYS
1946,EFNA5
1950,EGF
1951,CELSR3
1952,CELSR2
83871,RAB34
83872,HMCN1
51107,APH1A
1956,EGFR
51109,RDH11
1959,EGR2
1960,EGR3
1962,EHHADH
1964,EIF1AX
1965,EIF2S1
51119,SBDS
1968,EIF2S3
1969,EPHA2
83891,SNX25
1973,EIF4A1
1974,EIF4A2
51128,SAR1B
1977,EIF4E
1978,EIF4EBP1
51129,ANGPTL4
1981,EIF4G1
1982,EIF4G2
1983,EIF5
1984,EIF5A
133060,OTOP1
1990,CELA1
1991,ELANE
1993,ELAVL2
1995,ELAVL3
51148,CERCAM
1997,ELF1
1999,ELF3
2000,ELF4
51154,MRTO4
51155,JPT1
51156,SERPINA10
2005,ELK4
2006,ELN
149461,CLDN19
51160,VPS28
2011,MARK2
2012,EMP1
2013,EMP2
2014,EMP3
2015,ADGRE1
51163,DBR1
2017,CTTN
51164,DCTN4
83933,HDAC10
51166,AADAT
51168,MYO15A
2022,ENG
2023,ENO1
51170,HSD17B11
51171,HSD17B14
2026,ENO2
2027,ENO3
2028,ENPEP
51174,TUBD1
2030,SLC29A1
51176,LEF1
51179,HAO2
2033,EP300
2034,EPAS1
2035,EPB41
51181,DCXR
2037,EPB41L2
2038,EPB42
2039,DMTN
2040,STOM
2041,EPHA1
2042,EPHA3
2043,EPHA4
2044,EPHA5
2045,EPHA7
51193,ZNF639
2047,EPHB1
2048,EPHB2
2049,EPHB3
2050,EPHB4
2051,EPHB6
2052,EPHX1
2053,EPHX2
2054,STX2
2055,CLN8
51199,NIN
2057,EPOR
2058,EPRS1
51203,NUSAP1
2060,EPS15
51208,CLDN18
55768,NGLY1
2064,ERBB2
2065,ERBB3
2066,ERBB4
2067,ERCC1
2068,ERCC2
2069,EREG
2070,EYA4
2071,ERCC3
2072,ERCC4
2073,ERCC5
51218,GLRX5
83990,BRIP1
51226,COPZ2
2077,ERF
2078,ERG
2079,ERH
165918,RNF168
2081,ERN1
83999,KREMEN1
84000,TMPRSS13
2091,FBL
2099,ESR1
2100,ESR2
2101,ESRRA
51251,NT5C3A
2104,ESRRG
51257,MARCHF2
378938,MALAT1
2107,ETF1
2108,ETFA
2109,ETFB
2110,ETFDH
51259,TMEM216
2113,ETS1
2114,ETS2
2115,ETV1
84033,OBSCN
51268,PIPOX
2118,ETV4
2119,ETV5
2120,ETV6
2122,MECOM
51274,KLF3
2125,EVPL
51278,IER5
2130,EWSR1
2131,EXT1
2132,EXT2
51284,TLR7
51289,RXFP3
84059,ADGRV1
51292,GMPR2
51295,ECSIT
116832,RPL39L
2145,EZH1
2146,EZH2
2147,F2
51298,THEG
2149,F2R
2150,F2RL1
2151,F2RL2
2152,F3
2153,F5
51302,CYP39A1
2155,F7
84072,HORMAD1
2157,F8
2158,F9
2159,F10
2160,F11
2161,F12
2162,F13A1
116842,LEAP2
84075,FSCB
2165,F13B
51311,TLR8
2167,FABP4
2168,FABP1
2169,FABP2
2170,FABP3
2171,FABP5
2172,FABP6
51316,PLAC8
51318,MRPL35
2175,FANCA
2176,FANCC
2177,FANCD2
2178,FANCE
51322,WAC
2180,ACSL1
2181,ACSL3
2182,ACSL4
51327,AHSP
2184,FAH
2185,PTK2B
2186,BPTF
51330,TNFRSF12A
2188,FANCF
2189,FANCG
84101,USP44
2191,FAP
2192,FBLN1
2193,FARSA
2194,FASN
2195,FAT1
2196,FAT2
51341,ZBTB7A
2199,FBLN2
2200,FBN1
2201,FBN2
2202,EFEMP1
2203,FBP1
2205,FCER1A
84125,LRRIQ1
2207,FCER1G
84128,WDR75
2209,FCGR1A
51364,ZMYND10
2213,FCGR2B
51366,UBR5
84138,SLC7A6OS
2219,FCN1
2222,FDFT1
51375,SNX7
2224,FDPS
51377,UCHL5
51380,CSAD
149685,ADIG
2230,FDX1
51382,ATP6V1D
2232,FDXR
51384,WNT16
2235,FECH
51388,NIP7
2237,FEN1
2239,GPC4
84159,ARID5B
2242,FES
2243,FGA
116931,MED12L
84166,NLRC5
2247,FGF2
55806,HR
51398,WDR83OS
2250,FGF5
2251,FGF6
84173,ELMOD3
2254,FGF9
2258,FGF13
2260,FGFR1
2261,FGFR3
2262,GPC5
2263,FGFR2
2264,FGFR4
51412,ACTL6B
2266,FGG
84181,CHD6
2268,FGR
84187,TMEM164
84189,SLITRK6
2271,FH
2272,FHIT
2273,FHL1
2274,FHL2
51422,PRKAG2
51428,DDX41
51429,SNX9
2280,FKBP1A
2281,FKBP1B
2286,FKBP2
51438,MAGEC2
2288,FKBP4
2289,FKBP5
51440,HPCAL4
51447,IP6K2
2296,FOXC1
84219,WDR24
2303,FOXC2
2304,FOXE1
2305,FOXM1
84223,IQCG
51458,RHCG
2308,FOXO1
2309,FOXO3
51460,SFMBT1
84230,LRRC8C
2312,FLG
2313,FLI1
2314,FLII
84231,TRAF7
2316,FLNA
2317,FLNB
2318,FLNC
2319,FLOT2
51465,UBE2J1
2321,FLT1
2322,FLT3
2323,FLT3LG
2324,FLT4
51474,LIMA1
2326,FMO1
51478,HSD17B7
2328,FMO3
2331,FMOD
2332,FMR1
2334,AFF2
2335,FN1
84256,FLYWCH1
2339,FNTA
51491,NOP16
2342,FNTB
84263,HSDL2
84265,POLR3GL
2346,FOLH1
51497,NELFCD
51499,TRIAP1
493869,GPX8
51501,HIKESHI
2353,FOS
2354,FOSB
2355,FOSL2
84274,COQ5
2357,FPR1
51517,NCKIPSD
84295,PHF6
84296,GINS4
23268,DNMBP
51533,PHF7
84306,PDCD2L
84312,BRMS1L
2395,FXN
51548,SIRT6
84316,NAA38
51552,RAB14
51564,HDAC7
84333,PCGF5
84335,AKT1S1
51569,UFM1
51573,GDE1
51582,AZIN1
51592,TRIM33
51593,SRRT
2444,FRK
51599,LSR
51602,NOP58
51604,PIGT
51606,ATP6V1H
84376,HOOK3
117145,THEM4
51614,ERGIC3
117154,DACH2
2475,MTOR
51635,DHRS7
133558,MROH2B
2488,FSHB
51646,YPEL5
51651,PTRH2
84419,C15orf48
51659,GINS2
51660,MPC1
2512,FTL
84433,CARD11
2515,ADAM2
51667,NUB1
2517,FUCA1
84435,ADGRA1
2521,FUS
84441,MAML2
84444,DOT1L
84446,BRSK1
84448,ABLIM2
2530,FUT8
2531,KDSR
2532,ACKR1
2533,FYB1
2534,FYN
2535,FZD2
84451,MAP3K21
51684,SUFU
2538,G6PC
2539,G6PD
51686,OAZ3
51690,LSM7
2542,SLC37A4
84461,NEURL4
2547,XRCC6
2548,GAA
2550,GABBR1
51703,ACSL5
51704,GPRC5B
2554,GABRA1
51706,CYB5R1
2556,GABRA3
2561,GABRB2
2565,GABRG1
51719,CAB39
2571,GAD1
2572,GAD2
51727,CMPK1
51728,POLR3K
2581,GALC
2582,GALE
51733,UPB1
2584,GALK1
2585,GALK2
51734,MSRB1
51735,RAPGEF6
51738,GHRL
2589,GALNT1
51742,ARID4B
2591,GALNT3
2593,GAMT
51747,LUC7L3
2597,GAPDH
494119,SPANXN2
84519,ACRBP
84522,JAGN1
51754,TMEM8B
51755,CDK12
84525,HOPX
84532,ACSS1
51765,STK26
51768,TM7SF3
2618,GART
2619,GAS1
84539,MCHR2
2623,GATA1
2624,GATA2
2625,GATA3
51776,MAP3K20
2632,GBE1
84552,PARD6G
2634,GBP2
2638,GC
2639,GCDH
2641,GCG
2643,GCH1
2645,GCK
2646,GCKR
2648,KAT2A
2649,NR6A1
2650,GCNT1
2651,GCNT2
84570,COL25A1
51805,COQ3
51806,CALML5
2668,GDNF
2669,GEM
2672,GFI1
2673,GFPT1
2674,GFRA1
2683,B4GALT1
84612,PARD6B
2697,GJA1
84617,TUBB6
84620,ST6GAL2
2702,GJA5
150160,CCT8L2
2707,GJB3
84632,AFAP1L2
84636,GPR174
2717,GLA
2719,GPC3
84643,KIF2B
2729,GCLC
2730,GCLM
2731,GLDC
2735,GLI1
84656,GLYR1
2737,GLI3
2739,GLO1
84662,GLIS2
2744,GLS
2745,GLRX
2746,GLUD1
2752,GLUL
150209,AIFM3
84674,CARD6
84678,KDM2B
2760,GM2A
2764,GMFB
2765,GML
2766,GMPR
2767,GNA11
2768,GNA12
2769,GNA15
2770,GNAI1
2771,GNAI2
2773,GNAI3
84693,MCEE
2775,GNAO1
2776,GNAQ
2778,GNAS
2779,GNAT1
84699,CREB3L3
84700,MYO18B
2782,GNB1
2783,GNB2
2791,GNG11
2792,GNGT1
2793,GNGT2
2803,GOLGA4
2805,GOT1
2806,GOT2
84725,PLEKHA8
2810,SFN
2811,GP1BA
2813,GP2
2815,GP9
2817,GPC1
2819,GPD1
2820,GPD2
2821,GPI
2827,GPR3
2833,CXCR3
2841,GPR18
2842,GPR19
2846,LPAR4
84767,TRIM51
2852,GPER1
2854,GPR32
84779,NAA11
2867,FFAR2
2869,GRK5
84790,TUBA1C
2872,MKNK2
2873,GPS1
2874,GPS2
2876,GPX1
2877,GPX2
2878,GPX3
2879,GPX4
2880,GPX5
2882,GPX7
2885,GRB2
2886,GRB7
2889,RAPGEF1
2891,GRIA2
2892,GRIA3
2895,GRID2
2899,GRIK3
2903,GRIN2A
2906,GRIN2D
2907,GRINA
2908,NR3C1
2909,ARHGAP35
2911,GRM1
2913,GRM3
2918,GRM8
2919,CXCL1
2920,CXCL2
2921,CXCL3
84844,PHF5A
2932,GSK3B
2934,GSN
2935,GSPT1
2936,GSR
2937,GSS
2938,GSTA1
2939,GSTA2
2940,GSTA3
2941,GSTA4
2944,GSTM1
2946,GSTM2
2947,GSTM3
2948,GSTM4
2949,GSTM5
2950,GSTP1
84869,CBR4
2952,GSTT1
2953,GSTT2
2954,GSTZ1
84870,RSPO3
2956,MSH6
84875,PARP10
2958,GTF2A2
2959,GTF2B
2962,GTF2F1
2965,GTF2H1
2967,GTF2H3
84888,SPPL2A
2969,GTF2I
84895,MIGA2
2977,GUCY1A2
2982,GUCY1A1
2983,GUCY1B1
166824,RASSF6
84902,CEP89
2987,GUK1
2990,GUSB
2993,GYPA
2994,GYPB
2995,GYPC
2996,GYPE
2997,GYS1
2998,GYS2
84913,ATOH8
3000,GUCY2D
3001,GZMA
3002,GZMB
3003,GZMK
84919,PPP1R15B
3005,H1-0
3006,H1-2
3007,H1-3
3008,H1-4
3009,H1-5
3010,H1-6
3013,H2AC7
3014,H2AX
3015,H2AZ1
3017,H2BC5
3018,H2BC3
3020,H3-3A
3021,H3-3B
3028,HSD17B10
3029,HAGH
3030,HADHA
3032,HADHB
3033,HADH
84953,MICAL2
3036,HAS1
3037,HAS2
84962,AJUBA
3043,HBB
3045,HBD
3049,HBQ1
3050,HBZ
3052,HCCS
3059,HCLS1
3065,HDAC1
3066,HDAC2
3068,HDGF
3069,HDLBP
3070,HELLS
3073,HEXA
134147,CMBL
3075,CFH
3080,CFHR2
3082,HGF
3083,HGFAC
3084,NRG1
3087,HHEX
166929,SGMS2
3091,HIF1A
3092,HIP1
3094,HINT1
3096,HIVEP1
3098,HK1
3099,HK2
3101,HK3
3105,HLA-A
3106,HLA-B
3107,HLA-C
3108,HLA-DMA
3109,HLA-DMB
3110,MNX1
3111,HLA-DOA
3112,HLA-DOB
23413,NCS1
23414,ZFPM2
3117,HLA-DQA2
3122,HLA-DRA
3123,HLA-DRB1
166968,MIER3
3131,HLF
3133,HLA-E
3134,HLA-F
3135,HLA-G
23418,CRB1
3145,HMBS
3146,HMGB1
3148,HMGB2
3149,HMGB3
3151,HMGN2
3155,HMGCL
3156,HMGCR
3157,HMGCS1
3158,HMGCS2
3159,HMGA1
3161,HMMR
3162,HMOX1
3163,HMOX2
3164,NR4A1
3169,FOXA1
3170,FOXA2
3172,HNF4A
3175,ONECUT1
3177,SLC29A2
3178,HNRNPA1
3181,HNRNPA2B1
3183,HNRNPC
3184,HNRNPD
3190,HNRNPK
3192,HNRNPU
3195,TLX1
445571,CBWD3
3204,HOXA7
3205,HOXA9
3206,HOXA10
3207,HOXA11
3209,HOXA13
3211,HOXB1
3219,HOXB9
3226,HOXC10
3227,HOXC11
3229,HOXC13
3237,HOXD11
3239,HOXD13
3242,HPD
3248,HPGD
3249,HPN
3251,HPRT1
3265,HRAS
3267,AGFG1
3269,HRH1
3270,HRC
3273,HRG
3275,PRMT2
3280,HES1
3283,HSD3B1
3290,HSD11B1
3291,HSD11B2
3294,HSD17B2
3295,HSD17B4
3297,HSF1
3301,DNAJA1
3303,HSPA1A
3305,HSPA1L
3306,HSPA2
3308,HSPA4
3309,HSPA5
3312,HSPA8
