,drug_a_name,drug_b_name,cell_line,synergy,fold,cl_fold,drug_fold,new_drug_fold,random_fold,cluster
74,CARBOPLATIN,MK-5108,A2058,-20.01384213,4.0,2,2.0,1.0,1.0,0
75,CARBOPLATIN,MK-8669,A2058,15.203734699999998,1.0,4,2.0,1.0,2.0,0
76,CARBOPLATIN,MK-8776,A2058,32.69822782,3.0,3,2.0,1.0,0.0,0
77,CARBOPLATIN,PD325901,A2058,-31.64625021,3.0,2,2.0,1.0,1.0,0
78,CARBOPLATIN,SORAFENIB,A2058,-33.27180552,1.0,3,2.0,1.0,4.0,0
79,CARBOPLATIN,SUNITINIB,A2058,-8.820303158,2.0,2,2.0,1.0,3.0,0
80,CARBOPLATIN,ZOLINZA,A2058,-23.29399798,4.0,0,2.0,1.0,2.0,0
81,CYCLOPHOSPHAMIDE,ABT-888,A2058,12.72496744,0.0,2,3.0,0.0,3.0,0
82,CYCLOPHOSPHAMIDE,AZD1775,A2058,4.8374594680000005,0.0,4,3.0,0.0,0.0,0
83,CYCLOPHOSPHAMIDE,BEZ-235,A2058,12.746188,1.0,2,3.0,0.0,3.0,0
84,CYCLOPHOSPHAMIDE,BORTEZOMIB,A2058,4.609111485,0.0,0,3.0,0.0,4.0,0
85,CYCLOPHOSPHAMIDE,DASATINIB,A2058,10.37911966,1.0,4,3.0,0.0,4.0,0
86,CYCLOPHOSPHAMIDE,DINACICLIB,A2058,12.40275203,1.0,4,3.0,0.0,1.0,0
87,CYCLOPHOSPHAMIDE,ERLOTINIB,A2058,-2.477100927,0.0,2,3.0,0.0,4.0,0
88,CYCLOPHOSPHAMIDE,GELDANAMYCIN,A2058,2.473548124,0.0,2,3.0,0.0,0.0,0
89,CYCLOPHOSPHAMIDE,L778123,A2058,3.865202946,3.0,2,3.0,0.0,0.0,0
90,CYCLOPHOSPHAMIDE,LAPATINIB,A2058,-2.779763458,4.0,0,3.0,0.0,2.0,0
91,CYCLOPHOSPHAMIDE,MK-2206,A2058,10.17270566,4.0,2,3.0,0.0,1.0,0
92,CYCLOPHOSPHAMIDE,MK-4827,A2058,8.510258466,3.0,0,3.0,0.0,1.0,0
93,CYCLOPHOSPHAMIDE,MK-5108,A2058,5.666592215,3.0,4,3.0,0.0,2.0,0
94,CYCLOPHOSPHAMIDE,MK-8669,A2058,20.19732054,2.0,3,3.0,0.0,4.0,0
95,CYCLOPHOSPHAMIDE,MK-8776,A2058,6.213549792999999,4.0,2,3.0,0.0,2.0,0
96,CYCLOPHOSPHAMIDE,PD325901,A2058,-1.843010941,0.0,4,3.0,0.0,2.0,0
97,CYCLOPHOSPHAMIDE,SORAFENIB,A2058,7.637359375,1.0,0,3.0,0.0,0.0,0
98,CYCLOPHOSPHAMIDE,SUNITINIB,A2058,9.171037685,2.0,0,3.0,0.0,1.0,0
99,CYCLOPHOSPHAMIDE,ZOLINZA,A2058,5.549454826,3.0,3,3.0,0.0,1.0,0
100,DASATINIB,ABT-888,A2058,15.35258512,0.0,2,3.0,1.0,0.0,0
101,DASATINIB,BEZ-235,A2058,70.18047839,4.0,0,3.0,1.0,2.0,0
102,DASATINIB,DINACICLIB,A2058,48.91716359,2.0,4,3.0,1.0,3.0,0
103,DASATINIB,GELDANAMYCIN,A2058,-6.112381722,4.0,0,3.0,1.0,0.0,0
104,DASATINIB,MK-8669,A2058,84.44534771,4.0,0,3.0,1.0,0.0,0
105,DASATINIB,MK-8776,A2058,63.95671041,1.0,3,3.0,1.0,4.0,0
106,DASATINIB,MK-8776,A2058,49.38546378,1.0,3,3.0,1.0,4.0,0
107,DASATINIB,SN-38,A2058,34.01496226,4.0,3,3.0,1.0,1.0,0
108,DASATINIB,SORAFENIB,A2058,36.32943556,3.0,3,3.0,1.0,3.0,0
109,DASATINIB,TOPOTECAN,A2058,6.476481655,1.0,2,3.0,1.0,2.0,0
110,DEXAMETHASONE,ABT-888,A2058,-14.70238461,2.0,3,3.0,0.0,2.0,0
111,DEXAMETHASONE,AZD1775,A2058,-6.037984715,4.0,2,3.0,0.0,3.0,0
112,DEXAMETHASONE,BEZ-235,A2058,13.59419028,2.0,0,3.0,0.0,4.0,0
113,DEXAMETHASONE,BORTEZOMIB,A2058,-1.876554642,3.0,0,3.0,0.0,0.0,0
114,DEXAMETHASONE,DASATINIB,A2058,-0.17873576,4.0,4,3.0,0.0,1.0,0
115,DEXAMETHASONE,DINACICLIB,A2058,-11.40825752,3.0,2,3.0,0.0,0.0,0
116,DEXAMETHASONE,ERLOTINIB,A2058,-18.8279417,4.0,2,3.0,0.0,4.0,0
117,DEXAMETHASONE,GELDANAMYCIN,A2058,-0.401830321,1.0,0,3.0,0.0,2.0,0
118,DEXAMETHASONE,L778123,A2058,-5.018351905,3.0,4,3.0,0.0,4.0,0
119,DEXAMETHASONE,LAPATINIB,A2058,-16.23708253,4.0,4,3.0,0.0,4.0,0
120,DEXAMETHASONE,MK-2206,A2058,-0.548121502,4.0,2,3.0,0.0,4.0,0
121,DEXAMETHASONE,MK-4827,A2058,-17.63091432,2.0,0,3.0,0.0,4.0,0
122,DEXAMETHASONE,MK-5108,A2058,-9.833466048,0.0,0,3.0,0.0,4.0,0
123,DEXAMETHASONE,MK-8669,A2058,10.70131169,1.0,4,3.0,0.0,2.0,0
124,DEXAMETHASONE,MK-8776,A2058,-6.365586469,4.0,4,3.0,0.0,4.0,0
125,DEXAMETHASONE,PD325901,A2058,3.50883165,4.0,2,3.0,0.0,1.0,0
126,DEXAMETHASONE,SORAFENIB,A2058,11.61901571,4.0,4,3.0,0.0,1.0,0
127,DEXAMETHASONE,SUNITINIB,A2058,9.02650146,4.0,0,3.0,0.0,2.0,0
128,DEXAMETHASONE,ZOLINZA,A2058,-12.44071418,3.0,4,3.0,0.0,1.0,0
129,DINACICLIB,MK-8776,A2058,6.375225979,1.0,3,0.0,1.0,2.0,0
130,DOXORUBICIN,ABT-888,A2058,-7.85025899,2.0,2,0.0,1.0,1.0,0
131,DOXORUBICIN,AZD1775,A2058,9.266288363,3.0,2,0.0,0.0,3.0,0
132,DOXORUBICIN,BEZ-235,A2058,2.559401649,4.0,4,0.0,1.0,3.0,0
133,DOXORUBICIN,BORTEZOMIB,A2058,-6.710785962,4.0,2,0.0,0.0,2.0,0
134,DOXORUBICIN,DASATINIB,A2058,2.442853885,4.0,3,0.0,1.0,1.0,0
135,DOXORUBICIN,DINACICLIB,A2058,-3.011384024,0.0,3,0.0,1.0,1.0,0
136,DOXORUBICIN,ERLOTINIB,A2058,3.078529683,1.0,3,0.0,1.0,1.0,0
137,DOXORUBICIN,GELDANAMYCIN,A2058,8.756345300000001,0.0,3,0.0,1.0,1.0,0
138,DOXORUBICIN,L778123,A2058,10.08112851,0.0,3,0.0,1.0,2.0,0
139,DOXORUBICIN,LAPATINIB,A2058,6.131999815,0.0,0,0.0,1.0,0.0,0
140,DOXORUBICIN,MK-2206,A2058,1.820310443,1.0,2,0.0,1.0,3.0,0
141,DOXORUBICIN,MK-4827,A2058,-12.54308836,3.0,4,0.0,1.0,4.0,0
142,DOXORUBICIN,MK-5108,A2058,-6.211030489,3.0,4,0.0,1.0,3.0,0
143,DOXORUBICIN,MK-8669,A2058,-10.49023254,3.0,0,0.0,1.0,4.0,0
144,DOXORUBICIN,MK-8776,A2058,16.68723048,4.0,3,0.0,1.0,2.0,0
145,DOXORUBICIN,PD325901,A2058,12.39260362,1.0,2,0.0,1.0,0.0,0
146,DOXORUBICIN,SORAFENIB,A2058,-4.862590299,1.0,4,0.0,1.0,2.0,0
147,DOXORUBICIN,SUNITINIB,A2058,-3.166045586,4.0,3,0.0,1.0,2.0,0
148,DOXORUBICIN,ZOLINZA,A2058,4.564239417,0.0,4,0.0,1.0,2.0,0
149,ERLOTINIB,ABT-888,A2058,9.667112966,4.0,0,0.0,1.0,1.0,0
150,ERLOTINIB,BEZ-235,A2058,30.44723473,0.0,2,0.0,1.0,0.0,0
151,ERLOTINIB,BORTEZOMIB,A2058,-1.029009573,0.0,2,0.0,0.0,3.0,0
152,ERLOTINIB,DASATINIB,A2058,50.85612673,3.0,4,0.0,1.0,2.0,0
153,ERLOTINIB,DINACICLIB,A2058,0.8405274970000001,0.0,2,0.0,1.0,3.0,0
154,ERLOTINIB,GELDANAMYCIN,A2058,19.85832894,4.0,3,0.0,1.0,4.0,0
155,ERLOTINIB,MK-8669,A2058,52.26171598,4.0,2,0.0,1.0,2.0,0
156,ERLOTINIB,MK-8776,A2058,24.12947014,2.0,4,0.0,1.0,1.0,0
157,ERLOTINIB,PD325901,A2058,6.42220528,2.0,3,0.0,1.0,2.0,0
158,ERLOTINIB,SN-38,A2058,14.2345544,2.0,3,0.0,1.0,0.0,0
159,ERLOTINIB,SORAFENIB,A2058,-1.656545425,1.0,4,0.0,1.0,1.0,0
160,ERLOTINIB,TOPOTECAN,A2058,20.65954665,3.0,3,0.0,1.0,1.0,0
161,ETOPOSIDE,ABT-888,A2058,1.917221664,3.0,3,2.0,1.0,2.0,0
162,ETOPOSIDE,AZD1775,A2058,15.44501094,3.0,2,2.0,0.0,0.0,0
163,ETOPOSIDE,BEZ-235,A2058,2.834078344,2.0,3,2.0,1.0,4.0,0
164,ETOPOSIDE,BORTEZOMIB,A2058,-6.671434145,1.0,3,2.0,0.0,2.0,0
165,ETOPOSIDE,DASATINIB,A2058,11.20512286,4.0,0,2.0,1.0,0.0,0
166,ETOPOSIDE,DINACICLIB,A2058,-6.54343035,1.0,0,2.0,1.0,4.0,0
167,ETOPOSIDE,ERLOTINIB,A2058,1.988047409,2.0,0,2.0,1.0,2.0,0
168,ETOPOSIDE,GELDANAMYCIN,A2058,31.06156665,0.0,0,2.0,1.0,3.0,0
169,ETOPOSIDE,LAPATINIB,A2058,-0.860922372,4.0,0,2.0,1.0,4.0,0
170,ETOPOSIDE,MK-2206,A2058,23.8414603,2.0,0,2.0,1.0,0.0,0
171,ETOPOSIDE,MK-4827,A2058,-1.376598957,2.0,4,2.0,1.0,2.0,0
172,ETOPOSIDE,MK-5108,A2058,-0.715427782,4.0,4,2.0,1.0,3.0,0
173,ETOPOSIDE,MK-8669,A2058,-4.1015614089999985,0.0,3,2.0,1.0,3.0,0
174,ETOPOSIDE,MK-8776,A2058,57.67901606,2.0,0,2.0,1.0,0.0,0
175,ETOPOSIDE,PD325901,A2058,22.17348782,4.0,2,2.0,1.0,1.0,0
176,ETOPOSIDE,SORAFENIB,A2058,-12.15503625,1.0,3,2.0,1.0,0.0,0
177,ETOPOSIDE,SUNITINIB,A2058,-6.972169686,3.0,2,2.0,1.0,3.0,0
178,ETOPOSIDE,ZOLINZA,A2058,3.452239871,2.0,2,2.0,1.0,0.0,0
179,GELDANAMYCIN,BEZ-235,A2058,34.57333585,2.0,0,0.0,1.0,0.0,0
180,GELDANAMYCIN,DINACICLIB,A2058,5.96787578,2.0,3,0.0,1.0,4.0,0
181,GELDANAMYCIN,MK-8776,A2058,51.41963491,4.0,0,0.0,1.0,3.0,0
182,GELDANAMYCIN,SN-38,A2058,19.01850638,1.0,4,0.0,1.0,3.0,0
183,GELDANAMYCIN,SORAFENIB,A2058,8.806885227999999,2.0,4,0.0,1.0,4.0,0
184,GELDANAMYCIN,TOPOTECAN,A2058,22.38658565,3.0,0,0.0,1.0,2.0,0
185,GEMCITABINE,ABT-888,A2058,-0.536733604,0.0,2,2.0,1.0,3.0,0
186,GEMCITABINE,AZD1775,A2058,22.52751282,3.0,3,2.0,0.0,3.0,0
187,GEMCITABINE,AZD1775,A2058,9.379160383,3.0,4,2.0,0.0,3.0,0
188,GEMCITABINE,BEZ-235,A2058,13.23096931,0.0,0,2.0,1.0,2.0,0
189,GEMCITABINE,BORTEZOMIB,A2058,-3.118535426,4.0,4,2.0,0.0,0.0,0
190,GEMCITABINE,DASATINIB,A2058,9.753310846,2.0,0,2.0,1.0,1.0,0
191,GEMCITABINE,DINACICLIB,A2058,-1.947644459,3.0,3,2.0,1.0,4.0,0
192,GEMCITABINE,ERLOTINIB,A2058,4.286517222,1.0,3,2.0,1.0,4.0,0
193,GEMCITABINE,GELDANAMYCIN,A2058,8.998417854,0.0,2,2.0,1.0,0.0,0
194,GEMCITABINE,LAPATINIB,A2058,-0.102381746,0.0,4,2.0,1.0,4.0,0
195,GEMCITABINE,MK-2206,A2058,19.24676212,1.0,4,2.0,1.0,0.0,0
196,GEMCITABINE,MK-4827,A2058,-3.768604329,3.0,4,2.0,1.0,2.0,0
197,GEMCITABINE,MK-5108,A2058,6.584694602000001,4.0,4,2.0,1.0,2.0,0
198,GEMCITABINE,MK-8669,A2058,16.24785146,2.0,3,2.0,1.0,1.0,0
199,GEMCITABINE,MK-8776,A2058,61.69913895,,3,2.0,1.0,3.0,0
200,GEMCITABINE,MK-8776,A2058,93.22193888,,3,2.0,1.0,3.0,0
201,GEMCITABINE,PD325901,A2058,8.20151148,1.0,3,2.0,1.0,1.0,0
202,GEMCITABINE,SORAFENIB,A2058,-15.01487906,1.0,0,2.0,1.0,0.0,0
203,GEMCITABINE,SUNITINIB,A2058,-2.477987643,2.0,3,2.0,1.0,1.0,0
204,L778123,ABT-888,A2058,6.1419773210000015,1.0,2,0.0,1.0,1.0,0
205,L778123,AZD1775,A2058,22.09591653,4.0,4,0.0,0.0,1.0,0
206,L778123,AZD1775,A2058,-10.01095788,4.0,3,0.0,0.0,1.0,0
207,L778123,BEZ-235,A2058,33.03465929,0.0,4,0.0,1.0,3.0,0
208,L778123,BORTEZOMIB,A2058,6.174430599,2.0,4,0.0,0.0,4.0,0
209,L778123,DASATINIB,A2058,38.94681739,3.0,2,0.0,1.0,2.0,0
210,L778123,DINACICLIB,A2058,12.74248391,3.0,2,0.0,1.0,3.0,0
211,L778123,ERLOTINIB,A2058,9.962881535,0.0,0,0.0,1.0,2.0,0
212,L778123,ETOPOSIDE,A2058,24.9439129,2.0,3,0.0,1.0,1.0,0
213,L778123,GELDANAMYCIN,A2058,25.81079702,0.0,0,0.0,1.0,3.0,0
214,L778123,GEMCITABINE,A2058,10.35147758,4.0,4,0.0,1.0,3.0,0
215,L778123,LAPATINIB,A2058,15.56788712,3.0,2,0.0,1.0,4.0,0
216,L778123,MK-2206,A2058,27.85896904,0.0,2,0.0,1.0,3.0,0
217,L778123,MK-4827,A2058,32.17033318,3.0,2,0.0,1.0,0.0,0
218,L778123,MK-5108,A2058,25.4027631,0.0,2,0.0,1.0,0.0,0
219,L778123,MK-8669,A2058,58.87584853,3.0,0,0.0,1.0,1.0,0
220,L778123,MK-8669,A2058,34.03318628,3.0,4,0.0,1.0,1.0,0
221,L778123,MK-8776,A2058,34.40433372,2.0,3,0.0,1.0,4.0,0
222,L778123,PD325901,A2058,9.094502324,1.0,3,0.0,1.0,1.0,0
223,L778123,SN-38,A2058,40.81060203,2.0,0,0.0,1.0,3.0,0
224,L778123,SORAFENIB,A2058,23.18745777,4.0,3,0.0,1.0,3.0,0
225,L778123,SUNITINIB,A2058,21.02058874,2.0,4,0.0,1.0,4.0,0
226,L778123,TOPOTECAN,A2058,45.10320001,0.0,4,0.0,1.0,3.0,0
227,L778123,VINORELBINE,A2058,24.03464194,3.0,2,0.0,1.0,1.0,0
228,L778123,ZOLINZA,A2058,9.318096143,1.0,4,0.0,1.0,2.0,0
229,LAPATINIB,ABT-888,A2058,7.032753472,2.0,2,4.0,1.0,2.0,0
230,LAPATINIB,BEZ-235,A2058,34.88357327,4.0,0,4.0,1.0,0.0,0
231,LAPATINIB,BORTEZOMIB,A2058,14.51043817,0.0,2,4.0,0.0,4.0,0
232,LAPATINIB,DASATINIB,A2058,53.53442452,1.0,0,4.0,1.0,4.0,0
233,LAPATINIB,DINACICLIB,A2058,12.25020261,3.0,3,4.0,1.0,3.0,0
234,LAPATINIB,GELDANAMYCIN,A2058,12.54747684,3.0,0,4.0,1.0,1.0,0
235,LAPATINIB,MK-2206,A2058,33.93536209,2.0,3,4.0,1.0,0.0,0
236,LAPATINIB,MK-2206,A2058,49.61857403,2.0,0,4.0,1.0,0.0,0
237,LAPATINIB,MK-4827,A2058,17.42460493,3.0,0,4.0,1.0,2.0,0
238,LAPATINIB,MK-5108,A2058,-0.59418006,4.0,0,4.0,1.0,0.0,0
239,LAPATINIB,MK-8669,A2058,32.53706921,2.0,3,4.0,1.0,2.0,0
240,LAPATINIB,MK-8776,A2058,22.63455241,0.0,2,4.0,1.0,3.0,0
241,LAPATINIB,PD325901,A2058,44.53959785,1.0,2,4.0,1.0,2.0,0
242,LAPATINIB,SN-38,A2058,22.20324316,3.0,4,4.0,1.0,4.0,0
243,LAPATINIB,SORAFENIB,A2058,18.29918785,3.0,0,4.0,1.0,0.0,0
244,LAPATINIB,TOPOTECAN,A2058,22.04350758,1.0,0,4.0,1.0,4.0,0
245,METFORMIN,ABT-888,A2058,8.236009194,2.0,3,1.0,1.0,1.0,0
246,METFORMIN,AZD1775,A2058,8.488617477,1.0,3,1.0,0.0,4.0,0
247,METFORMIN,BEZ-235,A2058,28.16888608,3.0,3,1.0,1.0,1.0,0
248,METFORMIN,BORTEZOMIB,A2058,-20.46692309,4.0,4,1.0,0.0,3.0,0
249,METFORMIN,DASATINIB,A2058,17.03147015,0.0,2,1.0,1.0,4.0,0
250,METFORMIN,DINACICLIB,A2058,2.415858703,4.0,0,1.0,1.0,4.0,0
251,METFORMIN,ERLOTINIB,A2058,4.938842497,0.0,0,1.0,1.0,2.0,0
252,METFORMIN,GELDANAMYCIN,A2058,3.126791512,3.0,3,1.0,1.0,4.0,0
253,METFORMIN,L778123,A2058,8.308231147999999,0.0,3,1.0,1.0,0.0,0
254,METFORMIN,LAPATINIB,A2058,10.74328688,3.0,2,1.0,1.0,3.0,0
255,METFORMIN,MK-2206,A2058,12.75667396,4.0,4,1.0,1.0,4.0,0
256,METFORMIN,MK-4827,A2058,10.70406375,2.0,0,1.0,1.0,0.0,0
257,METFORMIN,MK-5108,A2058,2.604792444,2.0,3,1.0,1.0,2.0,0
258,METFORMIN,MK-8669,A2058,26.63151347,0.0,0,1.0,1.0,3.0,0
259,METFORMIN,MK-8776,A2058,0.133987742,0.0,4,1.0,1.0,3.0,0
260,METFORMIN,PD325901,A2058,26.4094776,1.0,0,1.0,1.0,3.0,0
261,METFORMIN,SORAFENIB,A2058,16.77560245,3.0,3,1.0,1.0,0.0,0
262,METFORMIN,SUNITINIB,A2058,7.388158405,1.0,4,1.0,1.0,3.0,0
263,METFORMIN,ZOLINZA,A2058,6.478402999,4.0,4,1.0,1.0,0.0,0
264,METHOTREXATE,ABT-888,A2058,-20.92611544,3.0,3,4.0,1.0,1.0,0
265,METHOTREXATE,AZD1775,A2058,-15.7931997,0.0,4,4.0,0.0,2.0,0
266,METHOTREXATE,BEZ-235,A2058,-38.0121297,0.0,0,4.0,1.0,1.0,0
267,METHOTREXATE,BORTEZOMIB,A2058,-28.03309248,2.0,4,4.0,0.0,3.0,0
268,METHOTREXATE,DASATINIB,A2058,-9.892372863,4.0,3,4.0,1.0,2.0,0
269,METHOTREXATE,DINACICLIB,A2058,-13.74681739,0.0,3,4.0,1.0,3.0,0
270,METHOTREXATE,ERLOTINIB,A2058,-7.975537017000001,2.0,0,4.0,1.0,3.0,0
271,METHOTREXATE,GELDANAMYCIN,A2058,-44.18515593,0.0,0,4.0,1.0,0.0,0
272,METHOTREXATE,L778123,A2058,-13.84771181,2.0,3,4.0,1.0,1.0,0
273,METHOTREXATE,LAPATINIB,A2058,-15.23182839,0.0,4,4.0,1.0,0.0,0
274,METHOTREXATE,MK-2206,A2058,-11.89008748,1.0,3,4.0,1.0,2.0,0
275,METHOTREXATE,MK-4827,A2058,-25.77083095,0.0,3,4.0,1.0,4.0,0
276,METHOTREXATE,MK-5108,A2058,-22.64513057,0.0,2,4.0,1.0,4.0,0
277,METHOTREXATE,MK-8669,A2058,-21.66906573,0.0,3,4.0,1.0,0.0,0
278,METHOTREXATE,MK-8776,A2058,-10.82459377,1.0,4,4.0,1.0,3.0,0
279,METHOTREXATE,PD325901,A2058,-19.38027871,4.0,3,4.0,1.0,1.0,0
280,METHOTREXATE,SORAFENIB,A2058,-10.32858962,3.0,3,4.0,1.0,0.0,0
281,METHOTREXATE,SUNITINIB,A2058,-14.35651076,0.0,3,4.0,1.0,2.0,0
282,METHOTREXATE,ZOLINZA,A2058,-33.78337564,0.0,3,4.0,1.0,1.0,0
283,MITOMYCINE,ABT-888,A2058,5.754201254,4.0,3,4.0,1.0,0.0,0
284,MITOMYCINE,AZD1775,A2058,12.66735688,3.0,0,4.0,0.0,1.0,0
285,MITOMYCINE,BEZ-235,A2058,12.24650668,1.0,3,4.0,1.0,0.0,0
286,MITOMYCINE,BORTEZOMIB,A2058,1.135606408,0.0,0,4.0,0.0,2.0,0
287,MITOMYCINE,DASATINIB,A2058,17.72933313,0.0,2,4.0,1.0,1.0,0
