BatchID,cell_line,drug_name,Drug_concentration (microM),viability1,viability2,viability3,viability4,viability5,viability6,mu/muMax,X/X0
1,CAOV3,5-FU,3.4,0.873,0.775,0.637,0.757,0.734,0.728,0.617,0.588
1,CAOV3,5-FU,10,0.517,0.609,0.431,0.519,0.522,0.561,0.148,0.307
1,COLO320DM,5-FU,0.0045,0.843,0.950,1.117,1.047,1.102,1.042,1.016,1.022
1,COLO320DM,5-FU,0.014,0.869,0.932,0.969,0.847,0.795,1.133,0.962,0.949
1,COLO320DM,5-FU,0.04,1.067,1.022,1.064,0.839,1.209,1.266,1.023,1.032
1,COLO320DM,5-FU,0.12,0.928,0.879,0.900,0.904,0.985,1.094,0.968,0.957
1,COLO320DM,5-FU,0.37,0.800,0.866,0.919,0.728,0.864,0.714,0.934,0.912
1,COLO320DM,5-FU,1.1,0.599,0.617,0.578,0.623,0.546,0.469,0.808,0.767
1,COLO320DM,5-FU,3.4,0.428,0.447,0.454,0.398,0.449,0.489,0.711,0.669
1,COLO320DM,5-FU,10,0.421,0.435,0.407,0.388,0.285,0.332,0.667,0.630
1,DLD1,5-FU,0.0045,0.896,0.874,1.023,1.090,1.034,1.048,1.011,1.015
1,DLD1,5-FU,0.014,0.999,0.904,0.983,0.987,1.056,0.876,0.994,0.992
1,DLD1,5-FU,0.04,0.949,0.906,1.096,0.927,0.973,1.017,0.985,0.979
1,DLD1,5-FU,0.12,0.948,0.901,1.003,1.109,1.001,0.937,0.990,0.986
1,DLD1,5-FU,0.37,1.138,1.066,0.969,0.955,0.896,0.962,0.986,0.981
1,DLD1,5-FU,1.1,0.792,0.921,0.901,0.763,0.817,0.704,0.916,0.890
1,DLD1,5-FU,3.4,0.781,0.645,0.540,0.555,0.583,0.617,0.803,0.761
1,DLD1,5-FU,10,0.322,0.454,0.363,0.420,0.278,0.416,0.637,0.604
1,EFM192B,5-FU,0.0045,0.976,0.988,1.068,1.047,1.025,0.899,1.006,1.008
1,EFM192B,5-FU,0.014,0.962,0.990,0.808,1.048,1.041,0.998,0.995,0.993
1,EFM192B,5-FU,0.04,1.052,1.034,1.036,1.102,0.919,0.928,1.031,1.044
1,EFM192B,5-FU,0.12,1.021,1.039,0.759,0.847,0.957,0.954,0.959,0.944
1,EFM192B,5-FU,0.37,0.966,0.956,0.898,0.923,1.052,0.774,0.944,0.925
1,EFM192B,5-FU,1.1,0.862,0.823,0.842,0.744,0.902,0.806,0.834,0.794
1,EFM192B,5-FU,3.4,0.768,1.104,0.689,0.678,0.675,0.708,0.674,0.637
1,EFM192B,5-FU,10,0.655,0.715,0.570,0.648,0.712,0.567,0.611,0.583
1,ES2,5-FU,0.0045,0.852,0.773,1.059,0.932,0.849,0.874,0.928,0.905
1,ES2,5-FU,0.014,1.034,0.883,0.800,0.824,0.930,1.013,0.952,0.935
1,ES2,5-FU,0.04,0.917,0.900,1.072,1.033,0.955,1.028,0.996,0.994
1,ES2,5-FU,0.12,1.049,0.883,0.831,0.797,1.002,1.029,0.971,0.961
1,ES2,5-FU,0.37,1.150,1.041,0.959,1.056,0.960,0.950,1.000,1.000
1,ES2,5-FU,1.1,0.946,0.910,0.960,0.952,0.975,0.775,0.974,0.965
1,ES2,5-FU,3.4,0.785,0.816,0.817,0.777,0.683,0.729,0.879,0.846
1,ES2,5-FU,10,0.573,0.539,0.528,0.530,0.527,0.486,0.688,0.649
1,HCT116,5-FU,0.0045,0.853,0.847,1.029,1.213,0.991,1.113,1.005,1.007
1,HCT116,5-FU,0.014,0.885,0.851,0.880,1.007,0.968,0.891,0.941,0.922
1,HCT116,5-FU,0.04,0.926,0.880,0.950,1.004,0.987,0.906,0.968,0.957
1,HCT116,5-FU,0.12,0.911,0.866,0.914,0.983,1.013,0.894,0.955,0.940
1,HCT116,5-FU,0.37,1.051,1.084,0.964,0.974,0.928,0.824,0.984,0.979
1,HCT116,5-FU,1.1,0.985,0.918,0.967,1.041,0.815,0.796,0.971,0.960
1,HCT116,5-FU,3.4,0.774,0.828,0.814,0.707,0.775,0.789,0.879,0.845
1,HCT116,5-FU,10,0.276,0.324,0.276,0.276,0.274,0.273,0.365,0.414
1,HT144,5-FU,0.0045,0.980,0.959,0.979,0.963,0.949,0.950,0.971,0.961
1,HT144,5-FU,0.014,0.958,0.971,0.953,0.976,0.984,1.002,0.980,0.973
1,HT144,5-FU,0.04,0.976,0.937,0.901,0.968,0.858,0.938,0.953,0.937
1,HT144,5-FU,0.12,0.980,0.967,1.008,0.978,0.984,1.013,0.987,0.982
1,HT144,5-FU,0.37,1.089,1.057,1.052,1.013,0.894,0.942,1.024,1.033
1,HT144,5-FU,1.1,0.991,0.959,0.911,0.927,0.841,0.876,0.938,0.918
1,HT144,5-FU,3.4,0.841,0.894,0.897,0.763,0.752,0.726,0.838,0.799
1,HT144,5-FU,10,0.768,0.687,0.682,0.607,0.647,0.705,0.722,0.681
1,HT29,5-FU,0.0045,0.927,0.963,1.035,1.072,1.057,1.005,1.009,1.012
1,HT29,5-FU,0.014,0.982,0.981,1.024,1.042,0.947,0.979,0.992,0.989
1,HT29,5-FU,0.04,0.959,1.018,1.030,1.059,0.991,1.027,1.010,1.014
1,HT29,5-FU,0.12,0.964,0.985,1.104,1.082,0.848,0.902,0.989,0.985
1,HT29,5-FU,0.37,1.005,1.114,0.906,0.918,0.932,0.969,0.978,0.970
1,HT29,5-FU,1.1,0.864,0.862,0.695,0.724,0.912,0.946,0.936,0.915
1,HT29,5-FU,3.4,0.504,0.591,0.504,0.532,0.600,0.601,0.748,0.705
1,HT29,5-FU,10,0.340,0.332,0.316,0.303,0.286,0.396,0.507,0.505
1,KPL1,5-FU,0.0045,0.908,0.833,0.958,0.909,1.193,1.161,0.953,0.936
1,KPL1,5-FU,0.014,0.997,0.748,0.928,0.921,1.054,1.232,0.974,0.964
1,KPL1,5-FU,0.04,1.002,0.898,1.142,1.104,1.253,1.201,1.080,1.117
1,KPL1,5-FU,0.12,0.934,0.880,0.889,0.914,1.051,1.225,0.946,0.927
1,KPL1,5-FU,0.37,0.819,0.957,0.885,0.914,0.828,0.853,0.903,0.874
1,KPL1,5-FU,1.1,0.850,0.926,0.833,0.953,0.845,0.715,0.886,0.854
1,KPL1,5-FU,3.4,0.871,0.847,0.668,0.742,0.687,0.621,0.769,0.726
1,KPL1,5-FU,10,0.569,0.557,0.539,0.500,0.490,0.537,0.574,0.554
1,LNCAP,5-FU,0.0045,0.916,0.950,0.690,1.301,1.425,1.188,1.041,1.058
1,LNCAP,5-FU,0.014,0.863,0.854,0.796,0.721,0.909,0.939,0.906,0.878
1,LNCAP,5-FU,0.04,0.795,0.891,1.269,1.288,0.864,0.924,0.940,0.921
1,LNCAP,5-FU,0.12,0.649,0.567,0.657,1.056,0.833,1.134,0.820,0.779
1,LNCAP,5-FU,0.37,1.267,1.046,0.705,0.951,1.074,1.035,1.024,1.034
1,LNCAP,5-FU,1.1,1.370,0.853,0.726,0.562,0.766,0.938,0.871,0.836
1,LNCAP,5-FU,3.4,0.857,0.509,0.614,0.367,0.565,0.573,0.654,0.619
1,LNCAP,5-FU,10,0.198,0.248,0.395,0.295,0.482,0.262,0.216,0.338
1,LOVO,5-FU,0.0045,0.803,0.942,0.907,1.098,0.928,1.095,0.968,0.956
1,LOVO,5-FU,0.014,0.861,1.102,0.958,0.874,0.911,0.793,0.945,0.927
1,LOVO,5-FU,0.04,1.023,0.855,0.981,0.991,1.098,1.139,1.003,1.005
1,LOVO,5-FU,0.12,1.015,1.257,1.085,1.005,0.705,1.190,1.023,1.033
1,LOVO,5-FU,0.37,0.842,1.216,0.788,0.856,0.933,1.182,0.946,0.928
1,LOVO,5-FU,1.1,0.644,1.183,0.990,1.215,0.947,0.762,0.985,0.979
1,LOVO,5-FU,3.4,0.674,0.540,0.844,0.557,0.845,0.875,0.867,0.832
1,LOVO,5-FU,10,0.454,0.471,0.384,0.289,0.370,0.529,0.581,0.560
1,MDAMB436,5-FU,0.0045,0.978,0.951,1.025,0.942,1.094,1.187,1.001,1.001
1,MDAMB436,5-FU,0.014,0.983,0.995,0.857,0.906,1.047,1.115,0.994,0.991
1,MDAMB436,5-FU,0.04,1.025,1.000,0.974,1.069,1.110,1.009,1.009,1.013
1,MDAMB436,5-FU,0.12,1.090,0.944,0.784,0.770,1.056,1.032,0.993,0.991
1,MDAMB436,5-FU,0.37,0.943,0.987,0.947,0.891,0.799,0.802,0.951,0.935
1,MDAMB436,5-FU,1.1,0.823,0.731,0.773,0.727,0.769,0.796,0.854,0.817
1,MDAMB436,5-FU,3.4,0.655,0.603,0.653,0.621,0.565,0.579,0.725,0.683
1,MDAMB436,5-FU,10,0.570,0.575,0.574,0.562,0.513,0.519,0.682,0.643
1,MSTO,5-FU,0.0045,0.706,0.885,0.742,1.112,1.010,1.252,0.977,0.969
1,MSTO,5-FU,0.014,0.687,0.744,0.574,0.839,0.946,1.231,0.902,0.873
1,MSTO,5-FU,0.04,0.652,0.727,0.977,0.674,0.881,1.124,0.908,0.881
1,MSTO,5-FU,0.12,0.659,0.712,0.608,0.772,1.039,1.420,0.874,0.840
1,MSTO,5-FU,0.37,0.978,1.231,1.052,1.302,1.100,0.976,1.031,1.043
1,MSTO,5-FU,1.1,0.986,1.056,0.894,0.183,0.770,0.867,0.946,0.928
1,MSTO,5-FU,3.4,0.424,0.821,0.533,0.481,0.651,0.741,0.780,0.737
1,MSTO,5-FU,10,0.235,0.248,0.282,0.291,0.285,0.323,0.471,0.480
1,NCIH1650,5-FU,0.0045,0.932,1.022,1.007,1.006,1.028,1.031,1.011,1.016
1,NCIH1650,5-FU,0.014,1.014,1.010,1.005,0.984,0.941,0.993,0.999,0.999
1,NCIH1650,5-FU,0.04,0.968,1.083,0.988,1.140,1.037,0.992,1.011,1.015
1,NCIH1650,5-FU,0.12,0.999,1.093,1.015,0.975,0.965,0.888,0.990,0.986
1,NCIH1650,5-FU,0.37,0.943,0.892,0.957,0.940,0.982,0.804,0.953,0.937
1,NCIH1650,5-FU,1.1,0.957,0.881,1.008,0.813,0.933,0.922,0.942,0.923
1,NCIH1650,5-FU,3.4,0.838,0.701,0.842,0.726,0.835,0.787,0.838,0.799
1,NCIH1650,5-FU,10,0.757,0.719,0.730,0.588,0.676,0.634,0.721,0.679
1,NCIH2122,5-FU,0.0045,1.068,1.030,1.025,1.107,1.091,1.074,1.031,1.044
1,NCIH2122,5-FU,0.014,1.052,1.014,0.998,1.006,0.911,0.949,1.001,1.002
1,NCIH2122,5-FU,0.04,1.132,0.991,1.050,1.012,0.990,1.009,1.005,1.007
1,NCIH2122,5-FU,0.12,0.997,0.976,0.968,0.922,0.876,0.897,0.974,0.965
1,NCIH2122,5-FU,0.37,0.652,0.672,0.561,0.540,0.614,0.575,0.765,0.722
1,NCIH2122,5-FU,1.1,0.366,0.370,0.340,0.297,0.386,0.287,0.530,0.521
1,NCIH2122,5-FU,3.4,0.206,0.202,0.188,0.173,0.202,0.171,0.261,0.359
1,NCIH2122,5-FU,10,0.163,0.146,0.172,0.151,0.154,0.145,0.151,0.308
1,NCIH23,5-FU,0.0045,0.855,1.108,1.110,1.020,0.989,1.120,1.029,1.041
1,NCIH23,5-FU,0.014,0.957,0.964,1.066,0.992,1.131,1.083,1.013,1.019
1,NCIH23,5-FU,0.04,0.895,0.913,1.104,0.896,1.054,1.008,0.981,0.974
1,NCIH23,5-FU,0.12,1.054,1.087,1.033,0.883,0.985,1.033,1.015,1.022
1,NCIH23,5-FU,0.37,0.931,0.876,0.783,0.796,0.903,0.978,0.945,0.927
1,NCIH23,5-FU,1.1,0.887,0.793,0.842,0.729,0.865,0.731,0.906,0.877
1,NCIH23,5-FU,3.4,0.681,0.606,0.676,0.537,0.519,0.591,0.759,0.716
1,NCIH23,5-FU,10,0.468,0.489,0.398,0.363,0.446,0.411,0.603,0.577
1,NCIH460,5-FU,0.0045,0.852,0.815,0.945,0.953,0.909,0.857,0.918,0.892
1,NCIH460,5-FU,0.014,0.915,0.837,0.988,1.026,1.038,0.943,0.977,0.969
1,NCIH460,5-FU,0.04,0.858,0.871,0.915,0.879,0.916,0.934,0.928,0.906
1,NCIH460,5-FU,0.12,0.957,0.867,0.888,0.974,1.020,1.044,0.977,0.968
1,NCIH460,5-FU,0.37,1.018,1.051,0.924,0.947,0.835,0.839,0.956,0.941
1,NCIH460,5-FU,1.1,0.910,0.871,0.879,0.890,0.874,0.895,0.919,0.894
1,NCIH460,5-FU,3.4,0.465,0.464,0.446,0.436,0.481,0.450,0.484,0.489
1,NCIH460,5-FU,10,0.387,0.354,0.346,0.301,0.369,0.356,0.317,0.388
1,NCIH520,5-FU,0.0045,1.041,1.058,1.312,1.092,1.106,0.753,1.029,1.040
1,NCIH520,5-FU,0.014,0.885,1.007,1.118,0.932,0.923,0.925,0.971,0.960
1,NCIH520,5-FU,0.04,0.812,0.993,1.261,0.731,1.028,0.999,0.998,0.998
1,NCIH520,5-FU,0.12,0.969,0.910,1.119,0.897,0.914,1.008,0.976,0.967
1,NCIH520,5-FU,0.37,1.049,0.885,1.036,0.911,0.920,0.847,0.965,0.953
1,NCIH520,5-FU,1.1,0.592,0.667,0.735,0.742,0.895,0.828,0.880,0.847
1,NCIH520,5-FU,3.4,0.472,0.502,0.545,0.465,0.414,0.471,0.703,0.662
1,NCIH520,5-FU,10,0.473,0.428,0.348,0.327,0.397,0.390,0.632,0.600
1,OCUBM,5-FU,0.0045,0.906,0.906,1.075,1.063,1.161,0.928,0.995,0.993
1,OCUBM,5-FU,0.014,0.893,0.955,1.024,0.783,1.052,0.945,0.943,0.923
1,OCUBM,5-FU,0.04,0.922,0.941,0.867,1.074,1.005,0.945,0.934,0.912
1,OCUBM,5-FU,0.12,0.922,0.956,1.016,0.851,0.942,1.080,0.941,0.921
1,OCUBM,5-FU,0.37,1.125,1.146,1.107,0.895,0.905,0.936,1.024,1.034
1,OCUBM,5-FU,1.1,1.040,0.891,0.927,0.883,0.739,0.769,0.865,0.829
1,OCUBM,5-FU,3.4,0.848,0.716,0.790,0.752,0.630,0.656,0.651,0.616
1,OCUBM,5-FU,10,0.652,0.646,0.609,0.616,0.552,0.583,0.447,0.465
1,OV90,5-FU,0.0045,0.825,0.903,1.076,1.013,0.822,0.748,0.884,0.852
1,OV90,5-FU,0.014,0.900,0.887,0.892,1.010,0.970,1.130,0.947,0.929
1,OV90,5-FU,0.04,0.870,0.937,0.916,0.945,0.884,1.052,0.940,0.920
1,OV90,5-FU,0.12,0.896,0.983,0.912,0.967,0.937,0.955,0.956,0.941
1,OV90,5-FU,0.37,1.089,0.940,0.939,0.985,1.003,0.881,0.970,0.959
1,OV90,5-FU,1.1,0.872,0.909,0.948,0.996,0.973,0.991,0.968,0.957
1,OV90,5-FU,3.4,1.073,1.013,0.870,0.803,0.936,0.901,0.933,0.911
1,OV90,5-FU,10,0.839,0.785,0.796,0.782,0.813,0.861,0.828,0.788
1,OVCAR3,5-FU,0.0045,0.992,1.027,1.165,0.994,1.162,1.062,1.043,1.061
1,OVCAR3,5-FU,0.014,1.007,0.953,0.911,0.965,0.969,1.110,0.967,0.955
1,OVCAR3,5-FU,0.04,1.041,1.058,1.126,1.033,1.045,1.031,1.041,1.059
1,OVCAR3,5-FU,0.12,0.888,0.930,1.074,0.999,0.902,1.066,0.965,0.952
1,OVCAR3,5-FU,0.37,0.873,0.873,0.860,0.941,0.812,0.776,0.859,0.823
1,OVCAR3,5-FU,1.1,0.660,0.678,0.737,0.701,0.711,0.809,0.658,0.622
1,OVCAR3,5-FU,3.4,0.568,0.570,0.674,0.597,0.684,0.613,0.506,0.504
1,OVCAR3,5-FU,10,0.642,0.586,0.517,0.546,0.572,0.550,0.432,0.455
1,PA1,5-FU,0.0045,0.794,0.837,0.970,1.283,0.987,1.023,0.990,0.986
1,PA1,5-FU,0.014,1.070,0.840,0.935,0.969,1.188,1.160,1.009,1.012
1,PA1,5-FU,0.04,0.904,0.817,1.015,0.921,0.837,0.886,0.949,0.931
1,PA1,5-FU,0.12,0.937,0.825,0.962,0.898,0.969,1.132,0.976,0.967
1,PA1,5-FU,0.37,0.998,1.004,0.993,1.054,0.757,0.761,0.998,0.997
1,PA1,5-FU,1.1,0.554,0.598,0.844,0.604,0.585,0.582,0.756,0.713
1,PA1,5-FU,3.4,0.355,0.391,0.302,0.197,0.217,0.171,0.371,0.418
1,PA1,5-FU,10,0.128,0.180,0.096,0.070,0.135,0.107,0.002,0.251
1,RKO,5-FU,0.0045,0.830,0.728,1.041,1.045,1.035,1.087,1.017,1.024
1,RKO,5-FU,0.014,0.809,0.855,0.903,0.806,1.131,1.025,0.941,0.921
1,RKO,5-FU,0.04,0.841,0.777,0.978,1.044,1.092,1.118,1.005,1.007
1,RKO,5-FU,0.12,0.820,0.791,0.718,0.792,1.096,1.048,0.901,0.871
1,RKO,5-FU,0.37,1.057,0.982,0.851,0.896,0.655,0.717,0.938,0.917
1,RKO,5-FU,1.1,0.766,0.814,0.795,0.813,0.656,0.598,0.886,0.854
1,RKO,5-FU,3.4,0.536,0.515,0.523,0.489,0.454,0.439,0.682,0.644
1,RKO,5-FU,10,0.538,0.593,0.554,0.497,0.492,0.480,0.697,0.657
1,RPMI7951,5-FU,0.0045,0.942,0.989,1.059,1.054,1.043,1.058,1.046,1.066
1,RPMI7951,5-FU,0.014,0.935,1.024,1.031,0.999,1.022,1.047,1.022,1.031
1,RPMI7951,5-FU,0.04,0.978,0.983,1.053,1.084,1.048,1.037,1.041,1.058
1,RPMI7951,5-FU,0.12,0.964,1.038,0.993,1.033,1.057,0.952,1.013,1.018
1,RPMI7951,5-FU,0.37,0.943,0.987,1.002,0.906,0.874,0.912,0.927,0.903
1,RPMI7951,5-FU,1.1,0.797,0.878,0.897,0.935,0.891,0.882,0.883,0.850
1,RPMI7951,5-FU,3.4,0.801,0.768,0.685,0.680,0.677,0.738,0.669,0.632
1,RPMI7951,5-FU,10,0.615,0.619,0.642,0.617,0.594,0.608,0.528,0.520
1,SKMEL30,5-FU,0.0045,0.979,0.858,0.970,0.994,1.258,1.202,0.993,0.991
1,SKMEL30,5-FU,0.014,0.912,0.946,0.785,0.941,1.264,1.089,0.972,0.962
1,SKMEL30,5-FU,0.04,0.930,0.901,0.991,1.106,1.289,1.233,1.023,1.032
1,SKMEL30,5-FU,0.12,0.960,0.880,0.687,0.850,1.332,1.068,0.960,0.946
1,SKMEL30,5-FU,0.37,1.200,1.167,1.042,1.135,0.860,0.847,1.041,1.058
1,SKMEL30,5-FU,1.1,1.092,1.033,1.089,0.967,0.837,0.805,1.000,1.000
1,SKMEL30,5-FU,3.4,0.965,0.744,0.746,0.713,0.673,0.654,0.848,0.810
1,SKMEL30,5-FU,10,0.503,0.549,0.475,0.542,0.539,0.483,0.687,0.648
1,SKMES1,5-FU,0.0045,0.978,0.963,0.965,1.054,0.949,1.011,0.985,0.979
1,SKMES1,5-FU,0.014,0.892,1.063,0.934,0.925,1.028,1.025,0.989,0.985
1,SKMES1,5-FU,0.04,0.902,0.985,0.918,0.917,0.880,1.127,0.954,0.938
1,SKMES1,5-FU,0.12,0.899,0.975,0.864,0.977,0.893,1.125,0.965,0.953
1,SKMES1,5-FU,0.37,0.936,0.960,0.857,0.829,0.920,0.970,0.960,0.946
1,SKMES1,5-FU,1.1,0.688,0.742,0.744,0.678,0.694,0.725,0.817,0.776
1,SKMES1,5-FU,3.4,0.586,0.630,0.600,0.591,0.569,0.604,0.724,0.682
1,SKMES1,5-FU,10,0.593,0.611,0.518,0.562,0.556,0.552,0.690,0.651
1,SKOV3,5-FU,0.0045,1.077,0.941,1.150,NULL,NULL,NULL,1.043,1.061
1,SKOV3,5-FU,0.014,0.969,1.030,1.066,NULL,NULL,NULL,1.017,1.024
1,SKOV3,5-FU,0.04,0.991,1.106,1.076,NULL,NULL,NULL,1.042,1.060
1,SKOV3,5-FU,0.12,0.987,1.147,0.891,NULL,NULL,NULL,0.993,0.990
1,SKOV3,5-FU,0.37,1.144,0.969,0.970,NULL,NULL,NULL,0.982,0.976
1,SKOV3,5-FU,1.1,0.897,1.002,0.945,NULL,NULL,NULL,0.967,0.956
1,SKOV3,5-FU,3.4,0.872,0.909,0.959,NULL,NULL,NULL,0.945,0.927
1,SKOV3,5-FU,10,0.774,0.633,0.577,NULL,NULL,NULL,0.738,0.696
1,SW620,5-FU,0.0045,0.904,0.943,1.107,1.120,1.093,1.102,1.037,1.053
1,SW620,5-FU,0.014,0.901,0.886,0.902,0.876,1.002,1.137,0.959,0.944
1,SW620,5-FU,0.04,0.923,0.899,1.098,1.130,1.039,1.134,1.026,1.037
1,SW620,5-FU,0.12,0.901,0.908,0.875,1.003,1.082,1.103,0.982,0.975
1,SW620,5-FU,0.37,0.990,1.009,1.051,0.907,0.909,0.808,0.979,0.972
1,SW620,5-FU,1.1,0.916,1.032,0.913,0.906,0.915,0.991,0.965,0.952
1,SW620,5-FU,3.4,0.812,0.773,0.813,0.749,0.727,0.787,0.901,0.872
1,SW620,5-FU,10,0.495,0.497,0.482,0.426,0.455,0.441,0.698,0.658
1,SW837,5-FU,0.0045,1.459,1.000,0.943,1.359,0.975,0.991,0.997,0.996
1,SW837,5-FU,0.014,1.021,0.834,0.866,0.715,1.011,0.923,0.928,0.905
1,SW837,5-FU,0.04,1.293,0.999,1.237,0.865,0.918,0.960,0.987,0.982
1,SW837,5-FU,0.12,1.105,1.297,1.032,1.143,1.012,0.958,1.043,1.062
1,SW837,5-FU,0.37,1.025,0.908,0.849,0.951,0.783,0.920,0.941,0.922
1,SW837,5-FU,1.1,0.793,0.852,0.789,0.595,0.513,0.704,0.810,0.769
1,SW837,5-FU,3.4,0.585,0.562,0.569,0.553,0.407,0.628,0.630,0.599
1,SW837,5-FU,10,0.423,0.701,0.495,0.367,0.464,0.402,0.472,0.481
1,T47D,5-FU,0.0045,0.773,1.019,1.197,0.883,0.983,1.341,1.001,1.001
1,T47D,5-FU,0.014,0.833,1.069,1.089,0.821,1.591,0.630,0.937,0.916
1,T47D,5-FU,0.04,0.793,1.546,1.110,1.656,1.194,1.032,1.179,1.281
1,T47D,5-FU,0.12,1.430,1.144,1.006,1.370,0.931,0.745,1.091,1.135
1,T47D,5-FU,0.37,0.918,0.744,1.212,0.670,1.080,0.753,0.773,0.730
1,T47D,5-FU,1.1,0.853,0.772,0.817,0.994,0.898,0.821,0.775,0.732
1,T47D,5-FU,3.4,0.927,0.648,0.861,0.866,0.637,0.909,0.814,0.773
1,T47D,5-FU,10,0.775,0.792,0.963,0.444,0.656,0.487,0.576,0.556
1,UACC62,5-FU,0.0045,0.931,0.894,1.093,1.082,1.104,1.019,1.033,1.047
1,UACC62,5-FU,0.014,0.916,0.941,0.912,0.946,1.014,0.915,0.950,0.933
1,UACC62,5-FU,0.04,0.852,0.854,1.057,1.000,0.953,0.941,0.963,0.950
1,UACC62,5-FU,0.12,0.976,1.039,0.973,0.934,1.062,1.068,1.005,1.007
1,UACC62,5-FU,0.37,1.153,1.082,1.145,0.998,0.843,0.803,1.027,1.038
1,UACC62,5-FU,1.1,0.856,0.983,0.738,0.916,0.815,0.856,0.895,0.865
1,UACC62,5-FU,3.4,0.823,0.741,0.776,0.808,0.663,0.657,0.814,0.772
1,UACC62,5-FU,10,0.642,0.647,0.675,0.685,0.635,0.574,0.703,0.663
1,UWB1289,5-FU,0.0045,0.991,1.007,0.901,1.095,0.831,0.957,0.978,0.970
1,UWB1289,5-FU,0.014,1.027,1.076,0.906,1.094,0.934,0.900,0.984,0.977
1,UWB1289,5-FU,0.04,1.063,1.074,0.877,0.738,0.869,1.022,0.957,0.942
1,UWB1289,5-FU,0.12,0.987,1.048,0.831,0.922,0.954,0.908,0.946,0.928
1,UWB1289,5-FU,0.37,0.955,0.913,0.929,0.892,0.961,0.915,0.932,0.910
1,UWB1289,5-FU,1.1,0.762,0.760,0.719,0.726,0.887,0.853,0.771,0.728
1,UWB1289,5-FU,3.4,0.757,0.697,0.678,0.650,0.711,0.734,0.706,0.665
1,UWB1289,5-FU,10,0.560,0.644,0.514,0.524,0.598,0.556,0.511,0.508
