Compound,Channel,Experiment,Dose,Response
5-FU,A375,2,0.0045,2.5
5-FU,A375,3,0.0045,-7.299999999999997
5-FU,A375,4,0.0045,-4.5
5-FU,A375,5,0.0045,4.800000000000011
5-FU,A375,0,0.014,6.0
5-FU,A375,1,0.014,16.5
5-FU,A375,2,0.014,5.0
5-FU,A375,3,0.014,2.299999999999997
5-FU,A375,4,0.014,0.09999999999999432
5-FU,A375,5,0.014,-4.6000000000000085
5-FU,A375,0,0.04,9.0
5-FU,A375,1,0.04,16.599999999999994
5-FU,A375,2,0.04,10.400000000000006
5-FU,A375,3,0.04,-10.800000000000011
5-FU,A375,4,0.04,5.6000000000000085
5-FU,A375,5,0.04,-0.09999999999999432
5-FU,A375,0,0.12,6.799999999999997
5-FU,A375,1,0.12,16.099999999999994
5-FU,A375,2,0.12,5.400000000000006
5-FU,A375,3,0.12,2.9000000000000057
5-FU,A375,4,0.12,-6.099999999999994
5-FU,A375,5,0.12,6.200000000000003
5-FU,A375,0,0.37,-18.40000000000002
5-FU,A375,1,0.37,-15.299999999999997
5-FU,A375,2,0.37,-8.0
5-FU,A375,3,0.37,-11.099999999999994
5-FU,A375,4,0.37,11.099999999999994
5-FU,A375,5,0.37,7.599999999999994
5-FU,A375,0,1.1,-14.299999999999997
5-FU,A375,1,1.1,-10.600000000000009
5-FU,A375,2,1.1,-15.199999999999989
5-FU,A375,3,1.1,-13.299999999999997
5-FU,A375,4,1.1,4.6000000000000085
5-FU,A375,5,1.1,12.099999999999994
5-FU,A375,0,3.4,-12.400000000000006
5-FU,A375,1,3.4,-7.299999999999997
5-FU,A375,2,3.4,-5.90000000000002
5-FU,A375,3,3.4,-7.5
5-FU,A375,4,3.4,10.0
5-FU,A375,5,3.4,14.799999999999997
5-FU,A375,0,10.0,38.6
5-FU,A375,1,10.0,42.89999999999999
5-FU,A375,2,10.0,36.9
5-FU,A375,3,10.0,46.599999999999994
5-FU,A375,4,10.0,52.300000000000004
5-FU,A375,5,10.0,47.8
5-FU,A427,0,0.0045,8.799999999999997
5-FU,A427,1,0.0045,-2.299999999999997
5-FU,A427,2,0.0045,12.799999999999997
5-FU,A427,0,0.014,15.099999999999994
5-FU,A427,1,0.014,8.700000000000003
5-FU,A427,2,0.014,20.799999999999997
5-FU,A427,0,0.04,14.400000000000006
5-FU,A427,1,0.04,-18.40000000000002
5-FU,A427,2,0.04,16.799999999999997
5-FU,A427,0,0.12,13.599999999999994
5-FU,A427,1,0.12,7.099999999999994
5-FU,A427,2,0.12,9.0
5-FU,A427,0,0.37,-13.199999999999989
5-FU,A427,1,0.37,1.5999999999999943
5-FU,A427,2,0.37,2.4000000000000057
5-FU,A427,0,1.1,3.700000000000003
5-FU,A427,1,1.1,6.799999999999997
5-FU,A427,2,1.1,14.099999999999994
5-FU,A427,0,3.4,26.700000000000003
5-FU,A427,1,3.4,45.599999999999994
5-FU,A427,2,3.4,34.599999999999994
5-FU,A427,0,10.0,73.1
5-FU,A427,1,10.0,73.7
5-FU,A427,2,10.0,74.2
5-FU,CAOV3,0,0.0045,1.7000000000000028
5-FU,CAOV3,1,0.0045,5.200000000000003
5-FU,CAOV3,2,0.0045,-8.700000000000003
5-FU,CAOV3,3,0.0045,5.300000000000011
5-FU,CAOV3,4,0.0045,-17.799999999999997
5-FU,CAOV3,5,0.0045,-6.400000000000006
5-FU,CAOV3,0,0.014,2.299999999999997
5-FU,CAOV3,1,0.014,8.599999999999994
5-FU,CAOV3,2,0.014,-22.599999999999994
5-FU,CAOV3,3,0.014,-4.400000000000006
5-FU,CAOV3,4,0.014,-13.799999999999983
5-FU,CAOV3,5,0.014,1.4000000000000057
5-FU,CAOV3,0,0.04,-15.5
5-FU,CAOV3,1,0.04,1.5999999999999943
5-FU,CAOV3,2,0.04,-21.700000000000003
5-FU,CAOV3,3,0.04,8.5
5-FU,CAOV3,4,0.04,-26.0
5-FU,CAOV3,5,0.04,0.09999999999999432
5-FU,CAOV3,0,0.12,-8.700000000000003
5-FU,CAOV3,1,0.12,-13.599999999999994
5-FU,CAOV3,2,0.12,4.700000000000003
5-FU,CAOV3,3,0.12,4.299999999999997
5-FU,CAOV3,4,0.12,-5.099999999999994
5-FU,CAOV3,5,0.12,-5.800000000000011
5-FU,CAOV3,0,0.37,3.299999999999997
5-FU,CAOV3,1,0.37,-6.200000000000003
5-FU,CAOV3,2,0.37,-11.299999999999997
5-FU,CAOV3,3,0.37,14.400000000000006
5-FU,CAOV3,4,0.37,-5.699999999999989
5-FU,CAOV3,5,0.37,-15.599999999999994
5-FU,CAOV3,0,1.1,-4.6000000000000085
5-FU,CAOV3,1,1.1,-11.700000000000003
5-FU,CAOV3,2,1.1,6.8999999999999915
5-FU,CAOV3,3,1.1,19.299999999999997
5-FU,CAOV3,4,1.1,-30.5
5-FU,CAOV3,5,1.1,-13.599999999999994
5-FU,CAOV3,0,3.4,12.700000000000003
5-FU,CAOV3,1,3.4,22.5
5-FU,CAOV3,2,3.4,36.3
5-FU,CAOV3,3,3.4,24.299999999999997
5-FU,CAOV3,4,3.4,26.599999999999994
5-FU,CAOV3,5,3.4,27.200000000000003
5-FU,CAOV3,0,10.0,48.3
5-FU,CAOV3,1,10.0,39.1
5-FU,CAOV3,2,10.0,56.9
5-FU,CAOV3,3,10.0,48.1
5-FU,CAOV3,4,10.0,47.8
5-FU,CAOV3,5,10.0,43.89999999999999
5-FU,COLO320DM,0,0.0045,15.700000000000003
5-FU,COLO320DM,1,0.0045,5.0
5-FU,COLO320DM,2,0.0045,-11.700000000000003
5-FU,COLO320DM,3,0.0045,-4.699999999999989
5-FU,COLO320DM,4,0.0045,-10.200000000000003
5-FU,COLO320DM,5,0.0045,-4.200000000000003
5-FU,COLO320DM,0,0.014,13.099999999999994
5-FU,COLO320DM,1,0.014,6.799999999999997
5-FU,COLO320DM,2,0.014,3.1000000000000085
5-FU,COLO320DM,3,0.014,15.299999999999997
5-FU,COLO320DM,4,0.014,20.5
5-FU,COLO320DM,5,0.014,-13.299999999999997
5-FU,COLO320DM,0,0.04,-6.699999999999989
5-FU,COLO320DM,1,0.04,-2.200000000000003
5-FU,COLO320DM,2,0.04,-6.400000000000006
5-FU,COLO320DM,3,0.04,16.099999999999994
5-FU,COLO320DM,4,0.04,-20.900000000000006
5-FU,COLO320DM,5,0.04,-26.599999999999994
5-FU,COLO320DM,0,0.12,7.199999999999989
5-FU,COLO320DM,1,0.12,12.099999999999994
5-FU,COLO320DM,2,0.12,10.0
5-FU,COLO320DM,3,0.12,9.599999999999994
5-FU,COLO320DM,4,0.12,1.5
5-FU,COLO320DM,5,0.12,-9.400000000000006
5-FU,COLO320DM,0,0.37,20.0
5-FU,COLO320DM,1,0.37,13.400000000000006
5-FU,COLO320DM,2,0.37,8.099999999999994
5-FU,COLO320DM,3,0.37,27.200000000000003
5-FU,COLO320DM,4,0.37,13.599999999999994
5-FU,COLO320DM,5,0.37,28.599999999999994
5-FU,COLO320DM,0,1.1,40.1
5-FU,COLO320DM,1,1.1,38.3
5-FU,COLO320DM,2,1.1,42.2
5-FU,COLO320DM,3,1.1,37.7
5-FU,COLO320DM,4,1.1,45.4
5-FU,COLO320DM,5,1.1,53.1
5-FU,COLO320DM,0,3.4,57.2
5-FU,COLO320DM,1,3.4,55.3
5-FU,COLO320DM,2,3.4,54.6
5-FU,COLO320DM,3,3.4,60.199999999999996
5-FU,COLO320DM,4,3.4,55.1
5-FU,COLO320DM,5,3.4,51.1
5-FU,COLO320DM,0,10.0,57.9
5-FU,COLO320DM,1,10.0,56.5
5-FU,COLO320DM,2,10.0,59.300000000000004
5-FU,COLO320DM,3,10.0,61.199999999999996
5-FU,COLO320DM,4,10.0,71.5
5-FU,COLO320DM,5,10.0,66.8
5-FU,DLD1,0,0.0045,10.400000000000006
5-FU,DLD1,1,0.0045,12.599999999999994
5-FU,DLD1,2,0.0045,-2.299999999999997
5-FU,DLD1,3,0.0045,-9.000000000000014
5-FU,DLD1,4,0.0045,-3.4000000000000057
5-FU,DLD1,5,0.0045,-4.800000000000011
5-FU,DLD1,0,0.014,0.09999999999999432
5-FU,DLD1,1,0.014,9.599999999999994
5-FU,DLD1,2,0.014,1.7000000000000028
5-FU,DLD1,3,0.014,1.2999999999999972
5-FU,DLD1,4,0.014,-5.6000000000000085
5-FU,DLD1,5,0.014,12.400000000000006
5-FU,DLD1,0,0.04,5.1000000000000085
5-FU,DLD1,1,0.04,9.399999999999991
5-FU,DLD1,2,0.04,-9.600000000000009
5-FU,DLD1,3,0.04,7.299999999999997
5-FU,DLD1,4,0.04,2.700000000000003
5-FU,DLD1,5,0.04,-1.6999999999999886
5-FU,DLD1,0,0.12,5.200000000000003
5-FU,DLD1,1,0.12,9.899999999999991
5-FU,DLD1,2,0.12,-0.29999999999998295
5-FU,DLD1,3,0.12,-10.900000000000006
5-FU,DLD1,4,0.12,-0.09999999999999432
5-FU,DLD1,5,0.12,6.299999999999997
5-FU,DLD1,0,0.37,-13.799999999999983
5-FU,DLD1,1,0.37,-6.59999999999998
5-FU,DLD1,2,0.37,3.1000000000000085
5-FU,DLD1,3,0.37,4.5
5-FU,DLD1,4,0.37,10.400000000000006
5-FU,DLD1,5,0.37,3.799999999999997
5-FU,DLD1,0,1.1,20.799999999999997
5-FU,DLD1,1,1.1,7.8999999999999915
5-FU,DLD1,2,1.1,9.899999999999991
5-FU,DLD1,3,1.1,23.700000000000003
5-FU,DLD1,4,1.1,18.299999999999997
5-FU,DLD1,5,1.1,29.599999999999994
5-FU,DLD1,0,3.4,21.900000000000006
5-FU,DLD1,1,3.4,35.5
5-FU,DLD1,2,3.4,46.0
5-FU,DLD1,3,3.4,44.49999999999999
5-FU,DLD1,4,3.4,41.7
5-FU,DLD1,5,3.4,38.3
5-FU,DLD1,0,10.0,67.8
5-FU,DLD1,1,10.0,54.6
5-FU,DLD1,2,10.0,63.7
5-FU,DLD1,3,10.0,58.0
5-FU,DLD1,4,10.0,72.19999999999999
5-FU,DLD1,5,10.0,58.4
5-FU,EFM192B,0,0.0045,2.4000000000000057
5-FU,EFM192B,1,0.0045,1.2000000000000028
5-FU,EFM192B,2,0.0045,-6.800000000000011
5-FU,EFM192B,3,0.0045,-4.699999999999989
5-FU,EFM192B,4,0.0045,-2.499999999999986
5-FU,EFM192B,5,0.0045,10.099999999999994
5-FU,EFM192B,0,0.014,3.799999999999997
5-FU,EFM192B,1,0.014,1.0
5-FU,EFM192B,2,0.014,19.200000000000003
5-FU,EFM192B,3,0.014,-4.800000000000011
5-FU,EFM192B,4,0.014,-4.099999999999994
5-FU,EFM192B,5,0.014,0.20000000000000284
5-FU,EFM192B,0,0.04,-5.200000000000003
5-FU,EFM192B,1,0.04,-3.4000000000000057
5-FU,EFM192B,2,0.04,-3.6000000000000085
5-FU,EFM192B,3,0.04,-10.200000000000003
5-FU,EFM192B,4,0.04,8.099999999999994
5-FU,EFM192B,5,0.04,7.199999999999989
5-FU,EFM192B,0,0.12,-2.0999999999999943
5-FU,EFM192B,1,0.12,-3.8999999999999915
5-FU,EFM192B,2,0.12,24.099999999999994
5-FU,EFM192B,3,0.12,15.299999999999997
5-FU,EFM192B,4,0.12,4.299999999999997
5-FU,EFM192B,5,0.12,4.6000000000000085
5-FU,EFM192B,0,0.37,3.4000000000000057
5-FU,EFM192B,1,0.37,4.400000000000006
5-FU,EFM192B,2,0.37,10.200000000000003
5-FU,EFM192B,3,0.37,7.699999999999989
5-FU,EFM192B,4,0.37,-5.200000000000003
5-FU,EFM192B,5,0.37,22.599999999999994
5-FU,EFM192B,0,1.1,13.799999999999997
5-FU,EFM192B,1,1.1,17.700000000000003
5-FU,EFM192B,2,1.1,15.799999999999997
5-FU,EFM192B,3,1.1,25.599999999999994
5-FU,EFM192B,4,1.1,9.799999999999997
5-FU,EFM192B,5,1.1,19.400000000000006
5-FU,EFM192B,0,3.4,23.200000000000003
5-FU,EFM192B,1,3.4,-10.400000000000006
5-FU,EFM192B,2,3.4,31.099999999999994
5-FU,EFM192B,3,3.4,32.2
5-FU,EFM192B,4,3.4,32.5
5-FU,EFM192B,5,3.4,29.200000000000003
5-FU,EFM192B,0,10.0,34.5
5-FU,EFM192B,1,10.0,28.5
5-FU,EFM192B,2,10.0,43.00000000000001
5-FU,EFM192B,3,10.0,35.2
5-FU,EFM192B,4,10.0,28.799999999999997
5-FU,EFM192B,5,10.0,43.3
5-FU,ES2,0,0.0045,14.799999999999997
5-FU,ES2,1,0.0045,22.700000000000003
5-FU,ES2,2,0.0045,-5.90000000000002
5-FU,ES2,3,0.0045,6.799999999999997
5-FU,ES2,4,0.0045,15.099999999999994
5-FU,ES2,5,0.0045,12.599999999999994
5-FU,ES2,0,0.014,-3.4000000000000057
5-FU,ES2,1,0.014,11.700000000000003
5-FU,ES2,2,0.014,20.0
5-FU,ES2,3,0.014,17.599999999999994
5-FU,ES2,4,0.014,7.0
5-FU,ES2,5,0.014,-1.299999999999983
5-FU,ES2,0,0.04,8.299999999999997
5-FU,ES2,1,0.04,10.0
5-FU,ES2,2,0.04,-7.200000000000003
5-FU,ES2,3,0.04,-3.299999999999997
5-FU,ES2,4,0.04,4.5
5-FU,ES2,5,0.04,-2.799999999999997
5-FU,ES2,0,0.12,-4.90000000000002
5-FU,ES2,1,0.12,11.700000000000003
5-FU,ES2,2,0.12,16.900000000000006
5-FU,ES2,3,0.12,20.299999999999997
5-FU,ES2,4,0.12,-0.20000000000000284
5-FU,ES2,5,0.12,-2.8999999999999915
5-FU,ES2,0,0.37,-14.999999999999986
5-FU,ES2,1,0.37,-4.099999999999994
5-FU,ES2,2,0.37,4.1000000000000085
5-FU,ES2,3,0.37,-5.6000000000000085
5-FU,ES2,4,0.37,4.0
5-FU,ES2,5,0.37,5.0
5-FU,ES2,0,1.1,5.400000000000006
5-FU,ES2,1,1.1,9.0
5-FU,ES2,2,1.1,4.0
5-FU,ES2,3,1.1,4.800000000000011
5-FU,ES2,4,1.1,2.5
5-FU,ES2,5,1.1,22.5
5-FU,ES2,0,3.4,21.5
5-FU,ES2,1,3.4,18.400000000000006
5-FU,ES2,2,3.4,18.299999999999997
5-FU,ES2,3,3.4,22.299999999999997
5-FU,ES2,4,3.4,31.700000000000003
5-FU,ES2,5,3.4,27.099999999999994
5-FU,ES2,0,10.0,42.7
5-FU,ES2,1,10.0,46.099999999999994
5-FU,ES2,2,10.0,47.199999999999996
5-FU,ES2,3,10.0,47.0
5-FU,ES2,4,10.0,47.3
5-FU,ES2,5,10.0,51.4
5-FU,HCT116,0,0.0045,14.700000000000003
5-FU,HCT116,1,0.0045,15.299999999999997
5-FU,HCT116,2,0.0045,-2.8999999999999915
5-FU,HCT116,3,0.0045,-21.30000000000001
5-FU,HCT116,4,0.0045,0.9000000000000057
5-FU,HCT116,5,0.0045,-11.299999999999997
5-FU,HCT116,0,0.014,11.5
5-FU,HCT116,1,0.014,14.900000000000006
5-FU,HCT116,2,0.014,12.0
5-FU,HCT116,3,0.014,-0.6999999999999886
5-FU,HCT116,4,0.014,3.200000000000003
5-FU,HCT116,5,0.014,10.900000000000006
5-FU,HCT116,0,0.04,7.3999999999999915
5-FU,HCT116,1,0.04,12.0
5-FU,HCT116,2,0.04,5.0
5-FU,HCT116,3,0.04,-0.4000000000000057
5-FU,HCT116,4,0.04,1.2999999999999972
5-FU,HCT116,5,0.04,9.399999999999991
5-FU,HCT116,0,0.12,8.899999999999991
5-FU,HCT116,1,0.12,13.400000000000006
5-FU,HCT116,2,0.12,8.599999999999994
5-FU,HCT116,3,0.12,1.7000000000000028
5-FU,HCT116,4,0.12,-1.299999999999983
5-FU,HCT116,5,0.12,10.599999999999994
5-FU,HCT116,0,0.37,-5.099999999999994
5-FU,HCT116,1,0.37,-8.400000000000006
5-FU,HCT116,2,0.37,3.6000000000000085
5-FU,HCT116,3,0.37,2.6000000000000085
5-FU,HCT116,4,0.37,7.199999999999989
5-FU,HCT116,5,0.37,17.599999999999994
5-FU,HCT116,0,1.1,1.5
5-FU,HCT116,1,1.1,8.200000000000003
5-FU,HCT116,2,1.1,3.299999999999997
5-FU,HCT116,3,1.1,-4.099999999999994
5-FU,HCT116,4,1.1,18.5
5-FU,HCT116,5,1.1,20.400000000000006
5-FU,HCT116,0,3.4,22.599999999999994
5-FU,HCT116,1,3.4,17.200000000000003
5-FU,HCT116,2,3.4,18.599999999999994
5-FU,HCT116,3,3.4,29.299999999999997
5-FU,HCT116,4,3.4,22.5
5-FU,HCT116,5,3.4,21.099999999999994
5-FU,HCT116,0,10.0,72.4
5-FU,HCT116,1,10.0,67.6
5-FU,HCT116,2,10.0,72.4
5-FU,HCT116,3,10.0,72.4
5-FU,HCT116,4,10.0,72.6
5-FU,HCT116,5,10.0,72.7
5-FU,HT144,0,0.0045,2.0
5-FU,HT144,1,0.0045,4.1000000000000085
5-FU,HT144,2,0.0045,2.1000000000000085
5-FU,HT144,3,0.0045,3.700000000000003
5-FU,HT144,4,0.0045,5.1000000000000085
5-FU,HT144,5,0.0045,5.0
5-FU,HT144,0,0.014,4.200000000000003
5-FU,HT144,1,0.014,2.9000000000000057
5-FU,HT144,2,0.014,4.700000000000003
5-FU,HT144,3,0.014,2.4000000000000057
5-FU,HT144,4,0.014,1.5999999999999943
5-FU,HT144,5,0.014,-0.20000000000000284
5-FU,HT144,0,0.04,2.4000000000000057
5-FU,HT144,1,0.04,6.299999999999997
5-FU,HT144,2,0.04,9.899999999999991
5-FU,HT144,3,0.04,3.200000000000003
5-FU,HT144,4,0.04,14.200000000000003
5-FU,HT144,5,0.04,6.200000000000003
5-FU,HT144,0,0.12,2.0
5-FU,HT144,1,0.12,3.299999999999997
5-FU,HT144,2,0.12,-0.7999999999999972
5-FU,HT144,3,0.12,2.200000000000003
5-FU,HT144,4,0.12,1.5999999999999943
5-FU,HT144,5,0.12,-1.299999999999983
5-FU,HT144,0,0.37,-8.899999999999991
5-FU,HT144,1,0.37,-5.699999999999989
5-FU,HT144,2,0.37,-5.200000000000003
5-FU,HT144,3,0.37,-1.299999999999983
5-FU,HT144,4,0.37,10.599999999999994
5-FU,HT144,5,0.37,5.800000000000011
5-FU,HT144,0,1.1,0.9000000000000057
5-FU,HT144,1,1.1,4.1000000000000085
5-FU,HT144,2,1.1,8.899999999999991
5-FU,HT144,3,1.1,7.299999999999997
5-FU,HT144,4,1.1,15.900000000000006
5-FU,HT144,5,1.1,12.400000000000006
5-FU,HT144,0,3.4,15.900000000000006
5-FU,HT144,1,3.4,10.599999999999994
5-FU,HT144,2,3.4,10.299999999999997
5-FU,HT144,3,3.4,23.700000000000003
5-FU,HT144,4,3.4,24.799999999999997
5-FU,HT144,5,3.4,27.400000000000006
5-FU,HT144,0,10.0,23.200000000000003
5-FU,HT144,1,10.0,31.299999999999997
5-FU,HT144,2,10.0,31.799999999999997
5-FU,HT144,3,10.0,39.300000000000004
5-FU,HT144,4,10.0,35.3
5-FU,HT144,5,10.0,29.5
5-FU,HT29,0,0.0045,7.299999999999997
5-FU,HT29,1,0.0045,3.700000000000003
5-FU,HT29,2,0.0045,-3.499999999999986
5-FU,HT29,3,0.0045,-7.200000000000003
5-FU,HT29,4,0.0045,-5.699999999999989
5-FU,HT29,5,0.0045,-0.4999999999999858
5-FU,HT29,0,0.014,1.7999999999999972
5-FU,HT29,1,0.014,1.9000000000000057
5-FU,HT29,2,0.014,-2.4000000000000057
5-FU,HT29,3,0.014,-4.200000000000003
5-FU,HT29,4,0.014,5.300000000000011
5-FU,HT29,5,0.014,2.1000000000000085
5-FU,HT29,0,0.04,4.1000000000000085
5-FU,HT29,1,0.04,-1.7999999999999972
5-FU,HT29,2,0.04,-3.0
5-FU,HT29,3,0.04,-5.90000000000002
5-FU,HT29,4,0.04,0.9000000000000057
5-FU,HT29,5,0.04,-2.6999999999999886
5-FU,HT29,0,0.12,3.6000000000000085
5-FU,HT29,1,0.12,1.5
5-FU,HT29,2,0.12,-10.400000000000006
5-FU,HT29,3,0.12,-8.200000000000003
5-FU,HT29,4,0.12,15.200000000000003
5-FU,HT29,5,0.12,9.799999999999997
5-FU,HT29,0,0.37,-0.4999999999999858
5-FU,HT29,1,0.37,-11.400000000000006
5-FU,HT29,2,0.37,9.399999999999991
5-FU,HT29,3,0.37,8.200000000000003
5-FU,HT29,4,0.37,6.799999999999997
5-FU,HT29,5,0.37,3.1000000000000085
5-FU,HT29,0,1.1,13.599999999999994
5-FU,HT29,1,1.1,13.799999999999997
5-FU,HT29,2,1.1,30.5
5-FU,HT29,3,1.1,27.599999999999994
5-FU,HT29,4,1.1,8.799999999999997
5-FU,HT29,5,1.1,5.400000000000006
5-FU,HT29,0,3.4,49.6
5-FU,HT29,1,3.4,40.900000000000006
5-FU,HT29,2,3.4,49.6
5-FU,HT29,3,3.4,46.8
5-FU,HT29,4,3.4,40.0
5-FU,HT29,5,3.4,39.900000000000006
5-FU,HT29,0,10.0,66.0
5-FU,HT29,1,10.0,66.8
5-FU,HT29,2,10.0,68.4
5-FU,HT29,3,10.0,69.7
5-FU,HT29,4,10.0,71.4
5-FU,HT29,5,10.0,60.4
5-FU,KPL1,0,0.0045,9.200000000000003
5-FU,KPL1,1,0.0045,16.700000000000003
5-FU,KPL1,2,0.0045,4.200000000000003
5-FU,KPL1,3,0.0045,9.099999999999994
5-FU,KPL1,4,0.0045,-19.30000000000001
5-FU,KPL1,5,0.0045,-16.10000000000001
5-FU,KPL1,0,0.014,0.29999999999999716
5-FU,KPL1,1,0.014,25.200000000000003
5-FU,KPL1,2,0.014,7.199999999999989
5-FU,KPL1,3,0.014,7.8999999999999915
5-FU,KPL1,4,0.014,-5.400000000000006
5-FU,KPL1,5,0.014,-23.200000000000003
5-FU,KPL1,0,0.04,-0.20000000000000284
5-FU,KPL1,1,0.04,10.200000000000003
5-FU,KPL1,2,0.04,-14.199999999999989
5-FU,KPL1,3,0.04,-10.400000000000006
5-FU,KPL1,4,0.04,-25.299999999999983
5-FU,KPL1,5,0.04,-20.09999999999998
5-FU,KPL1,0,0.12,6.599999999999994
5-FU,KPL1,1,0.12,12.0
5-FU,KPL1,2,0.12,11.099999999999994
5-FU,KPL1,3,0.12,8.599999999999994
5-FU,KPL1,4,0.12,-5.099999999999994
5-FU,KPL1,5,0.12,-22.500000000000014
5-FU,KPL1,0,0.37,18.099999999999994
5-FU,KPL1,1,0.37,4.299999999999997
5-FU,KPL1,2,0.37,11.5
5-FU,KPL1,3,0.37,8.599999999999994
5-FU,KPL1,4,0.37,17.200000000000003
5-FU,KPL1,5,0.37,14.700000000000003
5-FU,KPL1,0,1.1,15.0
5-FU,KPL1,1,1.1,7.3999999999999915
5-FU,KPL1,2,1.1,16.700000000000003
5-FU,KPL1,3,1.1,4.700000000000003
5-FU,KPL1,4,1.1,15.5
5-FU,KPL1,5,1.1,28.5
5-FU,KPL1,0,3.4,12.900000000000006
5-FU,KPL1,1,3.4,15.299999999999997
5-FU,KPL1,2,3.4,33.2
5-FU,KPL1,3,3.4,25.799999999999997
5-FU,KPL1,4,3.4,31.299999999999997
5-FU,KPL1,5,3.4,37.9
5-FU,KPL1,0,10.0,43.10000000000001
5-FU,KPL1,1,10.0,44.3
5-FU,KPL1,2,10.0,46.099999999999994
5-FU,KPL1,3,10.0,50.0
5-FU,KPL1,4,10.0,51.0
5-FU,KPL1,5,10.0,46.3
5-FU,LNCAP,0,0.0045,8.399999999999991
