Compound,Channel,Experiment,Dose,Response
5-FU,CAOV3,5,0.37,1.156
5-FU,CAOV3,0,1.1,1.046
5-FU,CAOV3,1,1.1,1.117
5-FU,CAOV3,2,1.1,0.9309999999999999
5-FU,CAOV3,3,1.1,0.807
5-FU,CAOV3,4,1.1,1.305
5-FU,CAOV3,5,1.1,1.136
5-FU,CAOV3,0,3.4,0.873
5-FU,CAOV3,1,3.4,0.775
5-FU,CAOV3,2,3.4,0.637
5-FU,CAOV3,3,3.4,0.757
5-FU,CAOV3,4,3.4,0.7340000000000001
5-FU,CAOV3,5,3.4,0.728
5-FU,CAOV3,0,10.0,0.517
5-FU,CAOV3,1,10.0,0.609
5-FU,CAOV3,2,10.0,0.431
5-FU,CAOV3,3,10.0,0.519
5-FU,CAOV3,4,10.0,0.522
5-FU,CAOV3,5,10.0,0.561
5-FU,COLO320DM,0,0.0045,0.843
5-FU,COLO320DM,1,0.0045,0.95
5-FU,COLO320DM,2,0.0045,1.117
5-FU,COLO320DM,3,0.0045,1.047
5-FU,COLO320DM,4,0.0045,1.102
5-FU,COLO320DM,5,0.0045,1.042
5-FU,COLO320DM,0,0.013999999999999999,0.8690000000000001
5-FU,COLO320DM,1,0.013999999999999999,0.932
5-FU,COLO320DM,2,0.013999999999999999,0.9690000000000001
5-FU,COLO320DM,3,0.013999999999999999,0.847
5-FU,COLO320DM,4,0.013999999999999999,0.795
5-FU,COLO320DM,5,0.013999999999999999,1.133
5-FU,COLO320DM,0,0.04,1.067
5-FU,COLO320DM,1,0.04,1.022
5-FU,COLO320DM,2,0.04,1.064
5-FU,COLO320DM,3,0.04,0.8390000000000001
5-FU,COLO320DM,4,0.04,1.209
5-FU,COLO320DM,5,0.04,1.266
5-FU,COLO320DM,0,0.12,0.9279999999999999
5-FU,COLO320DM,1,0.12,0.879
5-FU,COLO320DM,2,0.12,0.9
5-FU,COLO320DM,3,0.12,0.904
5-FU,COLO320DM,4,0.12,0.985
5-FU,COLO320DM,5,0.12,1.094
5-FU,COLO320DM,0,0.37,0.8
5-FU,COLO320DM,1,0.37,0.866
5-FU,COLO320DM,2,0.37,0.919
5-FU,COLO320DM,3,0.37,0.728
5-FU,COLO320DM,4,0.37,0.8640000000000001
5-FU,COLO320DM,5,0.37,0.7140000000000001
5-FU,COLO320DM,0,1.1,0.599
5-FU,COLO320DM,1,1.1,0.617
5-FU,COLO320DM,2,1.1,0.578
5-FU,COLO320DM,3,1.1,0.623
5-FU,COLO320DM,4,1.1,0.546
5-FU,COLO320DM,5,1.1,0.469
5-FU,COLO320DM,0,3.4,0.428
5-FU,COLO320DM,1,3.4,0.447
5-FU,COLO320DM,2,3.4,0.45399999999999996
5-FU,COLO320DM,3,3.4,0.39799999999999996
5-FU,COLO320DM,4,3.4,0.449
5-FU,COLO320DM,5,3.4,0.489
5-FU,COLO320DM,0,10.0,0.42100000000000004
5-FU,COLO320DM,1,10.0,0.435
5-FU,COLO320DM,2,10.0,0.40700000000000003
5-FU,COLO320DM,3,10.0,0.38799999999999996
5-FU,COLO320DM,4,10.0,0.285
5-FU,COLO320DM,5,10.0,0.332
5-FU,DLD1,0,0.0045,0.8959999999999999
5-FU,DLD1,1,0.0045,0.8740000000000001
5-FU,DLD1,2,0.0045,1.023
5-FU,DLD1,3,0.0045,1.09
5-FU,DLD1,4,0.0045,1.034
5-FU,DLD1,5,0.0045,1.048
5-FU,DLD1,0,0.013999999999999999,0.9990000000000001
5-FU,DLD1,1,0.013999999999999999,0.904
5-FU,DLD1,2,0.013999999999999999,0.983
5-FU,DLD1,3,0.013999999999999999,0.987
5-FU,DLD1,4,0.013999999999999999,1.056
5-FU,DLD1,5,0.013999999999999999,0.8759999999999999
5-FU,DLD1,0,0.04,0.9490000000000001
5-FU,DLD1,1,0.04,0.9059999999999999
5-FU,DLD1,2,0.04,1.0959999999999999
5-FU,DLD1,3,0.04,0.927
5-FU,DLD1,4,0.04,0.973
5-FU,DLD1,5,0.04,1.0170000000000001
5-FU,DLD1,0,0.12,0.948
5-FU,DLD1,1,0.12,0.9009999999999999
5-FU,DLD1,2,0.12,1.003
5-FU,DLD1,3,0.12,1.109
5-FU,DLD1,4,0.12,1.001
5-FU,DLD1,5,0.12,0.937
5-FU,DLD1,0,0.37,1.138
5-FU,DLD1,1,0.37,1.0659999999999998
5-FU,DLD1,2,0.37,0.9690000000000001
5-FU,DLD1,3,0.37,0.955
5-FU,DLD1,4,0.37,0.8959999999999999
5-FU,DLD1,5,0.37,0.9620000000000001
5-FU,DLD1,0,1.1,0.792
5-FU,DLD1,1,1.1,0.9209999999999999
5-FU,DLD1,2,1.1,0.9009999999999999
5-FU,DLD1,3,1.1,0.763
5-FU,DLD1,4,1.1,0.8170000000000001
5-FU,DLD1,5,1.1,0.7040000000000001
5-FU,DLD1,0,3.4,0.7809999999999999
5-FU,DLD1,1,3.4,0.645
5-FU,DLD1,2,3.4,0.54
5-FU,DLD1,3,3.4,0.555
5-FU,DLD1,4,3.4,0.583
5-FU,DLD1,5,3.4,0.617
5-FU,DLD1,0,10.0,0.322
5-FU,DLD1,1,10.0,0.45399999999999996
5-FU,DLD1,2,10.0,0.363
5-FU,DLD1,3,10.0,0.42
5-FU,DLD1,4,10.0,0.278
5-FU,DLD1,5,10.0,0.41600000000000004
5-FU,EFM192B,0,0.0045,0.976
5-FU,EFM192B,1,0.0045,0.988
5-FU,EFM192B,2,0.0045,1.068
5-FU,EFM192B,3,0.0045,1.047
5-FU,EFM192B,4,0.0045,1.025
5-FU,EFM192B,5,0.0045,0.899
5-FU,EFM192B,0,0.013999999999999999,0.9620000000000001
5-FU,EFM192B,1,0.013999999999999999,0.99
5-FU,EFM192B,2,0.013999999999999999,0.8079999999999999
5-FU,EFM192B,3,0.013999999999999999,1.048
5-FU,EFM192B,4,0.013999999999999999,1.041
5-FU,EFM192B,5,0.013999999999999999,0.998
5-FU,EFM192B,0,0.04,1.052
5-FU,EFM192B,1,0.04,1.034
5-FU,EFM192B,2,0.04,1.036
5-FU,EFM192B,3,0.04,1.102
5-FU,EFM192B,4,0.04,0.919
5-FU,EFM192B,5,0.04,0.9279999999999999
5-FU,EFM192B,0,0.12,1.021
5-FU,EFM192B,1,0.12,1.0390000000000001
5-FU,EFM192B,2,0.12,0.759
5-FU,EFM192B,3,0.12,0.847
5-FU,EFM192B,4,0.12,0.9570000000000001
5-FU,EFM192B,5,0.12,0.9540000000000001
5-FU,EFM192B,0,0.37,0.966
5-FU,EFM192B,1,0.37,0.956
5-FU,EFM192B,2,0.37,0.898
5-FU,EFM192B,3,0.37,0.9229999999999999
5-FU,EFM192B,4,0.37,1.052
5-FU,EFM192B,5,0.37,0.774
5-FU,EFM192B,0,1.1,0.862
5-FU,EFM192B,1,1.1,0.823
5-FU,EFM192B,2,1.1,0.8420000000000001
5-FU,EFM192B,3,1.1,0.7440000000000001
5-FU,EFM192B,4,1.1,0.902
5-FU,EFM192B,5,1.1,0.8059999999999999
5-FU,EFM192B,0,3.4,0.768
5-FU,EFM192B,1,3.4,1.104
5-FU,EFM192B,2,3.4,0.6890000000000001
5-FU,EFM192B,3,3.4,0.6779999999999999
5-FU,EFM192B,4,3.4,0.675
5-FU,EFM192B,5,3.4,0.708
5-FU,EFM192B,0,10.0,0.655
5-FU,EFM192B,1,10.0,0.715
5-FU,EFM192B,2,10.0,0.57
5-FU,EFM192B,3,10.0,0.648
5-FU,EFM192B,4,10.0,0.7120000000000001
5-FU,EFM192B,5,10.0,0.5670000000000001
5-FU,ES2,0,0.0045,0.852
5-FU,ES2,1,0.0045,0.773
5-FU,ES2,2,0.0045,1.0590000000000002
5-FU,ES2,3,0.0045,0.932
5-FU,ES2,4,0.0045,0.8490000000000001
5-FU,ES2,5,0.0045,0.8740000000000001
5-FU,ES2,0,0.013999999999999999,1.034
5-FU,ES2,1,0.013999999999999999,0.883
5-FU,ES2,2,0.013999999999999999,0.8
5-FU,ES2,3,0.013999999999999999,0.8240000000000001
5-FU,ES2,4,0.013999999999999999,0.93
5-FU,ES2,5,0.013999999999999999,1.013
5-FU,ES2,0,0.04,0.917
5-FU,ES2,1,0.04,0.9
5-FU,ES2,2,0.04,1.072
5-FU,ES2,3,0.04,1.033
5-FU,ES2,4,0.04,0.955
5-FU,ES2,5,0.04,1.028
5-FU,ES2,0,0.12,1.0490000000000002
5-FU,ES2,1,0.12,0.883
5-FU,ES2,2,0.12,0.831
5-FU,ES2,3,0.12,0.797
5-FU,ES2,4,0.12,1.002
5-FU,ES2,5,0.12,1.0290000000000001
5-FU,ES2,0,0.37,1.15
5-FU,ES2,1,0.37,1.041
5-FU,ES2,2,0.37,0.9590000000000001
5-FU,ES2,3,0.37,1.056
5-FU,ES2,4,0.37,0.96
5-FU,ES2,5,0.37,0.95
5-FU,ES2,0,1.1,0.946
5-FU,ES2,1,1.1,0.91
5-FU,ES2,2,1.1,0.96
5-FU,ES2,3,1.1,0.9520000000000001
5-FU,ES2,4,1.1,0.975
5-FU,ES2,5,1.1,0.775
5-FU,ES2,0,3.4,0.785
5-FU,ES2,1,3.4,0.816
5-FU,ES2,2,3.4,0.8170000000000001
5-FU,ES2,3,3.4,0.777
5-FU,ES2,4,3.4,0.6829999999999999
5-FU,ES2,5,3.4,0.7290000000000001
5-FU,ES2,0,10.0,0.573
5-FU,ES2,1,10.0,0.539
5-FU,ES2,2,10.0,0.528
5-FU,ES2,3,10.0,0.53
5-FU,ES2,4,10.0,0.527
5-FU,ES2,5,10.0,0.486
5-FU,HCT116,0,0.0045,0.853
5-FU,HCT116,1,0.0045,0.847
5-FU,HCT116,2,0.0045,1.0290000000000001
5-FU,HCT116,3,0.0045,1.213
5-FU,HCT116,4,0.0045,0.991
5-FU,HCT116,5,0.0045,1.113
5-FU,HCT116,0,0.013999999999999999,0.885
5-FU,HCT116,1,0.013999999999999999,0.851
5-FU,HCT116,2,0.013999999999999999,0.88
5-FU,HCT116,3,0.013999999999999999,1.0070000000000001
5-FU,HCT116,4,0.013999999999999999,0.968
5-FU,HCT116,5,0.013999999999999999,0.8909999999999999
5-FU,HCT116,0,0.04,0.9259999999999999
5-FU,HCT116,1,0.04,0.88
5-FU,HCT116,2,0.04,0.95
5-FU,HCT116,3,0.04,1.004
5-FU,HCT116,4,0.04,0.987
5-FU,HCT116,5,0.04,0.9059999999999999
5-FU,HCT116,0,0.12,0.9109999999999999
5-FU,HCT116,1,0.12,0.866
5-FU,HCT116,2,0.12,0.914
5-FU,HCT116,3,0.12,0.983
5-FU,HCT116,4,0.12,1.013
5-FU,HCT116,5,0.12,0.894
5-FU,HCT116,0,0.37,1.051
5-FU,HCT116,1,0.37,1.084
5-FU,HCT116,2,0.37,0.9640000000000001
5-FU,HCT116,3,0.37,0.9740000000000001
5-FU,HCT116,4,0.37,0.9279999999999999
5-FU,HCT116,5,0.37,0.8240000000000001
5-FU,HCT116,0,1.1,0.985
5-FU,HCT116,1,1.1,0.9179999999999999
5-FU,HCT116,2,1.1,0.9670000000000001
5-FU,HCT116,3,1.1,1.041
5-FU,HCT116,4,1.1,0.815
5-FU,HCT116,5,1.1,0.7959999999999999
5-FU,HCT116,0,3.4,0.774
5-FU,HCT116,1,3.4,0.828
5-FU,HCT116,2,3.4,0.8140000000000001
5-FU,HCT116,3,3.4,0.7070000000000001
5-FU,HCT116,4,3.4,0.775
5-FU,HCT116,5,3.4,0.789
5-FU,HCT116,0,10.0,0.276
5-FU,HCT116,1,10.0,0.324
5-FU,HCT116,2,10.0,0.276
5-FU,HCT116,3,10.0,0.276
5-FU,HCT116,4,10.0,0.27399999999999997
5-FU,HCT116,5,10.0,0.273
5-FU,HT144,0,0.0045,0.98
5-FU,HT144,1,0.0045,0.9590000000000001
5-FU,HT144,2,0.0045,0.9790000000000001
5-FU,HT144,3,0.0045,0.963
5-FU,HT144,4,0.0045,0.9490000000000001
5-FU,HT144,5,0.0045,0.95
5-FU,HT144,0,0.013999999999999999,0.958
5-FU,HT144,1,0.013999999999999999,0.971
5-FU,HT144,2,0.013999999999999999,0.953
5-FU,HT144,3,0.013999999999999999,0.976
5-FU,HT144,4,0.013999999999999999,0.9840000000000001
5-FU,HT144,5,0.013999999999999999,1.002
5-FU,HT144,0,0.04,0.976
5-FU,HT144,1,0.04,0.937
5-FU,HT144,2,0.04,0.9009999999999999
5-FU,HT144,3,0.04,0.968
5-FU,HT144,4,0.04,0.858
5-FU,HT144,5,0.04,0.938
5-FU,HT144,0,0.12,0.98
5-FU,HT144,1,0.12,0.9670000000000001
5-FU,HT144,2,0.12,1.008
5-FU,HT144,3,0.12,0.978
5-FU,HT144,4,0.12,0.9840000000000001
5-FU,HT144,5,0.12,1.013
5-FU,HT144,0,0.37,1.089
5-FU,HT144,1,0.37,1.057
5-FU,HT144,2,0.37,1.052
5-FU,HT144,3,0.37,1.013
5-FU,HT144,4,0.37,0.894
5-FU,HT144,5,0.37,0.9420000000000001
5-FU,HT144,0,1.1,0.991
5-FU,HT144,1,1.1,0.9590000000000001
5-FU,HT144,2,1.1,0.9109999999999999
5-FU,HT144,3,1.1,0.927
5-FU,HT144,4,1.1,0.841
5-FU,HT144,5,1.1,0.8759999999999999
5-FU,HT144,0,3.4,0.841
5-FU,HT144,1,3.4,0.894
5-FU,HT144,2,3.4,0.897
5-FU,HT144,3,3.4,0.763
5-FU,HT144,4,3.4,0.752
5-FU,HT144,5,3.4,0.726
5-FU,HT144,0,10.0,0.768
5-FU,HT144,1,10.0,0.687
5-FU,HT144,2,10.0,0.682
5-FU,HT144,3,10.0,0.607
5-FU,HT144,4,10.0,0.647
5-FU,HT144,5,10.0,0.705
5-FU,HT29,0,0.0045,0.927
5-FU,HT29,1,0.0045,0.963
5-FU,HT29,2,0.0045,1.035
5-FU,HT29,3,0.0045,1.072
5-FU,HT29,4,0.0045,1.057
5-FU,HT29,5,0.0045,1.005
5-FU,HT29,0,0.013999999999999999,0.982
5-FU,HT29,1,0.013999999999999999,0.981
5-FU,HT29,2,0.013999999999999999,1.024
5-FU,HT29,3,0.013999999999999999,1.042
5-FU,HT29,4,0.013999999999999999,0.9470000000000001
5-FU,HT29,5,0.013999999999999999,0.9790000000000001
5-FU,HT29,0,0.04,0.9590000000000001
5-FU,HT29,1,0.04,1.018
5-FU,HT29,2,0.04,1.03
5-FU,HT29,3,0.04,1.0590000000000002
5-FU,HT29,4,0.04,0.991
5-FU,HT29,5,0.04,1.0270000000000001
5-FU,HT29,0,0.12,0.9640000000000001
5-FU,HT29,1,0.12,0.985
5-FU,HT29,2,0.12,1.104
5-FU,HT29,3,0.12,1.082
5-FU,HT29,4,0.12,0.848
5-FU,HT29,5,0.12,0.902
5-FU,HT29,0,0.37,1.005
5-FU,HT29,1,0.37,1.114
5-FU,HT29,2,0.37,0.9059999999999999
5-FU,HT29,3,0.37,0.9179999999999999
5-FU,HT29,4,0.37,0.932
5-FU,HT29,5,0.37,0.9690000000000001
5-FU,HT29,0,1.1,0.8640000000000001
5-FU,HT29,1,1.1,0.862
5-FU,HT29,2,1.1,0.695
5-FU,HT29,3,1.1,0.7240000000000001
5-FU,HT29,4,1.1,0.912
5-FU,HT29,5,1.1,0.946
5-FU,HT29,0,3.4,0.504
5-FU,HT29,1,3.4,0.591
5-FU,HT29,2,3.4,0.504
5-FU,HT29,3,3.4,0.532
5-FU,HT29,4,3.4,0.6
5-FU,HT29,5,3.4,0.601
5-FU,HT29,0,10.0,0.34
5-FU,HT29,1,10.0,0.332
5-FU,HT29,2,10.0,0.316
5-FU,HT29,3,10.0,0.303
5-FU,HT29,4,10.0,0.28600000000000003
5-FU,HT29,5,10.0,0.396
5-FU,KPL1,0,0.0045,0.9079999999999999
5-FU,KPL1,1,0.0045,0.833
5-FU,KPL1,2,0.0045,0.958
5-FU,KPL1,3,0.0045,0.909
5-FU,KPL1,4,0.0045,1.193
5-FU,KPL1,5,0.0045,1.161
5-FU,KPL1,0,0.013999999999999999,0.997
5-FU,KPL1,1,0.013999999999999999,0.748
5-FU,KPL1,2,0.013999999999999999,0.9279999999999999
5-FU,KPL1,3,0.013999999999999999,0.9209999999999999
5-FU,KPL1,4,0.013999999999999999,1.054
5-FU,KPL1,5,0.013999999999999999,1.232
5-FU,KPL1,0,0.04,1.002
5-FU,KPL1,1,0.04,0.898
5-FU,KPL1,2,0.04,1.1420000000000001
5-FU,KPL1,3,0.04,1.104
5-FU,KPL1,4,0.04,1.253
5-FU,KPL1,5,0.04,1.2009999999999998
5-FU,KPL1,0,0.12,0.934
5-FU,KPL1,1,0.12,0.88
5-FU,KPL1,2,0.12,0.889
5-FU,KPL1,3,0.12,0.914
5-FU,KPL1,4,0.12,1.051
5-FU,KPL1,5,0.12,1.225
5-FU,KPL1,0,0.37,0.8190000000000001
5-FU,KPL1,1,0.37,0.9570000000000001
5-FU,KPL1,2,0.37,0.885
5-FU,KPL1,3,0.37,0.914
5-FU,KPL1,4,0.37,0.828
5-FU,KPL1,5,0.37,0.853
5-FU,KPL1,0,1.1,0.85
5-FU,KPL1,1,1.1,0.9259999999999999
5-FU,KPL1,2,1.1,0.833
5-FU,KPL1,3,1.1,0.953
5-FU,KPL1,4,1.1,0.845
5-FU,KPL1,5,1.1,0.715
5-FU,KPL1,0,3.4,0.871
5-FU,KPL1,1,3.4,0.847
5-FU,KPL1,2,3.4,0.6679999999999999
5-FU,KPL1,3,3.4,0.742
5-FU,KPL1,4,3.4,0.687
5-FU,KPL1,5,3.4,0.621
5-FU,KPL1,0,10.0,0.569
5-FU,KPL1,1,10.0,0.557
5-FU,KPL1,2,10.0,0.539
5-FU,KPL1,3,10.0,0.5
5-FU,KPL1,4,10.0,0.49
5-FU,KPL1,5,10.0,0.537
5-FU,LNCAP,0,0.0045,0.9159999999999999
5-FU,LNCAP,1,0.0045,0.95
5-FU,LNCAP,2,0.0045,0.69
5-FU,LNCAP,3,0.0045,1.301
5-FU,LNCAP,4,0.0045,1.425
5-FU,LNCAP,5,0.0045,1.188
5-FU,LNCAP,0,0.013999999999999999,0.863
5-FU,LNCAP,1,0.013999999999999999,0.8540000000000001
5-FU,LNCAP,2,0.013999999999999999,0.7959999999999999
5-FU,LNCAP,3,0.013999999999999999,0.721
5-FU,LNCAP,4,0.013999999999999999,0.909
5-FU,LNCAP,5,0.013999999999999999,0.9390000000000001
5-FU,LNCAP,0,0.04,0.795
5-FU,LNCAP,1,0.04,0.8909999999999999
5-FU,LNCAP,2,0.04,1.2690000000000001
5-FU,LNCAP,3,0.04,1.288
5-FU,LNCAP,4,0.04,0.8640000000000001
5-FU,LNCAP,5,0.04,0.924
5-FU,LNCAP,0,0.12,0.649
5-FU,LNCAP,1,0.12,0.5670000000000001
5-FU,LNCAP,2,0.12,0.657
5-FU,LNCAP,3,0.12,1.056
5-FU,LNCAP,4,0.12,0.833
5-FU,LNCAP,5,0.12,1.1340000000000001
5-FU,LNCAP,0,0.37,1.2670000000000001
5-FU,LNCAP,1,0.37,1.046
5-FU,LNCAP,2,0.37,0.705
5-FU,LNCAP,3,0.37,0.951
5-FU,LNCAP,4,0.37,1.074
5-FU,LNCAP,5,0.37,1.035
5-FU,LNCAP,0,1.1,1.37
5-FU,LNCAP,1,1.1,0.853
5-FU,LNCAP,2,1.1,0.726
5-FU,LNCAP,3,1.1,0.562
5-FU,LNCAP,4,1.1,0.7659999999999999
5-FU,LNCAP,5,1.1,0.938
5-FU,LNCAP,0,3.4,0.857
5-FU,LNCAP,1,3.4,0.509
5-FU,LNCAP,2,3.4,0.614
