symbol,entrez
ABI1,10006
TFG,10342
IGF2BP2,10644
ACSL6,23305
SF3B1,23451
FOXP1,27086
ARHGEF10L,55160
FBXW7,55294
GOPC,57120
CHCHD7,79145
PHF6,84295
DCAF12L2,340578
FAM47C,442444
ACVR1,90
BCL6,604
CASP8,841
CCND3,896
CDH17,1015
CHD2,1106
CREBBP,1387
CTNNB1,1499
CTNND1,1500
CYLD,1540
DAXX,1616
DCTN1,1639
ELF3,1999
ELF4,2000
ERG,2078
ETV4,2118
FES,2242
HRAS,3265
ITGAV,3685
KTN1,3895
LMO2,4005
SMAD3,4088
MLF1,4291
MUTYH,4595
MYB,4602
MYH11,4629
PLAG1,5324
POLG,5428
PPP6C,5537
PRF1,5551
PTPRK,5796
RALGDS,5900
RAP1GDS1,5910
KDM5A,5927
SGK1,6446
STIL,6491
SMARCA4,6597
SYK,6850
ZEB1,6935
TFRC,7037
NKX2-1,7080
TPM3,7170
EZR,7430
NSD2,7468
CNBP,7555
TCL1A,8115
TP63,8626
USP8,9101
NCOR2,9612
BCLAF1,9774
STAG2,10735
CLP1,10978
PSIP1,11168
NT5C2,22978
CRTC1,23373
HEY1,23462
LEPROTL1,23484
POT1,25913
SETBP1,26040
DROSHA,29102
CD209,30835
TET2,54790
BCOR,54880
ZNF331,55422
ETNK1,55500
SHTN1,57698
CRTC3,64784
WDCP,80304
BCL2L12,83596
KNSTRN,90417
PWWP2A,114825
LRIG3,121227
SIRPA,140885
AKT2,208
BIRC3,330
ARNT,405
ZFHX3,463
TNFRSF17,608
BUB1B,701
RUNX1T1,862
CCNE1,898
CDK6,1021
CDKN2C,1031
KLF6,1316
CTNNA2,1496
DDIT3,1649
DDX6,1656
FLI1,2313
FUS,2521
GATA2,2624
GPC3,2719
GLI1,2735
HIF1A,3091
HIP1,3092
MNX1,3110
IL6ST,3572
IRF4,3662
LMNA,4000
MDM2,4193
AFF1,4299
FOXO4,4303
MYD88,4615
NFE2L2,4780
NONO,4841
NOTCH2,4853
PIK3CB,5291
PIM1,5292
PIK3R1,5295
POLD1,5424
POU5F1,5460
PRKAR1A,5573
PTK6,5753
PTPRC,5788
SRSF2,6427
SH3GL1,6455
TPM4,7171
VAV1,7409
TFEB,7942
MLLT10,8028
RBM10,8241
KDM5C,8242
TRRAP,8295
CUL3,8452
MAP3K13,9175
APOBEC3B,9582
AKT3,10000
SLC34A2,10568
CTCF,10664
KAT7,11143
ARHGEF12,23365
DICER1,23405
KAT6B,23522
WWTR1,25937
CD274,29126
A1CF,29974
DGCR8,54487
KIAA1549,57670
BCORL1,63035
CREB3L2,64764
RBM15,64783
CANT1,124583
C15orf65,145788
ACVR2A,92
RHOA,387
RHOH,399
BAX,581
CBFA2T3,863
CBLB,868
CDH1,999
CDH10,1008
CDH11,1009
CEBPA,1050
CCR7,1236
CREB1,1385
CSF1R,1436
DDX5,1655
DNMT3A,1788
EBF1,1879
EPHA7,2045
HMGA1,3159
HSP90AB1,3326
DNAJB1,3337
IDH1,3417
IDH2,3418
JAK1,3716
LASP1,3927
MLLT3,4300
MYCN,4613
PRKACA,5566
RAD17,5884
REL,5966
SDHD,6392
MAP2K4,6416
SSX1,6756
TFE3,7030
TNFAIP3,7128
HMGA2,8091
SMC1A,8243
EED,8726
USP6,9098
KLF4,9314
QKI,9444
THRAP3,9967
MALT1,10892
FGFR1OP,11116
FKBP9,11328
CIC,23152
SUZ12,23512
ZNF521,25925
TFPT,29844
UBR5,51366
CYSLTR2,57105
SALL4,57167
MKL1,57591
BCL11B,64919
FAT4,79633
TBL1XR1,79718
ISX,91464
NUTM1,256646
ABL1,25
ALK,238
ATIC,471
BCL9,607
BCR,613
BMP5,653
BMPR1A,657
BTG1,694
CALR,811
CASP3,836
CBFB,865
CBL,867
CCND2,894
CD79A,973
CDKN1B,1027
COX6C,1345
DCC,1630
DDX10,1662
EIF4A2,1974
ELK4,2005
EP300,2033
EPHA3,2042
ETV5,2119
ETV6,2120
ACSL3,2181
FANCG,2189
FEN1,2237
GPC5,2262
FOXO1,2308
FOXO3,2309
FLT3,2322
MTOR,2475
KDSR,2531
GNA11,2767
GNAQ,2776
FOXA1,3169
HNRNPA2B1,3181
ID3,3399
IL7R,3575
JAK2,3717
JUN,3725
KDR,3791
KIF5B,3799
MGMT,4255
MN1,4330
MUC4,4585
MYC,4609
MYH9,4627
MYOD1,4654
NAB2,4665
NFKBIE,4794
NRAS,4893
PDGFB,5155
PDGFRA,5156
PDGFRB,5159
PER1,5187
PML,5371
PPARG,5468
PRKCB,5579
MAPK1,5594
MAP2K1,5604
PTPN6,5777
PTPN11,5781
RAF1,5894
RET,5979
RPN1,6184
S100A7,6278
SDC4,6385
SDHB,6390
SFPQ,6421
SFRP4,6424
SMARCD1,6602
SMARCE1,6605
SOX2,6657
STAT3,6774
TEC,7006
TOP1,7150
TPR,7175
XPO1,7514
TAF15,8148
CLTCL1,8218
AXIN2,8313
PPM1D,8493
NCOA1,8648
SOCS1,8651
TRIM24,8805
PHOX2B,8929
TRIP11,9321
GOLGA5,9950
MED12,9968
SETD1B,23067
BRD4,23476
PABPC1,26986
ZCCHC8,55596
CDC73,79577
CARD11,84433
ARID2,196528
FLCN,201163
MDS2,259283
BRCA1,672
CCR4,1233
HOXA11,3207
HOXC11,3227
HOXC13,3229
ITK,3702
SMAD4,4089
MAP3K1,4214
MLLT6,4302
NOTCH1,4851
NUP98,4928
PCBP1,5093
PIK3CA,5290
PRRX1,5396
RAD21,5885
TRIM27,5987
SIX1,6495
SMO,6608
STAT5B,6777
TAL2,6887
TBX3,6926
YWHAE,7531
NR4A3,8013
BRD3,8019
CCDC6,8030
ELL,8178
LZTR1,8216
ARID1A,8289
KEAP1,9817
MAFB,9935
LHFPL6,10186
OLIG2,10215
FSTL3,10272
STAG1,10274
MLLT11,10962
PTPRT,11122
SOX21,11166
BAZ1A,11177
WIF1,11197
SPEN,23013
PATZ1,23598
CNTNAP2,26047
CHIC2,26511
SND1,27044
AFF4,27125
SBDS,51119
CDK12,51755
BCL11A,53335
LRP1B,53353
FAM46C,54855
NSD3,54904
SDHAF2,54949
RFWD3,55159
ASXL2,55252
ACKR3,57007
CCND1,595
FOXL2,668
FANCE,2178
FANCF,2188
HOXA9,3205
HOXD11,3237
TLX3,30012
IL21R,50615
KNL1,57082
CCNB1IP1,57820
NSD1,64324
PREX2,80243
FCRL4,83417
TRAF7,84231
HOOK3,84376
MAML2,84441
RSPO3,84870
CEP89,84902
SLC45A3,85414
ZNF479,90827
CREB3L1,90993
CSMD3,114788
RMI2,116028
AMER1,139285
MB21D2,151963
JAZF1,221895
AKT1,207
ANK1,286
FAS,355
ATP2B3,492
BARD1,580
CACNA1D,776
CD74,972
CDKN2A,1029
DDX3X,1654
EGFR,1956
EIF1AX,1964
ERCC3,2071
EXT2,2132
FANCA,2175
FCGR2B,2213
FGFR3,2261
FGFR2,2263
GRIN2A,2903
H3F3A,3020
H3F3B,3021
NRG1,3084
JAK3,3718
KIT,3815
AFF3,3899
MAX,4149
MEN1,4221
MET,4233
CIITA,4261
MSH2,4436
MYO5A,4644
NPM1,4869
NTHL1,4913
OMD,4958
PMS2,5395
PPP2R1A,5518
PTEN,5728
RAC1,5879
RARA,5914
RB1,5925
RPL10,6134
SDHC,6391
SRSF3,6428
SMARCB1,6598
SSX2,6757
SSX4,6759
STK11,6794
TAL1,6886
TCEA1,6917
TSC2,7249
U2AF1,7307
WAS,7454
NCOA4,8031
HIST1H4I,8294
PICALM,8301
SRGAP3,9901
GPHN,10243
CHEK2,11200
PRPF40B,25766
CRLF2,64109
SPECC1,92521
FAT3,120114
NUTM2A,728118
ARAF,369
ATR,545
PRDM1,639
CASP9,842
CD28,940
CDX2,1045
CHD4,1108
CLTC,1213
CTNND2,1501
CUX1,1523
EPS15,2060
ERBB4,2066
ETV1,2115
MECOM,2122
EWSR1,2130
EZH2,2146
FGFR1,2260
FGFR4,2264
FHIT,2272
HLA-A,3105
HLF,3131
TLX1,3195
IKBKB,3551
LCK,3932
LIFR,3977
LMO1,4004
LPP,4026
MDM4,4194
KMT2A,4297
AFDN,4301
NACA,4666
NFATC2,4773
NFIB,4781
NFKB2,4791
NUMA1,4926
PAFAH1B2,5049
PAX5,5079
PBX1,5087
PCM1,5108
PTPRB,5787
PTPRD,5789
RAD51B,5890
RGS7,6000
ROBO2,6092
CLIP1,6249
SDHA,6389
STAT6,6778
TCF3,6929
TCF7L2,6934
TCF12,6938
TERT,7015
KDM6A,7403
ZMYM2,7750
DEK,7913
KAT6A,7994
NUP214,8021
PPFIBP1,8496
TNFRSF14,8764
FUBP1,8880
BCL10,8915
RABEP1,9135
ARHGEF10,9639
SH2B3,10019
IKZF1,10320
NDRG1,10397
NCOA2,10499
SEPT9,10801
CPEB3,22849
ERC1,23085
ARHGAP26,23092
CAMTA1,23261
CBLC,23624
SS18L1,26039
LSM14A,26065
NBEA,26960
EML4,27436
CHST11,50515
LEF1,51176
SUFU,51684
RNF43,54894
N4BP2,55728
RNF213,57674
WNK2,65268
FBXO11,80204
FIP1L1,81608
USP44,84101
MSI2,124540
VTI1A,143187
ZNF384,171017
ASXL1,171023
RSPO2,340419
RGPD3,653489
ATF1,466
B2M,567
BCL3,602
BRAF,673
COL2A1,1280
EPAS1,2034
ERCC4,2072
FAT1,2195
FLT4,2324
GATA1,2623
GNAS,2778
TNC,3371
EIF3E,3646
KRAS,3845
LYL1,4066
MLLT1,4298
MSN,4478
NF1,4763
CNOT3,4849
PLCG1,5335
POLE,5426
POU2AF1,5450
PRCC,5546
PTPN13,5783
RANBP2,5903
ROS1,6098
SET,6418
SKI,6497
SRC,6714
STRN,6801
PAX8,7849
KMT2D,8085
ZRSR2,8233
AXIN1,8312
BAP1,8314
IRS4,8471
GMPS,8833
RECQL4,9401
NCOR1,9611
AKAP9,10142
POLQ,10721
CNTRL,11064
FNBP1,23048
SEPT6,23157
LARP4B,23185
SETD2,29072
FAM135B,51059
NIN,51199
NCKIPSD,51517
TRIM33,51592
PBRM1,55193
BIRC6,57448
ARID1B,57492
KMT2C,58508
PRDM16,63976
PALB2,79728
TET1,80312
PDCD1LG2,80380
BRIP1,83990
SNX29,92017
CNBD1,168975
BCL9L,283149
FOXR1,283150
P2RY8,286530
ZNF429,353088
NUTM2B,729262
SOX9,6662
DNMT1,1786
ACVR1B,91
