Name,drug_a_name,drug_b_name,cell_line,synergy,fold,cl_fold,drug_fold,new_drug_fold,random_fold,cluster
BEZ-235_SORAFENIB_A2058,BEZ-235,SORAFENIB,A2058,5.71400478,1.0,0,2.0,1.0,3.0,0
BORTEZOMIB_ABT-888_A2058,BORTEZOMIB,ABT-888,A2058,7.23794769,2.0,0,2.0,0.0,0.0,0
BORTEZOMIB_BEZ-235_A2058,BORTEZOMIB,BEZ-235,A2058,6.817662576,2.0,0,2.0,0.0,1.0,0
BORTEZOMIB_DASATINIB_A2058,BORTEZOMIB,DASATINIB,A2058,21.6596544,2.0,0,2.0,0.0,4.0,0
BORTEZOMIB_DINACICLIB_A2058,BORTEZOMIB,DINACICLIB,A2058,-20.0646923,1.0,0,2.0,0.0,3.0,0
BORTEZOMIB_GELDANAMYCIN_A2058,BORTEZOMIB,GELDANAMYCIN,A2058,-12.34475241,4.0,0,2.0,0.0,1.0,0
BORTEZOMIB_MK-8669_A2058,BORTEZOMIB,MK-8669,A2058,-6.295088842999999,1.0,0,2.0,0.0,4.0,0
BORTEZOMIB_MK-8776_A2058,BORTEZOMIB,MK-8776,A2058,16.40949801,3.0,0,2.0,0.0,0.0,0
BORTEZOMIB_SN-38_A2058,BORTEZOMIB,SN-38,A2058,28.09286244,2.0,0,2.0,0.0,3.0,0
BORTEZOMIB_SORAFENIB_A2058,BORTEZOMIB,SORAFENIB,A2058,5.680212916,1.0,0,2.0,0.0,4.0,0
BORTEZOMIB_TOPOTECAN_A2058,BORTEZOMIB,TOPOTECAN,A2058,-12.18818438,3.0,0,2.0,0.0,0.0,0
CARBOPLATIN_ABT-888_A2058,CARBOPLATIN,ABT-888,A2058,2.7198664060000004,1.0,0,2.0,1.0,1.0,0
CARBOPLATIN_AZD1775_A2058,CARBOPLATIN,AZD1775,A2058,2.096850168,0.0,0,2.0,0.0,3.0,0
CARBOPLATIN_BEZ-235_A2058,CARBOPLATIN,BEZ-235,A2058,-6.074527607,2.0,0,2.0,1.0,0.0,0
CARBOPLATIN_BORTEZOMIB_A2058,CARBOPLATIN,BORTEZOMIB,A2058,-15.81349783,1.0,0,2.0,0.0,1.0,0
CARBOPLATIN_DASATINIB_A2058,CARBOPLATIN,DASATINIB,A2058,36.55631235,0.0,0,2.0,1.0,0.0,0
CARBOPLATIN_DINACICLIB_A2058,CARBOPLATIN,DINACICLIB,A2058,-19.95747162,1.0,0,2.0,1.0,2.0,0
CARBOPLATIN_ERLOTINIB_A2058,CARBOPLATIN,ERLOTINIB,A2058,-7.666082701,0.0,0,2.0,1.0,3.0,0
CARBOPLATIN_GELDANAMYCIN_A2058,CARBOPLATIN,GELDANAMYCIN,A2058,9.354111593999999,1.0,0,2.0,1.0,0.0,0
CARBOPLATIN_L778123_A2058,CARBOPLATIN,L778123,A2058,0.331125039,3.0,0,2.0,1.0,4.0,0
CARBOPLATIN_LAPATINIB_A2058,CARBOPLATIN,LAPATINIB,A2058,-5.284885615,4.0,0,2.0,1.0,4.0,0
CARBOPLATIN_MK-2206_A2058,CARBOPLATIN,MK-2206,A2058,1.353448606,4.0,0,2.0,1.0,1.0,0
CARBOPLATIN_MK-4827_A2058,CARBOPLATIN,MK-4827,A2058,7.73185639,2.0,0,2.0,1.0,3.0,0
CARBOPLATIN_MK-5108_A2058,CARBOPLATIN,MK-5108,A2058,-20.01384213,4.0,0,2.0,1.0,1.0,0
CARBOPLATIN_MK-8669_A2058,CARBOPLATIN,MK-8669,A2058,15.203734699999998,1.0,0,2.0,1.0,2.0,0
CARBOPLATIN_MK-8776_A2058,CARBOPLATIN,MK-8776,A2058,32.69822782,3.0,0,2.0,1.0,0.0,0
CARBOPLATIN_PD325901_A2058,CARBOPLATIN,PD325901,A2058,-31.64625021,3.0,0,2.0,1.0,1.0,0
CARBOPLATIN_SORAFENIB_A2058,CARBOPLATIN,SORAFENIB,A2058,-33.27180552,1.0,0,2.0,1.0,4.0,0
CARBOPLATIN_SUNITINIB_A2058,CARBOPLATIN,SUNITINIB,A2058,-8.820303158,2.0,0,2.0,1.0,3.0,0
CARBOPLATIN_ZOLINZA_A2058,CARBOPLATIN,ZOLINZA,A2058,-23.29399798,4.0,0,2.0,1.0,2.0,0
CYCLOPHOSPHAMIDE_ABT-888_A2058,CYCLOPHOSPHAMIDE,ABT-888,A2058,12.72496744,0.0,0,3.0,0.0,3.0,0
CYCLOPHOSPHAMIDE_AZD1775_A2058,CYCLOPHOSPHAMIDE,AZD1775,A2058,4.8374594680000005,0.0,0,3.0,0.0,0.0,0
CYCLOPHOSPHAMIDE_BEZ-235_A2058,CYCLOPHOSPHAMIDE,BEZ-235,A2058,12.746188,1.0,0,3.0,0.0,3.0,0
CYCLOPHOSPHAMIDE_BORTEZOMIB_A2058,CYCLOPHOSPHAMIDE,BORTEZOMIB,A2058,4.609111485,0.0,0,3.0,0.0,4.0,0
CYCLOPHOSPHAMIDE_DASATINIB_A2058,CYCLOPHOSPHAMIDE,DASATINIB,A2058,10.37911966,1.0,0,3.0,0.0,4.0,0
CYCLOPHOSPHAMIDE_DINACICLIB_A2058,CYCLOPHOSPHAMIDE,DINACICLIB,A2058,12.40275203,1.0,0,3.0,0.0,1.0,0
CYCLOPHOSPHAMIDE_ERLOTINIB_A2058,CYCLOPHOSPHAMIDE,ERLOTINIB,A2058,-2.477100927,0.0,0,3.0,0.0,4.0,0
CYCLOPHOSPHAMIDE_GELDANAMYCIN_A2058,CYCLOPHOSPHAMIDE,GELDANAMYCIN,A2058,2.473548124,0.0,0,3.0,0.0,0.0,0
CYCLOPHOSPHAMIDE_L778123_A2058,CYCLOPHOSPHAMIDE,L778123,A2058,3.865202946,3.0,0,3.0,0.0,0.0,0
CYCLOPHOSPHAMIDE_LAPATINIB_A2058,CYCLOPHOSPHAMIDE,LAPATINIB,A2058,-2.779763458,4.0,0,3.0,0.0,2.0,0
CYCLOPHOSPHAMIDE_MK-2206_A2058,CYCLOPHOSPHAMIDE,MK-2206,A2058,10.17270566,4.0,0,3.0,0.0,1.0,0
CYCLOPHOSPHAMIDE_MK-4827_A2058,CYCLOPHOSPHAMIDE,MK-4827,A2058,8.510258466,3.0,0,3.0,0.0,1.0,0
CYCLOPHOSPHAMIDE_MK-5108_A2058,CYCLOPHOSPHAMIDE,MK-5108,A2058,5.666592215,3.0,0,3.0,0.0,2.0,0
CYCLOPHOSPHAMIDE_MK-8669_A2058,CYCLOPHOSPHAMIDE,MK-8669,A2058,20.19732054,2.0,0,3.0,0.0,4.0,0
CYCLOPHOSPHAMIDE_MK-8776_A2058,CYCLOPHOSPHAMIDE,MK-8776,A2058,6.213549792999999,4.0,0,3.0,0.0,2.0,0
CYCLOPHOSPHAMIDE_PD325901_A2058,CYCLOPHOSPHAMIDE,PD325901,A2058,-1.843010941,0.0,0,3.0,0.0,2.0,0
CYCLOPHOSPHAMIDE_SORAFENIB_A2058,CYCLOPHOSPHAMIDE,SORAFENIB,A2058,7.637359375,1.0,0,3.0,0.0,0.0,0
CYCLOPHOSPHAMIDE_SUNITINIB_A2058,CYCLOPHOSPHAMIDE,SUNITINIB,A2058,9.171037685,2.0,0,3.0,0.0,1.0,0
CYCLOPHOSPHAMIDE_ZOLINZA_A2058,CYCLOPHOSPHAMIDE,ZOLINZA,A2058,5.549454826,3.0,0,3.0,0.0,1.0,0
DASATINIB_ABT-888_A2058,DASATINIB,ABT-888,A2058,15.35258512,0.0,0,3.0,1.0,0.0,0
DASATINIB_BEZ-235_A2058,DASATINIB,BEZ-235,A2058,70.18047839,4.0,0,3.0,1.0,2.0,0
DASATINIB_DINACICLIB_A2058,DASATINIB,DINACICLIB,A2058,48.91716359,2.0,0,3.0,1.0,3.0,0
DASATINIB_GELDANAMYCIN_A2058,DASATINIB,GELDANAMYCIN,A2058,-6.112381722,4.0,0,3.0,1.0,0.0,0
DASATINIB_MK-8669_A2058,DASATINIB,MK-8669,A2058,84.44534771,4.0,0,3.0,1.0,0.0,0
DASATINIB_MK-8776_A2058,DASATINIB,MK-8776,A2058,63.95671041,1.0,0,3.0,1.0,4.0,0
DASATINIB_MK-8776_A2058,DASATINIB,MK-8776,A2058,49.38546378,1.0,0,3.0,1.0,4.0,0
DASATINIB_SN-38_A2058,DASATINIB,SN-38,A2058,34.01496226,4.0,0,3.0,1.0,1.0,0
DASATINIB_SORAFENIB_A2058,DASATINIB,SORAFENIB,A2058,36.32943556,3.0,0,3.0,1.0,3.0,0
DASATINIB_TOPOTECAN_A2058,DASATINIB,TOPOTECAN,A2058,6.476481655,1.0,0,3.0,1.0,2.0,0
DEXAMETHASONE_ABT-888_A2058,DEXAMETHASONE,ABT-888,A2058,-14.70238461,2.0,0,3.0,0.0,2.0,0
DEXAMETHASONE_AZD1775_A2058,DEXAMETHASONE,AZD1775,A2058,-6.037984715,4.0,0,3.0,0.0,3.0,0
DEXAMETHASONE_BEZ-235_A2058,DEXAMETHASONE,BEZ-235,A2058,13.59419028,2.0,0,3.0,0.0,4.0,0
DEXAMETHASONE_BORTEZOMIB_A2058,DEXAMETHASONE,BORTEZOMIB,A2058,-1.876554642,3.0,0,3.0,0.0,0.0,0
DEXAMETHASONE_DASATINIB_A2058,DEXAMETHASONE,DASATINIB,A2058,-0.17873576,4.0,0,3.0,0.0,1.0,0
DEXAMETHASONE_DINACICLIB_A2058,DEXAMETHASONE,DINACICLIB,A2058,-11.40825752,3.0,0,3.0,0.0,0.0,0
DEXAMETHASONE_ERLOTINIB_A2058,DEXAMETHASONE,ERLOTINIB,A2058,-18.8279417,4.0,0,3.0,0.0,4.0,0
DEXAMETHASONE_GELDANAMYCIN_A2058,DEXAMETHASONE,GELDANAMYCIN,A2058,-0.401830321,1.0,0,3.0,0.0,2.0,0
DEXAMETHASONE_L778123_A2058,DEXAMETHASONE,L778123,A2058,-5.018351905,3.0,0,3.0,0.0,4.0,0
DEXAMETHASONE_LAPATINIB_A2058,DEXAMETHASONE,LAPATINIB,A2058,-16.23708253,4.0,0,3.0,0.0,4.0,0
DEXAMETHASONE_MK-2206_A2058,DEXAMETHASONE,MK-2206,A2058,-0.548121502,4.0,0,3.0,0.0,4.0,0
DEXAMETHASONE_MK-4827_A2058,DEXAMETHASONE,MK-4827,A2058,-17.63091432,2.0,0,3.0,0.0,4.0,0
DEXAMETHASONE_MK-5108_A2058,DEXAMETHASONE,MK-5108,A2058,-9.833466048,0.0,0,3.0,0.0,4.0,0
DEXAMETHASONE_MK-8669_A2058,DEXAMETHASONE,MK-8669,A2058,10.70131169,1.0,0,3.0,0.0,2.0,0
DEXAMETHASONE_MK-8776_A2058,DEXAMETHASONE,MK-8776,A2058,-6.365586469,4.0,0,3.0,0.0,4.0,0
DEXAMETHASONE_PD325901_A2058,DEXAMETHASONE,PD325901,A2058,3.50883165,4.0,0,3.0,0.0,1.0,0
DEXAMETHASONE_SORAFENIB_A2058,DEXAMETHASONE,SORAFENIB,A2058,11.61901571,4.0,0,3.0,0.0,1.0,0
DEXAMETHASONE_SUNITINIB_A2058,DEXAMETHASONE,SUNITINIB,A2058,9.02650146,4.0,0,3.0,0.0,2.0,0
DEXAMETHASONE_ZOLINZA_A2058,DEXAMETHASONE,ZOLINZA,A2058,-12.44071418,3.0,0,3.0,0.0,1.0,0
DINACICLIB_MK-8776_A2058,DINACICLIB,MK-8776,A2058,6.375225979,1.0,0,0.0,1.0,2.0,0
DOXORUBICIN_ABT-888_A2058,DOXORUBICIN,ABT-888,A2058,-7.85025899,2.0,0,0.0,1.0,1.0,0
DOXORUBICIN_AZD1775_A2058,DOXORUBICIN,AZD1775,A2058,9.266288363,3.0,0,0.0,0.0,3.0,0
DOXORUBICIN_BEZ-235_A2058,DOXORUBICIN,BEZ-235,A2058,2.559401649,4.0,0,0.0,1.0,3.0,0
DOXORUBICIN_BORTEZOMIB_A2058,DOXORUBICIN,BORTEZOMIB,A2058,-6.710785962,4.0,0,0.0,0.0,2.0,0
DOXORUBICIN_DASATINIB_A2058,DOXORUBICIN,DASATINIB,A2058,2.442853885,4.0,0,0.0,1.0,1.0,0
DOXORUBICIN_DINACICLIB_A2058,DOXORUBICIN,DINACICLIB,A2058,-3.011384024,0.0,0,0.0,1.0,1.0,0
DOXORUBICIN_ERLOTINIB_A2058,DOXORUBICIN,ERLOTINIB,A2058,3.078529683,1.0,0,0.0,1.0,1.0,0
DOXORUBICIN_GELDANAMYCIN_A2058,DOXORUBICIN,GELDANAMYCIN,A2058,8.756345300000001,0.0,0,0.0,1.0,1.0,0
DOXORUBICIN_L778123_A2058,DOXORUBICIN,L778123,A2058,10.08112851,0.0,0,0.0,1.0,2.0,0
DOXORUBICIN_LAPATINIB_A2058,DOXORUBICIN,LAPATINIB,A2058,6.131999815,0.0,0,0.0,1.0,0.0,0
DOXORUBICIN_MK-2206_A2058,DOXORUBICIN,MK-2206,A2058,1.820310443,1.0,0,0.0,1.0,3.0,0
DOXORUBICIN_MK-4827_A2058,DOXORUBICIN,MK-4827,A2058,-12.54308836,3.0,0,0.0,1.0,4.0,0
DOXORUBICIN_MK-5108_A2058,DOXORUBICIN,MK-5108,A2058,-6.211030489,3.0,0,0.0,1.0,3.0,0
DOXORUBICIN_MK-8669_A2058,DOXORUBICIN,MK-8669,A2058,-10.49023254,3.0,0,0.0,1.0,4.0,0
DOXORUBICIN_MK-8776_A2058,DOXORUBICIN,MK-8776,A2058,16.68723048,4.0,0,0.0,1.0,2.0,0
DOXORUBICIN_PD325901_A2058,DOXORUBICIN,PD325901,A2058,12.39260362,1.0,0,0.0,1.0,0.0,0
DOXORUBICIN_SORAFENIB_A2058,DOXORUBICIN,SORAFENIB,A2058,-4.862590299,1.0,0,0.0,1.0,2.0,0
DOXORUBICIN_SUNITINIB_A2058,DOXORUBICIN,SUNITINIB,A2058,-3.166045586,4.0,0,0.0,1.0,2.0,0
DOXORUBICIN_ZOLINZA_A2058,DOXORUBICIN,ZOLINZA,A2058,4.564239417,0.0,0,0.0,1.0,2.0,0
ERLOTINIB_ABT-888_A2058,ERLOTINIB,ABT-888,A2058,9.667112966,4.0,0,0.0,1.0,1.0,0
ERLOTINIB_BEZ-235_A2058,ERLOTINIB,BEZ-235,A2058,30.44723473,0.0,0,0.0,1.0,0.0,0
ERLOTINIB_BORTEZOMIB_A2058,ERLOTINIB,BORTEZOMIB,A2058,-1.029009573,0.0,0,0.0,0.0,3.0,0
ERLOTINIB_DASATINIB_A2058,ERLOTINIB,DASATINIB,A2058,50.85612673,3.0,0,0.0,1.0,2.0,0
ERLOTINIB_DINACICLIB_A2058,ERLOTINIB,DINACICLIB,A2058,0.8405274970000001,0.0,0,0.0,1.0,3.0,0
ERLOTINIB_GELDANAMYCIN_A2058,ERLOTINIB,GELDANAMYCIN,A2058,19.85832894,4.0,0,0.0,1.0,4.0,0
ERLOTINIB_MK-8669_A2058,ERLOTINIB,MK-8669,A2058,52.26171598,4.0,0,0.0,1.0,2.0,0
ERLOTINIB_MK-8776_A2058,ERLOTINIB,MK-8776,A2058,24.12947014,2.0,0,0.0,1.0,1.0,0
ERLOTINIB_PD325901_A2058,ERLOTINIB,PD325901,A2058,6.42220528,2.0,0,0.0,1.0,2.0,0
ERLOTINIB_SN-38_A2058,ERLOTINIB,SN-38,A2058,14.2345544,2.0,0,0.0,1.0,0.0,0
ERLOTINIB_SORAFENIB_A2058,ERLOTINIB,SORAFENIB,A2058,-1.656545425,1.0,0,0.0,1.0,1.0,0
ERLOTINIB_TOPOTECAN_A2058,ERLOTINIB,TOPOTECAN,A2058,20.65954665,3.0,0,0.0,1.0,1.0,0
ETOPOSIDE_ABT-888_A2058,ETOPOSIDE,ABT-888,A2058,1.917221664,3.0,0,2.0,1.0,2.0,0
ETOPOSIDE_AZD1775_A2058,ETOPOSIDE,AZD1775,A2058,15.44501094,3.0,0,2.0,0.0,0.0,0
ETOPOSIDE_BEZ-235_A2058,ETOPOSIDE,BEZ-235,A2058,2.834078344,2.0,0,2.0,1.0,4.0,0
ETOPOSIDE_BORTEZOMIB_A2058,ETOPOSIDE,BORTEZOMIB,A2058,-6.671434145,1.0,0,2.0,0.0,2.0,0
ETOPOSIDE_DASATINIB_A2058,ETOPOSIDE,DASATINIB,A2058,11.20512286,4.0,0,2.0,1.0,0.0,0
ETOPOSIDE_DINACICLIB_A2058,ETOPOSIDE,DINACICLIB,A2058,-6.54343035,1.0,0,2.0,1.0,4.0,0
ETOPOSIDE_ERLOTINIB_A2058,ETOPOSIDE,ERLOTINIB,A2058,1.988047409,2.0,0,2.0,1.0,2.0,0
ETOPOSIDE_GELDANAMYCIN_A2058,ETOPOSIDE,GELDANAMYCIN,A2058,31.06156665,0.0,0,2.0,1.0,3.0,0
ETOPOSIDE_LAPATINIB_A2058,ETOPOSIDE,LAPATINIB,A2058,-0.860922372,4.0,0,2.0,1.0,4.0,0
ETOPOSIDE_MK-2206_A2058,ETOPOSIDE,MK-2206,A2058,23.8414603,2.0,0,2.0,1.0,0.0,0
ETOPOSIDE_MK-4827_A2058,ETOPOSIDE,MK-4827,A2058,-1.376598957,2.0,0,2.0,1.0,2.0,0
ETOPOSIDE_MK-5108_A2058,ETOPOSIDE,MK-5108,A2058,-0.715427782,4.0,0,2.0,1.0,3.0,0
ETOPOSIDE_MK-8669_A2058,ETOPOSIDE,MK-8669,A2058,-4.1015614089999985,0.0,0,2.0,1.0,3.0,0
ETOPOSIDE_MK-8776_A2058,ETOPOSIDE,MK-8776,A2058,57.67901606,2.0,0,2.0,1.0,0.0,0
ETOPOSIDE_PD325901_A2058,ETOPOSIDE,PD325901,A2058,22.17348782,4.0,0,2.0,1.0,1.0,0
ETOPOSIDE_SORAFENIB_A2058,ETOPOSIDE,SORAFENIB,A2058,-12.15503625,1.0,0,2.0,1.0,0.0,0
ETOPOSIDE_SUNITINIB_A2058,ETOPOSIDE,SUNITINIB,A2058,-6.972169686,3.0,0,2.0,1.0,3.0,0
ETOPOSIDE_ZOLINZA_A2058,ETOPOSIDE,ZOLINZA,A2058,3.452239871,2.0,0,2.0,1.0,0.0,0
GELDANAMYCIN_BEZ-235_A2058,GELDANAMYCIN,BEZ-235,A2058,34.57333585,2.0,0,0.0,1.0,0.0,0
GELDANAMYCIN_DINACICLIB_A2058,GELDANAMYCIN,DINACICLIB,A2058,5.96787578,2.0,0,0.0,1.0,4.0,0
GELDANAMYCIN_MK-8776_A2058,GELDANAMYCIN,MK-8776,A2058,51.41963491,4.0,0,0.0,1.0,3.0,0
GELDANAMYCIN_SN-38_A2058,GELDANAMYCIN,SN-38,A2058,19.01850638,1.0,0,0.0,1.0,3.0,0
GELDANAMYCIN_SORAFENIB_A2058,GELDANAMYCIN,SORAFENIB,A2058,8.806885227999999,2.0,0,0.0,1.0,4.0,0
GELDANAMYCIN_TOPOTECAN_A2058,GELDANAMYCIN,TOPOTECAN,A2058,22.38658565,3.0,0,0.0,1.0,2.0,0
GEMCITABINE_ABT-888_A2058,GEMCITABINE,ABT-888,A2058,-0.536733604,0.0,0,2.0,1.0,3.0,0
GEMCITABINE_AZD1775_A2058,GEMCITABINE,AZD1775,A2058,22.52751282,3.0,0,2.0,0.0,3.0,0
GEMCITABINE_AZD1775_A2058,GEMCITABINE,AZD1775,A2058,9.379160383,3.0,0,2.0,0.0,3.0,0
GEMCITABINE_BEZ-235_A2058,GEMCITABINE,BEZ-235,A2058,13.23096931,0.0,0,2.0,1.0,2.0,0
GEMCITABINE_BORTEZOMIB_A2058,GEMCITABINE,BORTEZOMIB,A2058,-3.118535426,4.0,0,2.0,0.0,0.0,0
GEMCITABINE_DASATINIB_A2058,GEMCITABINE,DASATINIB,A2058,9.753310846,2.0,0,2.0,1.0,1.0,0
GEMCITABINE_DINACICLIB_A2058,GEMCITABINE,DINACICLIB,A2058,-1.947644459,3.0,0,2.0,1.0,4.0,0
GEMCITABINE_ERLOTINIB_A2058,GEMCITABINE,ERLOTINIB,A2058,4.286517222,1.0,0,2.0,1.0,4.0,0
GEMCITABINE_GELDANAMYCIN_A2058,GEMCITABINE,GELDANAMYCIN,A2058,8.998417854,0.0,0,2.0,1.0,0.0,0
GEMCITABINE_LAPATINIB_A2058,GEMCITABINE,LAPATINIB,A2058,-0.102381746,0.0,0,2.0,1.0,4.0,0
GEMCITABINE_MK-2206_A2058,GEMCITABINE,MK-2206,A2058,19.24676212,1.0,0,2.0,1.0,0.0,0
GEMCITABINE_MK-4827_A2058,GEMCITABINE,MK-4827,A2058,-3.768604329,3.0,0,2.0,1.0,2.0,0
GEMCITABINE_MK-5108_A2058,GEMCITABINE,MK-5108,A2058,6.584694602000001,4.0,0,2.0,1.0,2.0,0
GEMCITABINE_MK-8669_A2058,GEMCITABINE,MK-8669,A2058,16.24785146,2.0,0,2.0,1.0,1.0,0
GEMCITABINE_MK-8776_A2058,GEMCITABINE,MK-8776,A2058,61.69913895,2.0,0,2.0,1.0,3.0,0
GEMCITABINE_MK-8776_A2058,GEMCITABINE,MK-8776,A2058,93.22193888,2.0,0,2.0,1.0,3.0,0
GEMCITABINE_PD325901_A2058,GEMCITABINE,PD325901,A2058,8.20151148,1.0,0,2.0,1.0,1.0,0
GEMCITABINE_SORAFENIB_A2058,GEMCITABINE,SORAFENIB,A2058,-15.01487906,1.0,0,2.0,1.0,0.0,0
GEMCITABINE_SUNITINIB_A2058,GEMCITABINE,SUNITINIB,A2058,-2.477987643,2.0,0,2.0,1.0,1.0,0
L778123_ABT-888_A2058,L778123,ABT-888,A2058,6.1419773210000015,1.0,0,0.0,1.0,1.0,0
L778123_AZD1775_A2058,L778123,AZD1775,A2058,22.09591653,4.0,0,0.0,0.0,1.0,0
