Unnamed: 0,drug_a_name,drug_b_name,cell_line,synergy
5-FU_AZD1775_OCUBM,5-FU,AZD1775,OCUBM,33.5929258791
5-FU_AZD1775_OV90,5-FU,AZD1775,OV90,-3.1936519467
5-FU_AZD1775_RKO,5-FU,AZD1775,RKO,19.3332015124
5-FU_AZD1775_RPMI7951,5-FU,AZD1775,RPMI7951,16.722015116
5-FU_AZD1775_SKMEL30,5-FU,AZD1775,SKMEL30,2.2887188875
5-FU_AZD1775_SKMES1,5-FU,AZD1775,SKMES1,33.3532583969
5-FU_AZD1775_SKOV3,5-FU,AZD1775,SKOV3,18.7449639444
5-FU_AZD1775_SW620,5-FU,AZD1775,SW620,8.0516725326
5-FU_AZD1775_SW837,5-FU,AZD1775,SW837,2.5778554159
5-FU_AZD1775_T47D,5-FU,AZD1775,T47D,10.0383629005
5-FU_AZD1775_UACC62,5-FU,AZD1775,UACC62,11.4593505287
5-FU_AZD1775_VCAP,5-FU,AZD1775,VCAP,-0.9983275325
5-FU_AZD1775_ZR751,5-FU,AZD1775,ZR751,0.423932097
5-FU_BEZ-235_A2058,5-FU,BEZ-235,A2058,13.6791116022
5-FU_BEZ-235_A2780,5-FU,BEZ-235,A2780,3.9332239081
5-FU_BEZ-235_A375,5-FU,BEZ-235,A375,3.2905479611
5-FU_BEZ-235_A427,5-FU,BEZ-235,A427,8.8428112257
5-FU_BEZ-235_CAOV3,5-FU,BEZ-235,CAOV3,4.4325063513
5-FU_BEZ-235_DLD1,5-FU,BEZ-235,DLD1,13.0355787543
5-FU_BEZ-235_ES2,5-FU,BEZ-235,ES2,2.4774290291
5-FU_BEZ-235_HCT116,5-FU,BEZ-235,HCT116,2.7457843603
5-FU_BEZ-235_HT144,5-FU,BEZ-235,HT144,2.3230897887
5-FU_BEZ-235_HT29,5-FU,BEZ-235,HT29,11.8958027211
5-FU_BEZ-235_KPL1,5-FU,BEZ-235,KPL1,16.462849087
5-FU_BEZ-235_LOVO,5-FU,BEZ-235,LOVO,0.0497243445
5-FU_BEZ-235_MDAMB436,5-FU,BEZ-235,MDAMB436,18.9742923554
5-FU_BEZ-235_NCIH1650,5-FU,BEZ-235,NCIH1650,17.6381552118
5-FU_BEZ-235_NCIH2122,5-FU,BEZ-235,NCIH2122,7.6972734841
5-FU_BEZ-235_NCIH23,5-FU,BEZ-235,NCIH23,4.9902197108
5-FU_BEZ-235_NCIH460,5-FU,BEZ-235,NCIH460,20.1004137353
5-FU_BEZ-235_NCIH520,5-FU,BEZ-235,NCIH520,16.7217972261
5-FU_BEZ-235_OCUBM,5-FU,BEZ-235,OCUBM,16.3880555937
5-FU_BEZ-235_OV90,5-FU,BEZ-235,OV90,17.5470785652
5-FU_BEZ-235_RKO,5-FU,BEZ-235,RKO,16.9360013477
5-FU_BEZ-235_RPMI7951,5-FU,BEZ-235,RPMI7951,12.7059498499
5-FU_BEZ-235_SKMEL30,5-FU,BEZ-235,SKMEL30,-73.1384016545
5-FU_BEZ-235_SKMES1,5-FU,BEZ-235,SKMES1,21.2679035017
5-FU_BEZ-235_SKOV3,5-FU,BEZ-235,SKOV3,4.2458790789
5-FU_BEZ-235_SW620,5-FU,BEZ-235,SW620,12.0285902424
5-FU_BEZ-235_SW837,5-FU,BEZ-235,SW837,5.5145107479
5-FU_BEZ-235_T47D,5-FU,BEZ-235,T47D,106.007192378
5-FU_BEZ-235_UACC62,5-FU,BEZ-235,UACC62,7.9318775251
5-FU_BEZ-235_VCAP,5-FU,BEZ-235,VCAP,11.7574248227
5-FU_BEZ-235_ZR751,5-FU,BEZ-235,ZR751,7.0759828056
5-FU_BORTEZOMIB_A2058,5-FU,BORTEZOMIB,A2058,-5.2398784479
5-FU_BORTEZOMIB_A2780,5-FU,BORTEZOMIB,A2780,-18.599126219
5-FU_BORTEZOMIB_A375,5-FU,BORTEZOMIB,A375,-2.4053347825
5-FU_BORTEZOMIB_A427,5-FU,BORTEZOMIB,A427,-7.8767081501
5-FU_BORTEZOMIB_CAOV3,5-FU,BORTEZOMIB,CAOV3,-35.2730418424
5-FU_BORTEZOMIB_DLD1,5-FU,BORTEZOMIB,DLD1,5.2284767557
5-FU_BORTEZOMIB_ES2,5-FU,BORTEZOMIB,ES2,-16.1301253292
5-FU_BORTEZOMIB_HCT116,5-FU,BORTEZOMIB,HCT116,-4.5192694496
5-FU_BORTEZOMIB_HT144,5-FU,BORTEZOMIB,HT144,-14.5697825802
5-FU_BORTEZOMIB_HT29,5-FU,BORTEZOMIB,HT29,-15.9516134706
5-FU_BORTEZOMIB_KPL1,5-FU,BORTEZOMIB,KPL1,-2.9975327263
5-FU_BORTEZOMIB_LOVO,5-FU,BORTEZOMIB,LOVO,-6.1759820093
5-FU_BORTEZOMIB_MDAMB436,5-FU,BORTEZOMIB,MDAMB436,-2.0255657606
5-FU_BORTEZOMIB_NCIH1650,5-FU,BORTEZOMIB,NCIH1650,-15.7787056902
5-FU_BORTEZOMIB_NCIH2122,5-FU,BORTEZOMIB,NCIH2122,-16.6962656751
5-FU_BORTEZOMIB_NCIH23,5-FU,BORTEZOMIB,NCIH23,-9.1909645858
5-FU_BORTEZOMIB_NCIH460,5-FU,BORTEZOMIB,NCIH460,-18.9981302614
5-FU_BORTEZOMIB_NCIH520,5-FU,BORTEZOMIB,NCIH520,-24.0675509099
5-FU_BORTEZOMIB_OCUBM,5-FU,BORTEZOMIB,OCUBM,-7.5086248389
5-FU_BORTEZOMIB_OV90,5-FU,BORTEZOMIB,OV90,-9.5861668687
5-FU_BORTEZOMIB_RKO,5-FU,BORTEZOMIB,RKO,2.9072006684
5-FU_BORTEZOMIB_RPMI7951,5-FU,BORTEZOMIB,RPMI7951,-10.4794143941
5-FU_BORTEZOMIB_SKMEL30,5-FU,BORTEZOMIB,SKMEL30,-172.888702091
5-FU_BORTEZOMIB_SKMES1,5-FU,BORTEZOMIB,SKMES1,-11.6427298467
5-FU_BORTEZOMIB_SKOV3,5-FU,BORTEZOMIB,SKOV3,-4.6048936233
5-FU_BORTEZOMIB_SW620,5-FU,BORTEZOMIB,SW620,-1.9079668183
5-FU_BORTEZOMIB_SW837,5-FU,BORTEZOMIB,SW837,-1.3618595002
5-FU_BORTEZOMIB_T47D,5-FU,BORTEZOMIB,T47D,2.7487911814
5-FU_BORTEZOMIB_UACC62,5-FU,BORTEZOMIB,UACC62,-17.8418510777
5-FU_BORTEZOMIB_VCAP,5-FU,BORTEZOMIB,VCAP,-7.0535106309
5-FU_BORTEZOMIB_ZR751,5-FU,BORTEZOMIB,ZR751,-17.4513752727
5-FU_DASATINIB_A2058,5-FU,DASATINIB,A2058,31.1256441825
5-FU_DASATINIB_A2780,5-FU,DASATINIB,A2780,50.6036602621
5-FU_DASATINIB_A375,5-FU,DASATINIB,A375,2.6836891586
5-FU_DASATINIB_A427,5-FU,DASATINIB,A427,28.3480845129
5-FU_DASATINIB_CAOV3,5-FU,DASATINIB,CAOV3,17.8798317329
5-FU_DASATINIB_DLD1,5-FU,DASATINIB,DLD1,21.4330908809
5-FU_DASATINIB_ES2,5-FU,DASATINIB,ES2,17.6901953531
5-FU_DASATINIB_HCT116,5-FU,DASATINIB,HCT116,-7.8192717861
5-FU_DASATINIB_HT144,5-FU,DASATINIB,HT144,-22.9732781184
5-FU_DASATINIB_HT29,5-FU,DASATINIB,HT29,17.0669807634
5-FU_DASATINIB_KPL1,5-FU,DASATINIB,KPL1,3.4468119113
5-FU_DASATINIB_LOVO,5-FU,DASATINIB,LOVO,21.3855881893
5-FU_DASATINIB_MDAMB436,5-FU,DASATINIB,MDAMB436,18.7186968772
5-FU_DASATINIB_NCIH1650,5-FU,DASATINIB,NCIH1650,23.2349707101
5-FU_DASATINIB_NCIH2122,5-FU,DASATINIB,NCIH2122,-31.1947195955
5-FU_DASATINIB_NCIH23,5-FU,DASATINIB,NCIH23,11.5591467519
5-FU_DASATINIB_NCIH460,5-FU,DASATINIB,NCIH460,21.6687261012
5-FU_DASATINIB_NCIH520,5-FU,DASATINIB,NCIH520,42.7350514418
5-FU_DASATINIB_OCUBM,5-FU,DASATINIB,OCUBM,-6.0435035517
5-FU_DASATINIB_OV90,5-FU,DASATINIB,OV90,0.4330347743
5-FU_DASATINIB_RKO,5-FU,DASATINIB,RKO,17.3116328276
5-FU_DASATINIB_RPMI7951,5-FU,DASATINIB,RPMI7951,19.0635510285
5-FU_DASATINIB_SKMEL30,5-FU,DASATINIB,SKMEL30,-4.6186948142
5-FU_DASATINIB_SKMES1,5-FU,DASATINIB,SKMES1,2.9818204918
5-FU_DASATINIB_SKOV3,5-FU,DASATINIB,SKOV3,1.3046560675
5-FU_DASATINIB_SW620,5-FU,DASATINIB,SW620,30.4446308353
5-FU_DASATINIB_SW837,5-FU,DASATINIB,SW837,15.8773368915
5-FU_DASATINIB_T47D,5-FU,DASATINIB,T47D,18.8656014132
5-FU_DASATINIB_UACC62,5-FU,DASATINIB,UACC62,12.1239603389
5-FU_DASATINIB_VCAP,5-FU,DASATINIB,VCAP,21.455726442
5-FU_DASATINIB_ZR751,5-FU,DASATINIB,ZR751,5.1142794332
5-FU_DINACICLIB_A2058,5-FU,DINACICLIB,A2058,4.3316952071
5-FU_DINACICLIB_A2780,5-FU,DINACICLIB,A2780,-8.1611286386
5-FU_DINACICLIB_A375,5-FU,DINACICLIB,A375,-5.4159342011
5-FU_DINACICLIB_A427,5-FU,DINACICLIB,A427,-7.7474736816
5-FU_DINACICLIB_CAOV3,5-FU,DINACICLIB,CAOV3,-14.3474258909
5-FU_DINACICLIB_DLD1,5-FU,DINACICLIB,DLD1,-3.6412672658
5-FU_DINACICLIB_ES2,5-FU,DINACICLIB,ES2,3.4071845582
5-FU_DINACICLIB_HCT116,5-FU,DINACICLIB,HCT116,2.9189014698
5-FU_DINACICLIB_HT144,5-FU,DINACICLIB,HT144,-3.4774222173
5-FU_DINACICLIB_HT29,5-FU,DINACICLIB,HT29,-2.5394087442
5-FU_DINACICLIB_KPL1,5-FU,DINACICLIB,KPL1,0.007355464
5-FU_DINACICLIB_LOVO,5-FU,DINACICLIB,LOVO,-11.8769599262
5-FU_DINACICLIB_MDAMB436,5-FU,DINACICLIB,MDAMB436,5.3475341198
5-FU_DINACICLIB_NCIH1650,5-FU,DINACICLIB,NCIH1650,-2.1132235055
5-FU_DINACICLIB_NCIH2122,5-FU,DINACICLIB,NCIH2122,1.2187131729
5-FU_DINACICLIB_NCIH23,5-FU,DINACICLIB,NCIH23,-9.5337022995
5-FU_DINACICLIB_NCIH460,5-FU,DINACICLIB,NCIH460,-7.4209805584
5-FU_DINACICLIB_NCIH520,5-FU,DINACICLIB,NCIH520,-4.3210485458
5-FU_DINACICLIB_OCUBM,5-FU,DINACICLIB,OCUBM,6.7850540323
5-FU_DINACICLIB_OV90,5-FU,DINACICLIB,OV90,-5.9355790617
5-FU_DINACICLIB_RKO,5-FU,DINACICLIB,RKO,5.6238194396
5-FU_DINACICLIB_RPMI7951,5-FU,DINACICLIB,RPMI7951,-5.6869902395
5-FU_DINACICLIB_SKMEL30,5-FU,DINACICLIB,SKMEL30,-96.6171400256
5-FU_DINACICLIB_SKMES1,5-FU,DINACICLIB,SKMES1,-3.1403413007
5-FU_DINACICLIB_SKOV3,5-FU,DINACICLIB,SKOV3,-13.8991015225
5-FU_DINACICLIB_SW620,5-FU,DINACICLIB,SW620,-4.5680713977
5-FU_DINACICLIB_SW837,5-FU,DINACICLIB,SW837,-19.5733229304
5-FU_DINACICLIB_T47D,5-FU,DINACICLIB,T47D,-2.721986339
5-FU_DINACICLIB_UACC62,5-FU,DINACICLIB,UACC62,3.6825732484
5-FU_DINACICLIB_VCAP,5-FU,DINACICLIB,VCAP,14.4219939992
5-FU_DINACICLIB_ZR751,5-FU,DINACICLIB,ZR751,-13.5823901433
5-FU_ERLOTINIB_A2058,5-FU,ERLOTINIB,A2058,9.6942857549
5-FU_ERLOTINIB_A2780,5-FU,ERLOTINIB,A2780,16.5693311017
5-FU_ERLOTINIB_A375,5-FU,ERLOTINIB,A375,13.9643924282
5-FU_ERLOTINIB_A427,5-FU,ERLOTINIB,A427,18.4292581557
5-FU_ERLOTINIB_CAOV3,5-FU,ERLOTINIB,CAOV3,-7.9516351685
5-FU_ERLOTINIB_DLD1,5-FU,ERLOTINIB,DLD1,10.181271291
5-FU_ERLOTINIB_ES2,5-FU,ERLOTINIB,ES2,15.1231624969
5-FU_ERLOTINIB_HCT116,5-FU,ERLOTINIB,HCT116,14.4529779349
5-FU_ERLOTINIB_HT144,5-FU,ERLOTINIB,HT144,9.5594532711
5-FU_ERLOTINIB_HT29,5-FU,ERLOTINIB,HT29,11.3374716212
5-FU_ERLOTINIB_KPL1,5-FU,ERLOTINIB,KPL1,-3.0152734579
5-FU_ERLOTINIB_LOVO,5-FU,ERLOTINIB,LOVO,12.4173316831
5-FU_ERLOTINIB_MDAMB436,5-FU,ERLOTINIB,MDAMB436,16.1498978974
5-FU_ERLOTINIB_NCIH1650,5-FU,ERLOTINIB,NCIH1650,0.9247862496
5-FU_ERLOTINIB_NCIH2122,5-FU,ERLOTINIB,NCIH2122,24.4549768299
5-FU_ERLOTINIB_NCIH23,5-FU,ERLOTINIB,NCIH23,6.3734101396
5-FU_ERLOTINIB_NCIH460,5-FU,ERLOTINIB,NCIH460,17.2248469758
5-FU_ERLOTINIB_NCIH520,5-FU,ERLOTINIB,NCIH520,7.2357581991
5-FU_ERLOTINIB_OCUBM,5-FU,ERLOTINIB,OCUBM,28.1444385648
5-FU_ERLOTINIB_OV90,5-FU,ERLOTINIB,OV90,-11.0400458463
5-FU_ERLOTINIB_RKO,5-FU,ERLOTINIB,RKO,20.9875725757
5-FU_ERLOTINIB_RPMI7951,5-FU,ERLOTINIB,RPMI7951,17.0048417484
5-FU_ERLOTINIB_SKMEL30,5-FU,ERLOTINIB,SKMEL30,13.9548838605
5-FU_ERLOTINIB_SKMES1,5-FU,ERLOTINIB,SKMES1,21.2894247643
5-FU_ERLOTINIB_SKOV3,5-FU,ERLOTINIB,SKOV3,16.2106176273
5-FU_ERLOTINIB_SW620,5-FU,ERLOTINIB,SW620,0.4948904511
5-FU_ERLOTINIB_SW837,5-FU,ERLOTINIB,SW837,17.2993876184
5-FU_ERLOTINIB_T47D,5-FU,ERLOTINIB,T47D,-3.0497103681
5-FU_ERLOTINIB_UACC62,5-FU,ERLOTINIB,UACC62,17.9689860115
5-FU_ERLOTINIB_VCAP,5-FU,ERLOTINIB,VCAP,24.4137931368
5-FU_ERLOTINIB_ZR751,5-FU,ERLOTINIB,ZR751,22.830617603
5-FU_GELDANAMYCIN_A2058,5-FU,GELDANAMYCIN,A2058,7.3767092383
5-FU_GELDANAMYCIN_A2780,5-FU,GELDANAMYCIN,A2780,0.9119639421
5-FU_GELDANAMYCIN_A375,5-FU,GELDANAMYCIN,A375,7.160975098
5-FU_GELDANAMYCIN_A427,5-FU,GELDANAMYCIN,A427,3.5967980366
5-FU_GELDANAMYCIN_CAOV3,5-FU,GELDANAMYCIN,CAOV3,-12.9867067055
5-FU_GELDANAMYCIN_DLD1,5-FU,GELDANAMYCIN,DLD1,2.4338958065
5-FU_GELDANAMYCIN_ES2,5-FU,GELDANAMYCIN,ES2,-5.2570249896
5-FU_GELDANAMYCIN_HCT116,5-FU,GELDANAMYCIN,HCT116,2.9166634421
5-FU_GELDANAMYCIN_HT144,5-FU,GELDANAMYCIN,HT144,5.3722158879
5-FU_GELDANAMYCIN_HT29,5-FU,GELDANAMYCIN,HT29,-3.9460712694
5-FU_GELDANAMYCIN_KPL1,5-FU,GELDANAMYCIN,KPL1,2.3305768406
5-FU_GELDANAMYCIN_LOVO,5-FU,GELDANAMYCIN,LOVO,-6.3531366592
5-FU_GELDANAMYCIN_MDAMB436,5-FU,GELDANAMYCIN,MDAMB436,5.7991052293
5-FU_GELDANAMYCIN_NCIH1650,5-FU,GELDANAMYCIN,NCIH1650,-6.7522693832
5-FU_GELDANAMYCIN_NCIH2122,5-FU,GELDANAMYCIN,NCIH2122,-2.6927348532
5-FU_GELDANAMYCIN_NCIH23,5-FU,GELDANAMYCIN,NCIH23,-9.33481084
5-FU_GELDANAMYCIN_NCIH460,5-FU,GELDANAMYCIN,NCIH460,-2.4468045136
5-FU_GELDANAMYCIN_NCIH520,5-FU,GELDANAMYCIN,NCIH520,3.5130376786
5-FU_GELDANAMYCIN_OCUBM,5-FU,GELDANAMYCIN,OCUBM,-0.9389248489
5-FU_GELDANAMYCIN_OV90,5-FU,GELDANAMYCIN,OV90,0.2845088978
5-FU_GELDANAMYCIN_RKO,5-FU,GELDANAMYCIN,RKO,5.2461803983
5-FU_GELDANAMYCIN_RPMI7951,5-FU,GELDANAMYCIN,RPMI7951,-8.0842471839
5-FU_GELDANAMYCIN_SKMEL30,5-FU,GELDANAMYCIN,SKMEL30,-80.6389686735
5-FU_GELDANAMYCIN_SKMES1,5-FU,GELDANAMYCIN,SKMES1,2.7036052766
5-FU_GELDANAMYCIN_SKOV3,5-FU,GELDANAMYCIN,SKOV3,-9.1881641947
5-FU_GELDANAMYCIN_SW620,5-FU,GELDANAMYCIN,SW620,-2.851271236
5-FU_GELDANAMYCIN_SW837,5-FU,GELDANAMYCIN,SW837,-10.0141809923
5-FU_GELDANAMYCIN_T47D,5-FU,GELDANAMYCIN,T47D,30.6799944126
5-FU_GELDANAMYCIN_UACC62,5-FU,GELDANAMYCIN,UACC62,-1.3454010107
5-FU_GELDANAMYCIN_VCAP,5-FU,GELDANAMYCIN,VCAP,14.0445192166
5-FU_GELDANAMYCIN_ZR751,5-FU,GELDANAMYCIN,ZR751,-15.0092845632
5-FU_L778123_A2058,5-FU,L778123,A2058,9.7282647976
5-FU_L778123_A2780,5-FU,L778123,A2780,8.7866069583
5-FU_L778123_A375,5-FU,L778123,A375,7.6329436579
5-FU_L778123_A427,5-FU,L778123,A427,12.3277489383
5-FU_L778123_CAOV3,5-FU,L778123,CAOV3,-11.2445613151
5-FU_L778123_DLD1,5-FU,L778123,DLD1,13.2529242306
5-FU_L778123_ES2,5-FU,L778123,ES2,10.1135073338
5-FU_L778123_HCT116,5-FU,L778123,HCT116,11.7123653003
5-FU_L778123_HT144,5-FU,L778123,HT144,0.1977536279
5-FU_L778123_HT29,5-FU,L778123,HT29,17.5439742462
5-FU_L778123_KPL1,5-FU,L778123,KPL1,2.4967327943
5-FU_L778123_LOVO,5-FU,L778123,LOVO,3.0950710355
5-FU_L778123_MDAMB436,5-FU,L778123,MDAMB436,6.6049127114
5-FU_L778123_NCIH1650,5-FU,L778123,NCIH1650,12.2198248938
5-FU_L778123_NCIH2122,5-FU,L778123,NCIH2122,1.4919157638
5-FU_L778123_NCIH23,5-FU,L778123,NCIH23,4.785807361
5-FU_L778123_NCIH460,5-FU,L778123,NCIH460,-0.5617591171
5-FU_L778123_NCIH520,5-FU,L778123,NCIH520,13.7782050736
5-FU_L778123_OCUBM,5-FU,L778123,OCUBM,10.9390380171
5-FU_L778123_OV90,5-FU,L778123,OV90,12.2053451012
5-FU_L778123_RKO,5-FU,L778123,RKO,4.7786590771
5-FU_L778123_RPMI7951,5-FU,L778123,RPMI7951,0.7730436273
5-FU_L778123_SKMEL30,5-FU,L778123,SKMEL30,-57.88453337
5-FU_L778123_SKMES1,5-FU,L778123,SKMES1,6.0790006726
5-FU_L778123_SKOV3,5-FU,L778123,SKOV3,8.1306805695
5-FU_L778123_SW620,5-FU,L778123,SW620,4.8157967021
5-FU_L778123_SW837,5-FU,L778123,SW837,-4.4571313729
5-FU_L778123_T47D,5-FU,L778123,T47D,21.1587573317
5-FU_L778123_UACC62,5-FU,L778123,UACC62,6.8179162039
5-FU_L778123_VCAP,5-FU,L778123,VCAP,12.7404294136
5-FU_L778123_ZR751,5-FU,L778123,ZR751,8.1204864896
5-FU_LAPATINIB_A2058,5-FU,LAPATINIB,A2058,9.1921381489
5-FU_LAPATINIB_A2780,5-FU,LAPATINIB,A2780,8.0111248094
5-FU_LAPATINIB_A375,5-FU,LAPATINIB,A375,7.497787303
5-FU_LAPATINIB_A427,5-FU,LAPATINIB,A427,-4.1794542535
5-FU_LAPATINIB_CAOV3,5-FU,LAPATINIB,CAOV3,-6.7775280299
5-FU_LAPATINIB_DLD1,5-FU,LAPATINIB,DLD1,11.5546266847
5-FU_LAPATINIB_ES2,5-FU,LAPATINIB,ES2,5.344512472
5-FU_LAPATINIB_HCT116,5-FU,LAPATINIB,HCT116,9.6880383892
5-FU_LAPATINIB_HT144,5-FU,LAPATINIB,HT144,4.6705749923
5-FU_LAPATINIB_HT29,5-FU,LAPATINIB,HT29,4.5330856346
5-FU_LAPATINIB_KPL1,5-FU,LAPATINIB,KPL1,-9.537311313
5-FU_LAPATINIB_LOVO,5-FU,LAPATINIB,LOVO,17.4905864006
5-FU_LAPATINIB_MDAMB436,5-FU,LAPATINIB,MDAMB436,3.6446355785
5-FU_LAPATINIB_NCIH1650,5-FU,LAPATINIB,NCIH1650,0.9058173714
5-FU_LAPATINIB_NCIH2122,5-FU,LAPATINIB,NCIH2122,9.9561959778
5-FU_LAPATINIB_NCIH23,5-FU,LAPATINIB,NCIH23,-8.7347995249
5-FU_LAPATINIB_NCIH460,5-FU,LAPATINIB,NCIH460,-2.0350125809
5-FU_LAPATINIB_NCIH520,5-FU,LAPATINIB,NCIH520,-7.2635219081
5-FU_LAPATINIB_OCUBM,5-FU,LAPATINIB,OCUBM,3.6962294526
5-FU_LAPATINIB_OV90,5-FU,LAPATINIB,OV90,-9.2950702543
5-FU_LAPATINIB_RKO,5-FU,LAPATINIB,RKO,11.5445360217
5-FU_LAPATINIB_RPMI7951,5-FU,LAPATINIB,RPMI7951,3.3187648663
5-FU_LAPATINIB_SKMEL30,5-FU,LAPATINIB,SKMEL30,9.4835037451
5-FU_LAPATINIB_SKMES1,5-FU,LAPATINIB,SKMES1,11.0596410178
5-FU_LAPATINIB_SKOV3,5-FU,LAPATINIB,SKOV3,7.1187837793
5-FU_LAPATINIB_SW620,5-FU,LAPATINIB,SW620,-2.41819166
5-FU_LAPATINIB_SW837,5-FU,LAPATINIB,SW837,6.956325429
5-FU_LAPATINIB_T47D,5-FU,LAPATINIB,T47D,14.9092827837
5-FU_LAPATINIB_UACC62,5-FU,LAPATINIB,UACC62,9.1199463026
5-FU_LAPATINIB_VCAP,5-FU,LAPATINIB,VCAP,10.6325581361
5-FU_LAPATINIB_ZR751,5-FU,LAPATINIB,ZR751,14.6763066586
5-FU_MK-2206_A2058,5-FU,MK-2206,A2058,15.9003975952
5-FU_MK-2206_A2780,5-FU,MK-2206,A2780,18.6562125215
5-FU_MK-2206_A375,5-FU,MK-2206,A375,1.4627542044
5-FU_MK-2206_A427,5-FU,MK-2206,A427,14.1170997404
5-FU_MK-2206_CAOV3,5-FU,MK-2206,CAOV3,41.0691417805
5-FU_MK-2206_DLD1,5-FU,MK-2206,DLD1,17.4731950621
5-FU_MK-2206_ES2,5-FU,MK-2206,ES2,0.2083795553
5-FU_MK-2206_HCT116,5-FU,MK-2206,HCT116,4.1234224097
5-FU_MK-2206_HT144,5-FU,MK-2206,HT144,2.0214349365
5-FU_MK-2206_HT29,5-FU,MK-2206,HT29,15.704505817
5-FU_MK-2206_KPL1,5-FU,MK-2206,KPL1,26.8647753536
5-FU_MK-2206_LOVO,5-FU,MK-2206,LOVO,0.8485305444
5-FU_MK-2206_MDAMB436,5-FU,MK-2206,MDAMB436,11.6053738313
5-FU_MK-2206_NCIH1650,5-FU,MK-2206,NCIH1650,12.9608908226
5-FU_MK-2206_NCIH2122,5-FU,MK-2206,NCIH2122,14.5182360522
5-FU_MK-2206_NCIH23,5-FU,MK-2206,NCIH23,3.9299038906
5-FU_MK-2206_NCIH460,5-FU,MK-2206,NCIH460,16.5835935756
5-FU_MK-2206_NCIH520,5-FU,MK-2206,NCIH520,12.9538647031
