Name,SMILE,ECFP_6
DOXORUBICIN,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1,00000000000000000000000000000010011000000000000000000000000000000000000000000000100000000000000000000000000000000000100001100000000000000001000000010000000000000000000000000000000000000000000000000000001000000000000000000010000000000000000000000000010000000000001000000000000000000000010000000000001000000000000000100000000000000000000000000000000000001000000001000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000110000000001000000000000000010000000000000000000000000001000000000000000000000000000000000000100010000000000000000000000000000000000000000000001000000000000100000100000000000000000000001000000010000000100000000000000000000000000100000000000000000000000000000000010000000000000000100000000000000000000000000000000010000000000000000000000000000000001100000000000000000000000000000000100000010000000000000010000000000000000000000000000100000000000001000000000000000000000000000000001000000000010000000000000000000000000010000000100000000000000000001000000000000000001001000000000100000000000000100100000000000000000000000000000000000000000000000000000000000000000100000000000000001000000000000000000000000000000001000000000000000000000000000000000000000000000100000010000010000000000001000000000000000100000000000000001000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000100000010000000000000000000000000000000000000000000000000000000000000000010000000010100000000000000000000010000000000000000000000000010000000000000000000000000000000000000000000000000000000000001000010000000001000000000000000100000000000000000001000000000000000100000000000000000000000000000000000000000000000000000000100000000000000000000000001001000000000000000000000000000000000000001000000000000000000000000010000000000000000100000000000010000000000000000100000000001100001000000000000000000000000000000100000010001000000000000000000000000000000000000000000000000100000000000000000100000000100000000000000000000000000000000001000000001000000
ERLOTINIB,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,00000000000001000000000000000000000000000000010000000000000000000000000000000000100000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000001000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000100000000000000000000000000000000000000000000000010000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000010010100000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000001101000000000000000000100000001000010000000000000000000000000000000000000010000000000000000000000000000000010000001010000100000001000000000000000000000000000000000000001000000000000000000000000000000000100000000000010010100000000000000000010010000000000000000000000000000000000000000000000010000000000100000000000000000000000000000010000000000000000000000000000000101000000000000000001000000000000000000000000000000100000000100000000000000000000000000000000000000000000000000000010000100000000000101010000000100000000000000000000000000000000001000000000100000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000100000000000010000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000100000000010000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000010000000000010000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000001000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000
ETOPOSIDE,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,00000001000000000000100000000000000000000000000000001000000000000100000000000000000000000001000000000000000000000000100000000000000000000000000000000000000000000100000000000000000000000000000000000000001000000000000000000100000100000000000000000000010000000001000000000000100000000000000000000000000000000001000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000010001000000010000000000001000000000000000000000000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000000001100000000000000000000000000100000100000000000000000000000000000000000000100000000000000000000000000010001000000010010000000000101000000000000000000000000000000000000000000000000001000010000000000000000000000010000000001000000000000000000000000000100000100000000010000000000000000100000000000000000000000100000000000000100000000000000000000000000000000000000000000000010000000000000000000000000000100000001000000001000000000000000000001000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000100000000000000000000000000001000000000000000001000010000000000010000000001000000000000000000000000000001001000000000010010100000000000000000000100000000000000000000000000000011000000000000000000000000000000000000000000000001000000000000000000000001000100000000000001000000000000000100000000000100000000000000000000000000000000000010000000000000000000000000000000000000000010000000000000000000000010000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000010000010001000000000000000000000000000000000000000000010000000000000000000000000000010000000000000000001000000001000000000000000000000000000000000010000000001000000010000000000000000000000010000000000000001010000000000000000000000000000000100000000000000100000100000000010000000000000000000000000000000000100000001000000000000000000
GELDANAMYCIN,COC1=C2CC(C)CC(OC)C(O)C(C)C=C(C)C(OC(N)=O)C(OC)C=CC=C(C)C(=O)NC(=CC1=O)C2=O,00000001000000000000000000000000000000000000000000000000000000000000000001000000000010000000000000000000000000000000000000000000000000000000100000000000000000000000000000010000100000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000010000100000100000000000000000000000000000100000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000100000000001000000100000000000000000000001100000000010000000000000000000000000000000000000000000000000010000000010100000000000000000000000000000001000000000000000000001000100000000000000000000000000000000000000000000001000010001000100000001001000000000000000000000000000000000000000000000000000010000000000000000000000000000100000000000000001000000100000000000001001000000000000000000000010000101000000000000000000000001000000000001000100000000000000000100000000000000100000001000000000000000000000000000010000000000000000000000000000000000000000000000001000000010000000000000000000000000000000000100000000000000001000000000000000000000001000000000100100000000000000000000000000100000110000000000010000000000000000000000000000000000000000000000000100000000000000000000000000000000010000000000100000000000000000000000100000000000000000000000010000000000000000000000000000100000000010100000000000000000000000000000000000000000000010000010001000000000000000000000001000000000000000000000000000000000000000100000001000000000000000010000000000000000000000010000000000000000000001100001000001000000001000000001000000000000000000000000001000000000000000000000000000000000000000000000101000000000000000100000100000000000000000000010000000000000000010000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000100000000
GEMCITABINE,Nc1ccn(C2OC(CO)C(O)C2(F)F)c(=O)n1,00000000000000000000000000000000000000000000000000100000000000100000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000100000000000000000000000000000000000000000000010000000000000000100000000000000000000000000000000000000000000010000000000000000010000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000010001000000000000000000000000000001000000000100000100000000000000000000000000000001000001000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000010000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000001000000000000000000000000000000000000000000000100000000000000000000000000000000000000001000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000001000000000010000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000100000000000000000000000000000000000000000001000001000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000001000000000000010000000000000000000000000000000000000000001000000000000000000000000000000000000000000000001000000000000000001000000000000010000000000000000000000000000000001000000100000000000000000000000000100000000000000000000000100000000000000000000000000000000000000000000000000000000000000100000
L778123,N#Cc1ccc(Cn2cncc2CN2CCN(c3cccc(Cl)c3)C(=O)C2)cc1,00000000010000000000000000000000001000000000000000000000000000000000000000100010100000000000000000000010000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000100000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100001000100000000000000000000100000000000000000000000000000000000000000010000000000000000000000000000000000110000000000001100000000000000000000100000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000100000000000000000010000000000000000000000000000001000000000000000000000000000000000000000000000000000000000100000000000000000000000100000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000001000000010000000000001000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000100000100100000000000000001000000000000000000000000000000000000000000000000000000000000000000100000000000000001001000000000100000000000000000000000000000000000000101000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000010001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010001000000001000000000010001000000000000000000000000000000100000010000000000000000000000001000000010100000000000000000000011000000000000000000000000000000000100000000100000000000100000000000000100000000000000000000000000000000000000000000000000001000000000000000000000000000000000000010000000000000000000000000000000000010000010000000000000000000000000000000000000000000000000000000000000000001000100000000001000000010000000000000000010000000000000000000000000000000001000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000100000000100000000000000000100000001000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000
LAPATINIB,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,00000000000000001000000000000000000000100000000000000000000000000000000000000000100000000000001000000000000100000100000001000000000000000000000000000000000000000000000000000001000000100000000100000000000000000000000000000000000000100000000000000000001000010000000000000000000000000000000000000000100001000000000000000000000000000100000000000000000000100000000000000010000000000010100000000000000001000000000000000000000000000000010000000000000000000000000000000000000000000000000001000000010100000000000000010000000000000000000000001000100000000000000000000000010000000000000000000000000000000000000000001000000000000000000000000100000000000000000000100000100000000001000000000000000000000000100100010000100010000010000010000000000000000000000001000000000000000000000000000000000000000000000000100000000000000000000000000000000010000000000000010000000000000000000000000000000100000000100010000000100000000000000001000000000000000000000000000000000011000000000001000000000000000000000000000001000000000000100000000000000000000000000000000011000000000000000001000000001000000000000000000000100000000100000000000010000000000010000000000000000000000000000010000100100000000100000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000100000000000010000000000000000000000000000000000000000000000000000000000000000000000010000100000000000000000010010000000100000001000000000000100000000000000000000000000000000000000000000000001000000000000000000000010000000000000000000000100000000000000000000000001000000000010000000000000000000000000000100000000000010000000000000000000000000000000000000000000000000010000000000000001000110000000000000000000000000000000100000000000000000000001100000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000100000100100001000000000000001000010000000100000000000000000001000000000000000000000000000000000000000000000000000000000
METFORMIN,CN(C)C(=N)N=C(N)N,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000100000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000
METHOTREXATE,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,01000000100000000001000100000000000000000000000000000000000000000000000000000000100000001000000001000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000001000000000001000000000000000000000010000000001100000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000100000000000000000000000000000000000000100000000000000000000000000000000000000000000000001000000000000000000000001000000000001001000000000000000000000000000000000000000000000000000000000000000000010000000000010000000000100000000000001000000000000100000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000001000010000000000000000000000000000000000000000000000000000000000000000100000000000000000001000000000001000000000000000000000000000000000000001000011000000000000000000000000000000000000000000000000010000000000100000001100000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000010000000000000000000000000000000100000000000000000000000010000000000000000000000000000000000011000100000000000000010000000000000000000000000000000001000000000000000010000101000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000001010000001000000000000010000000000000000000000000000000000000000000001000000000000000000000100000000000000000010000010000000000000000000000000100010000000000000000000000100000000000010000000000001000000000000000000000000000000001000000000001000000000000000000000000000000000000000000000000100000000001000000000000000001000000000000000000000000000000000000000000010000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000001000000100000000000001000000000000
MITOMYCINE,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,00000000000000000000000000000000000000000000000000000100000000000000000000000000100000000000000000000000000000000000000000000000000000000000100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000010100000000000000100000100000000000000000000000000000100100000000000000000010000000000000000000000000000000000000000000000000100000000000000100000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000100000000000000000001000000000000000000000000100000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000010100001000000000000000000000000001000000000000000000000010100000000000000000000000000000000000000000000000000000000001100000000100000000000000000000000010000000000010000000000000000000000000000000000000000010000100100000000000000000000000000000000001001000000000000001000000000000000001000000000000000000001000000000000000000000100000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000010000001000000000000000100000000000000000010000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000100000000001000000000000000000000000000000000010000000000000000000000000001000000000000000000000000000000000000000000000000010000010000000000001000000010000000000000000000000000000000000000000000000000000000000001000000000000000000000000000001000000000000000100000000000000000000000000000001000000000000000000000000000000000000000000000000000000010000001000000000000000000000000000001000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000
MK-2206,NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1,00000000010000000000000010000000100000001000000000000000000000100000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000100000000000000000000000000001000000000000000000000000010000000000100000000000000000000000000010000000000000010000000000000000000000000000000000000010000000000001000000000000010000000000000000100000000000000000000000010000000000000001000000000000000010010000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000001000000010000000000000000000000000000000000000001000000000000000000000100000000010000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000100100010000000000000000100000000000000000000000000000100000000100000000000000000000000000000000000000000000000000000000000100100010000000010000000000000000100000000000000000000000000000001000000000000000000000000000100000000100010000000000001000000000000000100000000000000000000001000000101000000001000000000000000000000000000100000000010000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000001000000000000000000000010000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000100000000000000000001000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000001000000000001000001000100000000000000100000000000000000000000000000000000000000010000000000010000000000000000000001000000000000000000000000000000000010000000000000000000000010000100000000000000
MK-4541,CN1C(=O)C=CC2(C)C3CCC4(C)C(NC(=O)OCC(F)(F)F)CCC4C3CCC12,00000000000000000000000000000000000000000000000000000000000000000000000000000000100000000001000000000000010000000010000000100000000000000000000000010110000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000100000000000100000000100000000000000000000000000000000000000000000000000010000000000000000000000000000000000010000000000100000000000000000000001000001000000000000000000000001000000000000000000000000000000010010000001000000000000000001000000001000001000000000000000000000000000000000000000000000000000000000001000010000010000000000000000100001000100000000000000000000000000000000000100000000000100000000100000000000000000000000000000000000000000000000000000000000000000000001000000000000000000010100000000000000000001000000000100000000000000000010000000000000000000100000000000000000000000000000000000000000000000100000000100000000000000000000000000000000000000000000000000000000000000001000001000000000000100000000000000000000000000000000000001001000000000000000000000000000000000010000000000000000000000000100000001000000000000000100000010000000001000000000000010010000000000010000000000000000000000000000000000000000000000000000000000000000001000000000000000100000000000000000000000000000000000000000000000000100000000100000000000000000000000000000000000000000000010000000000000000000000000000000000000000000100000000000000000000000000001000000000000000000000001000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010100000000000000000000000000000000000000000000100000000000000000000000000000000000000000001000000000000000000000001000000000000000000000000000000000000000000010000000000100000000000100000000001000000000100000000000000000000000000000000000000000000000000000000000000000010000000000000000000
MK-4827,NC(=O)c1cccc2cn(-c3ccc(C4CCCNC4)cc3)nc12,00000000000000000001000000000000000000000000010000000000100000000000000000000000000000000001000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000100000000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000000000101010000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000010000000000000000001000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000100000000100000000000000000000000000000000000000000001000000000000000000000000000000000000000100000000100000000001000000000000000000000000000000000000000010000001100000000001000000000000001000000001010000000010100000000000000000000010000000000001000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000001000000000000000000000000000010000000000000000100000000000000000000000000000000000000000000000000000010000000000000000000001000000000000000000000000000000000000000000001000000010000000000000000000000000000000001000000000001000001000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000100000000000000000010000001000000000000000000000000000000000000000000000000000010000000000000000000001000000000000000000100000000001000000000000000001000010000000000000000000000000000000000000010000000000000000000000000100000000000010000000000000000000000000000000000100000000100000000000001000000000000000000000000000000000
MK-5108,O=C(O)C1(Cc2cccc(Nc3nccs3)n2)CCC(Oc2cccc(Cl)c2F)CC1,00000000000000100000000000000000000000110010000100000000010000000000000010000000100000000000000000000000000000000000000100000000000000000000000000000000000000000000000000001000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000010000000000000000000000000000000000100000000000000010000000011010000001000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000100000000010000000000000000000000100000000000000100000000000000100000010000000000000000000000000000000000000000000000000000000000000001000000000000000000000000101000000000000000000000010000000000000000000100010000000000000000000000001000000000000000000000000000000000000000000001000010000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000001000000000000000100000000100000000000000000000000000000000000000000000000100000000000000000000000010000000000010000000100000000000000000001000000000010001000001000000000000000000000000000100000010001000000000000000000000000000000000000000010000000000010000000001000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000100000000001000000000001000010000000000000000000000000010000000000000000000000000000010000000000000000000000000000000000100000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010000000000010000000000000010000000000000000000000000000000000110000000000000001000000000000000000000000000000000000000000000000000000000000000010000001000000000000000000000000000000001000000000010000001000000000000000000000000000000000000000000010000000000110000000000000000000000000000000000000000100000000010000000000000000000000000000000000000000000000000000000000000000000
MK-8669,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(OP(C)(C)=O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C,01000011000000000000000000000100000000000010000010000100000000000000000000000000100000000000000001010000000000100000000000000000000000000000000000000000010000000000100000010000000000000000000110000000000010000000000000000000000000011000000000000000000000000000000000000000000000000001000000000000001000000000100000100000000000000000000000000010001010000000000000000000001000000000000000000010000000001010000000000000000000000000000000000000000000000000001000001000000000000000000001100010000000000000000000000000000000000000001010100000000000010000000000100000000000000000000000000000001000000000000000000000000100000000000000000000001000000001000000100000100000000000000000000001000010000001000100000000010000000000000000000000000000000010000000000010000000000100000000000000000000000010000000000010000000010000100100000000000000000000000001000001000000000000001000001000000000010000010000100000000000000000001000000010000000100000000101000110000000000100000000000000000000000100000000000000000000000000000000000000000100000000100000010000000100000000001001001000000000100000000001010000000100000001000000000000000000000000010000000000000000000000000000100000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000001000000110000000000000100000000100000000000100010000000000001001000000000000100000000000000000000000000000000000000000000000000000010000000010010000000000001000000000010100000000000000000000100000000001000000000000000100000000000001000000000000000000000000000000001100000001000000000000100001010000000000000000000000000000001100000000000000000000000000000000000001000000000000000000000000000100000000000000000000010010000010000000000000000001001000000001000000000000000100110000000000000100000000000000000000000010000000000100000000000000000000000000000000001001000000000010000000000000000000000000010000000000100010000000001000000000000000000000000000000000000000000000000000000000000000000010000000000000000101000000000101000000100000000000000000010000000000000000000000000001000000000000100000000
MK-8776,Cn1cc(-c2cnn3c(N)c(Br)c(C4CCCNC4)nc23)cn1,00000000000000000000000000000000000000100001010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000110000000000000000000000001000000000000000000001000010000000000000000000000000000000101000000000000000000000000000000000000000000000000000100000100000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000010000001000000000000000000000000000000000000000000000000010000100000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000100001000000000000000000000000000000000000000000000000000000000000000000000000000000100000000100000010000000010000000000001000000000000000100000010000000000000000001000000000000001000000000000011000000000000000100000000000000100000000001000000000000000000000100000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000010000000010000000000000000100000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000010000100000000000000001000000000000000000000000000000000000100000000000000010000000000000000000000000100000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000000000000100100000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000001000000000000000001000000000000000000000001000000000000000000000000000000010000000100000100000000000100000000000000000000000000000000000000000000100000000000000001000000000000000000000000000000
MRK-003,O=S1(=O)NC2(CN1CC(F)(F)F)C1CCC2Cc2cc(C=CCN3CCC(C(F)(F)F)CC3)ccc2C1,00000000000000000000000001000000000000000000000000000000000000000000000000000000100000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010100010000000000000010010000000100000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000010000000000100000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000001000000000000000000000100000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000001000000000000000000000000000000000000000110000000000001000000000000000000000000000000000000100000000100000000000000000000000000000000000000000000000001000000000000000000000000000000000100000000000000000001000000000000000001001000000000000000000000000000010000001000000000000000001000000000001000000000000000000000000000000000000010100000100000000000000000000000000000000000000000000000000000000000000010000000000000000000000001000000000000000000000000000000000000000000010000000000000000000100000000000000000000000000000010000000000000000000000010000000001000000000000000000000000010000001000000100000000000000001000001000000000000000000000000001000000000000000000000010010000000010000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000100000000000001000001000000000000001000000000101000000000000000000000000000000000000000000000000000000000000000000000000100000000000001000011000000000000000000000000000000000000000010000000001000000000100000000001000000000000000010000000000000000000000000000000001000000000000000000000000000000000000000000000000000000100000000000000000000000001000000000000000000000000010000000000010000000000000010000000000000000100000000100000001000000
OXALIPLATIN,NC1CCCCC1N.O=C(O)C(=O)O.[Pt+2],00000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000100000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000010000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000100000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
